external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,home,Oliver Berg,Lars Saetra,49,52,30.0,49.0,0,3,pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Kalmar FF,home,Lars Saetra,Jonathan Ring,32,46,73.0,93.0,2,5,pass accurate,,0.008138846488666559,0.3445468142859265,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,home,Jonathan Ring,,73,93,89.0,86.0,5,8,pass inaccurate,,,0.6026842086021403,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,away,Magnus Wørts,,11,14,,,5,10,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,home,Sebastian Ring,Romario Pereira Sipiao,72,100,73.0,88.0,14,17,pass accurate,,,0.8007458517312948,1,False,False,True,throw-in,nan,nan,,nan
5,Kalmar FF,home,Romario Pereira Sipiao,Sebastian Ring,72,88,69.0,96.0,15,18,pass accurate,,,0.5261563332720834,1,False,False,False,throw-in,nan,nan,,nan
6,Kalmar FF,home,Sebastian Ring,Carl Gustafsson,69,96,67.0,82.0,15,18,pass accurate,,0.003384757163740343,0.7873166668399988,1,False,False,False,throw-in,nan,nan,,nan
7,Kalmar FF,home,Carl Gustafsson,Sebastian Ring,68,84,63.0,96.0,17,20,pass accurate,,-0.0073100836892200545,0.6140342000717418,1,False,False,False,throw-in,nan,nan,,nan
8,Kalmar FF,home,Sebastian Ring,Rasmus Sjöstedt,63,97,36.0,78.0,18,21,pass accurate,,-0.004366366543778534,0.8815570419159185,1,False,False,False,throw-in,nan,nan,,nan
9,Kalmar FF,home,Rasmus Sjöstedt,Lars Saetra,36,78,36.0,67.0,21,24,pass accurate,,0.0007481366366179614,0.8684259818764295,1,False,False,False,throw-in,nan,nan,,nan
10,Kalmar FF,home,Lars Saetra,Sebastian Ring,43,55,37.0,86.0,24,27,pass accurate,,-0.0027398179894835752,0.8834487335171086,1,False,False,False,throw-in,nan,nan,,nan
11,Kalmar FF,home,Sebastian Ring,,39,87,91.0,76.0,28,31,pass into the box,,,,1,False,False,False,throw-in,nan,nan,,nan
12,Kalmar FF,home,Sebastian Ring,,39,87,91.0,76.0,28,31,pass inaccurate,,,0.3976489916060698,1,False,False,False,throw-in,nan,nan,,nan
13,Mjällby AIF,away,Carljohan Eriksson,,9,24,,,31,36,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,away,Carljohan Eriksson,,9,24,,,31,36,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Kalmar FF,home,Romario Pereira Sipiao,Carl Gustafsson,60,28,61.0,25.0,43,46,pass accurate,,,0.2597275159050554,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,home,Carl Gustafsson,,60,23,69.0,30.0,44,47,pass inaccurate,,,0.6955403589244394,1,False,False,False,nan,nan,nan,,nan
17,Mjällby AIF,away,Enock Kofi Adu,Kadir Hodzic,31,70,38.0,81.0,45,48,pass accurate,,0.0006439532062550383,0.8112941972227303,1,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,home,Carl Gustafsson,,57,7,,,48,53,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,home,Carl Gustafsson,,57,7,,,48,53,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,home,Carl Gustafsson,Jonathan Ring,57,9,62.0,13.0,50,53,pass accurate,,0.004953828167611248,0.6690744011680556,1,False,False,False,nan,nan,nan,,nan
21,Kalmar FF,home,Jonathan Ring,Romario Pereira Sipiao,61,12,60.0,21.0,51,54,pass accurate,,0.0020636961028419123,0.776650209773473,1,False,False,False,nan,nan,nan,,nan
22,Kalmar FF,home,Romario Pereira Sipiao,Jonathan Ring,60,18,59.0,17.0,51,54,pass accurate,,,0.25020242383553193,1,False,False,False,nan,nan,nan,,nan
23,Kalmar FF,home,Jonathan Ring,Sebastian Ring,59,18,41.0,73.0,52,55,pass accurate,,-0.006829052646164211,0.8391170389418502,1,False,False,False,nan,nan,nan,,nan
24,Kalmar FF,home,Sebastian Ring,Piotr Johansson,52,76,68.0,4.0,56,59,pass accurate,,0.006755917444297446,0.7782930718185467,1,False,False,False,nan,nan,nan,,nan
25,Kalmar FF,home,Sebastian Ring,,41,73,52.0,76.0,52,59,carry,,0.0028018387464630694,,1,False,False,False,nan,nan,nan,,nan
26,Kalmar FF,home,Piotr Johansson,Carl Gustafsson,61,6,61.0,21.0,62,65,pass accurate,,0.0020636961028419123,0.7598541741654962,2,False,False,False,nan,nan,nan,,nan
27,Kalmar FF,home,Piotr Johansson,,68,4,61.0,6.0,56,65,carry,,-0.004792399647438217,,1,False,False,False,nan,nan,nan,,nan
28,Kalmar FF,home,Carl Gustafsson,,59,24,59.0,24.0,62,65,pass inaccurate,,,0.25020242383553193,2,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,away,Carljohan Eriksson,,11,61,45.0,91.0,68,78,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
30,Mjällby AIF,away,Carljohan Eriksson,,11,61,45.0,91.0,68,78,goalkeeper throw inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
31,Kalmar FF,home,Piotr Johansson,,55,9,,,75,80,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
32,Kalmar FF,home,Piotr Johansson,,55,9,,,75,80,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
33,Kalmar FF,home,Piotr Johansson,Carl Gustafsson,57,8,59.0,19.0,80,83,pass accurate,,0.004953828167611248,0.7524208286162645,2,False,False,False,nan,nan,nan,,nan
34,Kalmar FF,home,Carl Gustafsson,Lars Saetra,57,18,38.0,18.0,82,85,pass accurate,,-0.003965733617230838,0.8597719878366256,2,False,False,False,nan,nan,nan,,nan
35,Kalmar FF,home,Lars Saetra,Rasmus Sjöstedt,38,20,37.0,40.0,84,87,pass accurate,,0.001017127657495804,0.864761759110194,2,False,False,False,nan,nan,nan,,nan
36,Kalmar FF,home,Rasmus Sjöstedt,Sebastian Ring,37,44,36.0,79.0,86,89,pass accurate,,-0.001318561886609738,0.8694157535950301,2,False,False,False,nan,nan,nan,,nan
37,Kalmar FF,home,Sebastian Ring,Rasmus Sjöstedt,36,78,34.0,64.0,88,91,pass accurate,,0.0007481366366179614,0.8697824271701776,2,False,False,False,nan,nan,nan,,nan
38,Kalmar FF,home,Rasmus Sjöstedt,Jonathan Ring,34,51,53.0,25.0,91,94,pass accurate,,0.0038538334259138156,0.7473037231798106,2,False,False,False,nan,nan,nan,,nan
39,Kalmar FF,home,Jonathan Ring,Piotr Johansson,53,26,38.0,22.0,93,96,pass accurate,,-0.004783689040057812,0.8614023609249367,2,False,False,False,nan,nan,nan,,nan
40,Kalmar FF,home,Piotr Johansson,Jonathan Ring,47,19,56.0,24.0,97,100,pass accurate,,0.0025660339383090473,0.7490414924248122,2,False,False,False,nan,nan,nan,,nan
41,Kalmar FF,home,Jonathan Ring,Piotr Johansson,51,18,46.0,14.0,99,102,pass accurate,,-0.0025660339383090473,0.7543534885622386,2,False,False,False,nan,nan,nan,,nan
42,Kalmar FF,home,Jonathan Ring,,56,24,51.0,18.0,97,102,carry,,,,2,False,False,False,nan,nan,nan,,nan
43,Kalmar FF,home,Piotr Johansson,Oliver Berg,47,10,60.0,3.0,100,103,pass accurate,,0.00506778581521688,0.755609909924519,2,False,False,False,nan,nan,nan,,nan
44,Mjällby AIF,away,Ivan Kričak,,41,96,,,101,106,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
45,Mjällby AIF,away,Ivan Kričak,,41,96,,,101,106,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
46,Kalmar FF,home,Piotr Johansson,Isak Jansson,61,1,77.0,14.0,115,118,pass accurate,,0.012817206126101655,0.6264098274588024,2,False,False,True,throw-in,nan,nan,,nan
47,Kalmar FF,home,Isak Jansson,,77,16,69.0,1.0,117,120,pass inaccurate,,,0.8630662345373273,2,False,False,False,throw-in,nan,nan,,nan
48,Mjällby AIF,away,Ivan Kričak,,31,99,45.0,89.0,132,135,pass inaccurate,,,0.7853077769305781,3,False,False,True,throw-in,nan,nan,,nan
49,Kalmar FF,home,Lars Saetra,,55,11,67.0,23.0,134,137,pass inaccurate,,,0.6539065288510536,3,False,False,False,nan,nan,nan,,nan
50,Mjällby AIF,away,Max Watson,,33,77,35.0,74.0,137,140,pass inaccurate,,,0.2636798366408354,3,False,False,False,throw-in,nan,nan,,nan
51,Kalmar FF,home,Carl Gustafsson,Jonathan Ring,65,26,88.0,11.0,138,141,pass accurate,,0.01401483084387763,0.5577542160350533,3,False,False,False,nan,nan,nan,,nan
52,Kalmar FF,home,Jonathan Ring,Sebastian Ring,77,18,72.0,70.0,145,148,pass accurate,,-0.006000618034524143,0.6810600629763595,3,False,False,False,nan,nan,nan,,nan
53,Kalmar FF,home,Jonathan Ring,,88,11,77.0,18.0,138,148,carry,,-0.003772888022571655,,3,False,False,False,nan,nan,nan,,nan
54,Kalmar FF,home,Romario Pereira Sipiao,,74,46,,,145,170,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
55,Kalmar FF,home,Sebastian Ring,,74,69,85.0,55.0,148,151,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
56,Kalmar FF,home,Sebastian Ring,,74,69,85.0,55.0,148,151,pass inaccurate,,,0.6401319723285536,3,False,False,False,nan,nan,nan,,nan
57,Mjällby AIF,away,Viktor Gustafson,,15,45,,,149,154,interception unsuccesful,,,,3,False,False,False,nan,nan,nan,,nan
58,Mjällby AIF,away,Viktor Gustafson,,15,45,,,149,154,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
59,Mjällby AIF,away,Viktor Gustafson,,12,45,,,152,157,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
60,Mjällby AIF,away,Viktor Gustafson,,12,45,,,152,157,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
61,Mjällby AIF,away,Enock Kofi Adu,,18,50,,,153,158,block unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
62,Kalmar FF,home,Romario Pereira Sipiao,,80,50,,,154,157,blocked shot,0.03998877833860383,,,3,False,False,False,nan,nan,nan,True,nan
63,Kalmar FF,home,Romario Pereira Sipiao,,80,50,,,154,157,shot,0.03998877833860383,,,3,False,False,False,nan,nan,right foot,True,nan
