external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,home,Jake Larsson,Andreas Skovgaard Larsen,51,49,29.0,44.0,0,3,pass accurate,,-0.004984388684059168,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Örebro,home,Andreas Skovgaard Larsen,,29,47,74.0,0.0,3,6,pass inaccurate,,,0.21532992854084435,1,False,False,False,nan,nan,nan,,nan
2,Halmstad,away,Andreas Bengtsson,Amir Al-Ammari,26,100,25.0,89.0,17,20,pass accurate,,,0.9149565392530736,1,False,False,False,nan,nan,nan,,nan
3,Halmstad,away,Amir Al-Ammari,,25,88,60.0,87.0,17,20,pass inaccurate,,,0.5451496290072044,1,False,False,False,nan,nan,nan,,nan
4,Örebro,home,Michael Almebäck,,40,13,46.0,1.0,20,23,pass inaccurate,,,0.8312923304603533,1,False,False,False,nan,nan,nan,,nan
5,Örebro,home,Hussein Ali,Michael Almebäck,46,1,30.0,13.0,27,30,pass accurate,,-0.001423500293650775,0.867100837621279,1,False,False,False,nan,nan,nan,,nan
6,Örebro,home,Michael Almebäck,Bobby Allain,29,11,10.0,39.0,29,32,pass accurate,,0.0008283045943824913,0.9277240009664239,1,False,False,False,nan,nan,nan,,nan
7,Örebro,home,Bobby Allain,,12,32,52.0,2.0,33,36,pass inaccurate,,,0.753493098203013,1,False,False,False,nan,nan,nan,,nan
8,Halmstad,away,Andreas Bengtsson,Marcus Antonsson,48,98,62.0,93.0,48,51,pass accurate,,0.004577611136330586,0.5838324870425593,1,False,False,False,nan,nan,nan,,nan
9,Halmstad,away,Marcus Antonsson,,61,95,67.0,85.0,49,52,pass inaccurate,,,0.748096364760247,1,False,False,False,nan,nan,nan,,nan
10,Örebro,home,Andreas Skovgaard Larsen,Deniz Hümmet,33,15,45.0,25.0,50,53,pass accurate,,0.0034712252408037516,0.7991000427710027,1,False,False,False,nan,nan,nan,,nan
11,Halmstad,away,Amir Al-Ammari,,55,75,,,53,56,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,Halmstad,away,Amir Al-Ammari,,55,75,,,53,56,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Örebro,home,Deniz Hümmet,,44,25,,,53,56,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Örebro,home,Deniz Hümmet,,44,25,,,53,56,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
