external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,home,Simon Olsson,Christopher Mc Vey,49,52,29.0,52.0,0,3,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,home,Christopher Mc Vey,,31,52,70.0,22.0,2,5,pass inaccurate,,,0.5150556740617365,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,away,Gustav Berggren,,30,78,,,4,9,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,away,Gustav Berggren,,30,78,,,4,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,home,Andrè Ibsen Rømer,Frederik Holst,65,24,62.0,11.0,7,10,pass accurate,,-0.0020636961028419123,0.7985122843165254,1,False,False,False,nan,nan,nan,,nan
5,IF Elfsborg,home,Frederik Holst,Andrè Ibsen Rømer,65,10,67.0,27.0,10,13,pass accurate,,0.007726050268224236,0.7306688373382266,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,home,Andrè Ibsen Rømer,Per Frick,68,27,75.0,26.0,11,14,pass accurate,,0.007567598807833222,0.7080187229905789,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,home,Per Frick,Andrè Ibsen Rømer,73,22,66.0,24.0,12,15,pass accurate,,-0.005712043080806792,0.7918509996299701,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,home,Andrè Ibsen Rømer,Alexander Bernhardsson,69,24,88.0,8.0,12,15,pass accurate,,0.008814354965024605,0.6007281117764427,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,home,Alexander Bernhardsson,Frederik Holst,87,6,87.0,13.0,18,21,pass accurate,,0.001997570461074384,0.48360894795267123,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,home,Frederik Holst,Andrè Ibsen Rømer,88,11,74.0,26.0,19,22,pass accurate,,-0.008864043880449073,0.7279674880789003,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,home,Andrè Ibsen Rømer,,75,24,91.0,59.0,21,24,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,home,Andrè Ibsen Rømer,,75,24,91.0,59.0,21,24,pass inaccurate,,,0.42162564737692587,1,False,False,False,nan,nan,nan,,nan
13,IF Elfsborg,home,Andrè Ibsen Rømer,,75,24,91.0,59.0,21,24,cross inacurate,,,0.42162564737692587,1,False,False,False,nan,nan,nan,,nan
14,BK Häcken,away,Godswill Ekpolo,,9,41,,,21,26,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,away,Patrik Wålemark,,22,38,,,23,28,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,away,Patrik Wålemark,,22,38,,,23,28,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,BK Häcken,away,Alexander Jeremejeff,Kristoffer Lund Hansen,30,69,27.0,85.0,28,31,pass accurate,,-0.0009398460677127601,0.9168819333655953,1,False,False,False,nan,nan,nan,,nan
18,BK Häcken,away,Kristoffer Lund Hansen,Leo Bengtsson,23,94,30.0,94.0,31,34,pass accurate,,0.0011950902385294143,0.8834600918216248,1,False,False,False,nan,nan,nan,,nan
19,BK Häcken,away,Leo Bengtsson,Kristoffer Lund Hansen,28,95,24.0,93.0,33,36,pass accurate,,-0.0011950902385294143,0.5835449365791898,1,False,False,False,nan,nan,nan,,nan
20,BK Häcken,away,Kristoffer Lund Hansen,Leo Bengtsson,21,92,29.0,94.0,34,37,pass accurate,,0.0011950902385294143,0.8719743478637504,1,False,False,False,nan,nan,nan,,nan
21,IF Elfsborg,home,Johan Larsson,,68,16,,,34,39,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,home,Johan Larsson,,68,16,,,34,39,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
23,IF Elfsborg,home,Per Frick,,71,16,,,36,41,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
24,IF Elfsborg,home,Johan Larsson,Per Frick,68,14,70.0,23.0,38,41,pass accurate,,,0.7306192167226658,1,False,False,False,nan,nan,nan,,nan
25,BK Häcken,away,Tobias Carlsson,Tobias Heintz,27,77,36.0,71.0,39,42,pass accurate,,0.00233193591058576,0.8400518790291641,1,False,False,False,nan,nan,nan,,nan
26,BK Häcken,away,Tobias Heintz,,38,80,87.0,69.0,42,45,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
27,BK Häcken,away,Tobias Heintz,,38,80,87.0,69.0,42,45,pass inaccurate,,,0.38676619498041603,1,False,False,False,nan,nan,nan,,nan
28,IF Elfsborg,home,Tim Rönning,Christopher Mc Vey,13,31,23.0,64.0,43,53,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
29,IF Elfsborg,home,Tim Rönning,Christopher Mc Vey,13,31,23.0,64.0,43,53,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
