external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Alexander Fransson,Linus Wahlqvist,50,50,32.0,47.0,0,3,Pass accurate,,-0.0049890352941342146,0.8821105643271655,1,False,False,False,,,,,
1,IFK Norrköping FK,Linus Wahlqvist,,33,43,74.0,92.0,3,6,Pass inaccurate,,,0.5375688531446461,1,False,False,False,,,,,
2,AIK,Mikael Lustig,Zachary Elbouzedi,26,8,31.0,9.0,6,9,Pass accurate,,,0.6497622898443325,1,False,False,False,,,,,
3,AIK,Zachary Elbouzedi,,32,11,36.0,7.0,7,10,Pass inaccurate,,,0.801182870274156,1,False,False,False,,,,,
4,IFK Norrköping FK,Viktor Agardius,Alexander Fransson,64,93,70.0,86.0,9,12,Pass accurate,,0.0073100836892200545,0.724086882615218,1,False,False,False,,,,,
5,IFK Norrköping FK,Alexander Fransson,Christoffer Nyman,69,86,71.0,85.0,11,14,Pass accurate,,,0.25046541951845835,1,False,False,False,,,,,
6,AIK,Sebastian Larsson,,29,16,,,11,14,Air challenge successful,,,,1,False,False,False,,,,,
7,AIK,Sebastian Larsson,,29,16,,,11,14,Challenge successful,,,,1,False,False,False,,,,,
8,IFK Norrköping FK,Alexander Fransson,,71,84,,,11,14,Air challenge unsuccessful,,,,1,False,False,False,,,,,
9,IFK Norrköping FK,Alexander Fransson,,71,84,,,11,14,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,IFK Norrköping FK,Christoffer Nyman,,70,85,72.0,86.0,12,15,Pass inaccurate,,,0.24431262313886445,1,False,False,False,,,,,
11,AIK,Mikael Lustig,,28,14,34.0,11.0,13,16,Pass inaccurate,,,0.8061936855139599,1,False,False,False,,,,,
12,IFK Norrköping FK,Viktor Agardius,,66,89,74.0,83.0,15,18,Pass inaccurate,,,0.6892660265357986,1,False,False,False,,,,,
13,AIK,Bilal Hussein,,26,17,47.0,10.0,15,18,Pass inaccurate,,,0.6960830675285887,1,False,False,False,,,,,
14,IFK Norrköping FK,Marco Lund Nielsen,,53,90,77.0,97.0,18,21,Pass inaccurate,,,0.7038879109252824,1,False,False,False,,,,,
15,AIK,Mikael Lustig,Sebastian Larsson,23,3,24.0,12.0,34,37,Pass accurate,,,0.8697704647084724,1,False,False,False,,,,,
16,AIK,Sebastian Larsson,Mikael Lustig,24,8,26.0,4.0,34,37,Pass accurate,,0.0013203561167510723,0.742240749432042,1,False,False,False,,,,,
17,AIK,Mikael Lustig,,25,5,47.0,13.0,36,39,Pass inaccurate,,,0.5733118612574101,1,False,False,False,,,,,
18,IFK Norrköping FK,Marco Lund Nielsen,Alexander Fransson,53,87,56.0,77.0,41,44,Pass accurate,,,0.7815746468605848,1,False,False,False,,,,,
19,IFK Norrköping FK,Alexander Fransson,Viktor Agardius,55,80,59.0,91.0,43,46,Pass accurate,,0.0008163911606975036,0.8033669171806488,1,False,False,False,,,,,
20,IFK Norrköping FK,Viktor Agardius,,58,92,83.0,91.0,45,48,Pass inaccurate,,,0.6069546227968532,1,False,False,False,,,,,
21,AIK,Alexander Milošević,Mikael Lustig,17,9,26.0,6.0,48,51,Pass accurate,,0.0013203561167510723,0.7341559435138533,1,False,False,False,,,,,
22,AIK,Mikael Lustig,Alexander Milošević,26,5,12.0,9.0,50,53,Pass accurate,,-0.00253709897169678,0.8636610736072048,1,False,False,False,,,,,
23,AIK,Alexander Milošević,,12,7,62.0,6.0,52,55,Pass inaccurate,,,0.35386852819245085,1,False,False,False,,,,,
24,IFK Norrköping FK,Marco Lund Nielsen,,38,94,53.0,86.0,56,59,Pass inaccurate,,,0.7505599087725429,1,False,False,False,,,,,
25,AIK,Sebastian Larsson,Filip Rogic,47,14,49.0,27.0,57,60,Pass accurate,,0.0007922984038406314,0.7932169412839402,1,False,False,False,,,,,
26,IFK Norrköping FK,Abdulrazaq Ishaq,Viktor Agardius,44,76,45.0,82.0,61,64,Pass accurate,,,0.7221864384185098,2,False,False,False,,,,,
27,AIK,Sebastian Larsson,,48,4,89.0,7.0,66,69,Pass inaccurate,,,0.47350467265527574,2,False,False,False,,,,,
