external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Blair Sebastian Turgott,Noah Sonko Sundberg,51,48,27.0,69.0,0,3,Pass accurate,,-0.005781188470905894,0.92503004963569,1,False,False,False,,,,,
1,Östersund,Noah Sonko Sundberg,Malcolm Stolt,25,70,75.0,83.0,3,6,Pass accurate,,0.017219826368971524,0.4335280366219551,1,False,False,False,,,,,
2,Östersund,Malcolm Stolt,,75,85,79.0,74.0,6,9,Pass inaccurate,,,0.6921346478141828,1,False,False,False,,,,,
3,Östersund,Malcolm Stolt,,79,74,,,6,9,Air challenge successful,,,,1,False,False,False,,,,,
4,Östersund,Malcolm Stolt,,79,74,,,6,9,Challenge successful,,,,1,False,False,False,,,,,
5,Hammarby,Astrit Selmani,,21,26,,,6,9,Air challenge unsuccessful,,,,1,False,False,False,,,,,
6,Hammarby,Astrit Selmani,,21,26,,,6,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,Hammarby,Björn Paulsen,Mads Fenger Nielsen,10,39,8.0,68.0,21,24,Pass accurate,,-0.003361785283663366,0.9094623924330689,1,False,False,False,,,,,
8,Hammarby,Mads Fenger Nielsen,Mohanad Jeahze,21,79,27.0,94.0,26,29,Pass accurate,,1.1340439885558842e-05,0.9159974627613927,1,False,False,False,,,,,
9,Hammarby,Mads Fenger Nielsen,,8,68,21.0,79.0,21,29,Carry,,0.0018705392654977601,,1,False,False,False,,,,,
10,Hammarby,Mohanad Jeahze,Björn Paulsen,26,88,16.0,65.0,29,32,Pass accurate,,-8.85330852858409e-05,0.9339559713260128,1,False,False,False,,,,,
11,Hammarby,Björn Paulsen,Mohammed Aziz Ouattara,17,51,13.0,25.0,33,36,Pass accurate,,-0.0007287782506258684,0.926951982131718,1,False,False,False,,,,,
12,Hammarby,Mohammed Aziz Ouattara,Akinkunmi Ayobami Amoo,13,17,46.0,22.0,36,39,Pass accurate,,0.0052154086290168485,0.5974086187610418,1,False,False,False,,,,,
13,Hammarby,Akinkunmi Ayobami Amoo,Williot Swedberg,38,27,32.0,36.0,42,45,Pass accurate,,-0.001300329741981767,0.8675454770169531,1,False,False,False,,,,,
14,Hammarby,Williot Swedberg,Darijan Bojanic,43,60,42.0,41.0,48,51,Pass accurate,,2.7625855668188953e-05,0.8493931107105565,1,False,False,False,,,,,
15,Hammarby,Williot Swedberg,,32,36,43.0,60.0,42,51,Carry,,0.0029860075288443075,,1,False,False,False,,,,,
16,Hammarby,Darijan Bojanic,Akinkunmi Ayobami Amoo,48,28,56.0,17.0,53,56,Pass accurate,,0.001773735534468416,0.7750613336887552,1,False,False,False,,,,,
17,Hammarby,Akinkunmi Ayobami Amoo,,55,17,55.0,17.0,56,59,Pass inaccurate,,,0.22280932146835267,1,False,False,False,,,,,
18,Östersund,Aly Keita,,5,50,54.0,28.0,76,86,Pass inaccurate,,,,2,False,False,False,,,,,
19,Östersund,Aly Keita,,5,50,54.0,28.0,76,86,Goalkeeper kick inaccurate,,,,2,False,False,False,,,,,
20,Hammarby,Darijan Bojanic,,46,72,11.0,91.0,83,86,Pass inaccurate,,,0.9419252168438047,2,False,False,False,,,,,
21,Östersund,Felix Hörberg,Malcolm Stolt,89,9,14.0,57.0,91,94,Pass accurate,,-0.024037913622913465,0.585356780938241,2,False,False,False,,,,,
22,Östersund,Felix Hörberg,Malcolm Stolt,89,9,14.0,57.0,91,94,Cross accurate,,,0.585356780938241,2,False,False,False,,,,,
23,Hammarby,Mads Fenger Nielsen,,10,63,62.0,96.0,93,96,Pass inaccurate,,,0.3377100016002322,2,False,False,False,,,,,
24,Östersund,Noah Sonko Sundberg,Aly Keita,38,4,14.0,31.0,99,102,Pass accurate,,-0.0014270464215317413,0.9174823656109652,2,False,False,False,,,,,
25,Östersund,Aly Keita,Patrick Kpozo,13,29,34.0,75.0,104,107,Pass accurate,,0.0023073749740188387,0.7088906734580696,2,False,False,False,,,,,
