external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,home,Robin Tranberg,Joakim Lindner,51,50,32.0,59.0,0,3,pass accurate,,-0.005153687985360585,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,Varbergs BoIS FC,home,Joakim Lindner,Simon Karlsson Adjei,29,60,82.0,80.0,3,6,pass accurate,,0.01658767927335117,0.44759633260290144,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,home,Joakim Lindner,Simon Karlsson Adjei,29,60,82.0,80.0,3,6,key pass,,,0.44759633260290144,1,False,False,False,nan,nan,nan,,nan
3,Varbergs BoIS FC,home,Simon Karlsson Adjei,,82,80,,,8,11,wide shot,0.015858849591808083,,,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,away,Alfie Malik Whiteman,,18,20,,,8,11,goalkeeper wide shot,,,,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,home,Simon Karlsson Adjei,,82,80,,,8,11,shot,0.015858849591808083,,,1,False,False,False,nan,nan,right foot,,nan
6,Degerfors IF,away,Oliver Ekroth,Sebastian Ohlsson,8,49,8.0,76.0,16,19,pass accurate,,-0.004479589610184255,0.9110734499787234,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,away,Sebastian Ohlsson,,11,84,54.0,73.0,18,21,pass inaccurate,,,0.6126058078476935,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,home,Joakim Lindner,,46,27,,,20,25,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,home,Joakim Lindner,,46,27,,,20,25,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,away,Justin Salmon,,34,68,,,23,26,foul,,,,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,away,Alfie Malik Whiteman,,10,42,,,54,59,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,away,Alfie Malik Whiteman,,10,42,,,54,59,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Degerfors IF,away,Alfie Malik Whiteman,,15,49,60.0,99.0,55,65,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
14,Degerfors IF,away,Alfie Malik Whiteman,,15,49,60.0,99.0,55,65,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
15,Varbergs BoIS FC,home,Gideon Mensah,Simon Karlsson Adjei,40,1,65.0,19.0,74,77,pass accurate,,0.00845751783526927,0.5039965443063932,2,False,False,True,throw-in,nan,nan,,nan
