external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Simon Olsson,Christopher Mc Vey,50,50,32.0,52.0,0,3,pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,Christopher Mc Vey,,32,51,83.0,2.0,2,5,pass inaccurate,,,0.6867628651866687,1,False,False,False,nan,nan,nan,,nan
2,Degerfors IF,Jonathan Syberg Tamimi,,17,98,32.0,83.0,19,22,pass inaccurate,,,0.7647513161850549,1,False,False,False,nan,nan,nan,,nan
3,IF Elfsborg,Leo Väisänen,,68,17,79.0,26.0,20,23,pass inaccurate,,,0.6572909847629088,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,Adam Carlén,,21,74,,,20,25,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,IF Elfsborg,Christopher Mc Vey,,45,31,48.0,48.0,24,27,pass inaccurate,,,0.7796150506078726,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,Johan Bertilsson,Abdelrahman Saidi,52,52,57.0,75.0,26,29,pass accurate,,-0.0015919064916448712,0.7832678133031049,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,Abdelrahman Saidi,Adam Carlén,71,53,72.0,30.0,30,33,pass accurate,,0.0001987427482107,0.777814120898603,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,Abdelrahman Saidi,,57,75,71.0,53.0,26,33,carry,,0.009490825316872765,,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,Adam Carlén,Erik Lindell,72,33,81.0,6.0,33,36,pass accurate,,0.002862623862084447,0.5720642809364019,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,Erik Lindell,,90,12,89.0,35.0,35,38,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,Erik Lindell,,90,12,89.0,35.0,35,38,pass inaccurate,,,0.5541381945116055,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,Erik Lindell,,81,6,90.0,12.0,33,38,carry,,0.006001420018364626,,1,False,False,False,nan,nan,nan,,nan
13,IF Elfsborg,Frederik Holst,,11,65,,,35,40,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
14,IF Elfsborg,Jeppe Møldrup Okkels,,24,95,,,45,50,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
15,Degerfors IF,Erik Lindell,Adam Carlén,73,3,73.0,15.0,55,58,pass accurate,,0.0029833395362104873,0.7148390731608358,1,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,Adam Carlén,Erik Lindell,71,14,73.0,6.0,55,58,pass accurate,,-0.0029833395362104873,0.42758200481942865,1,False,False,False,nan,nan,nan,,nan
17,Degerfors IF,Erik Lindell,Justin Salmon,74,2,70.0,21.0,56,59,pass accurate,,0.0029833395362104873,0.72806532612284,1,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,Justin Salmon,Sebastian Ohlsson,61,26,46.0,52.0,58,61,pass accurate,,-0.005348938495252364,0.8238043117178043,1,False,False,False,nan,nan,nan,,nan
19,Degerfors IF,Justin Salmon,,70,21,61.0,26.0,56,61,carry,,-0.005200475878853025,,1,False,False,False,nan,nan,nan,,nan
20,Degerfors IF,Sebastian Ohlsson,Sean Sabetkar,46,51,35.0,33.0,62,65,pass accurate,,-0.0016856777868625404,0.8808172944384041,2,False,False,False,nan,nan,nan,,nan
21,Degerfors IF,Sean Sabetkar,Justin Salmon,38,41,54.0,50.0,63,66,pass accurate,,0.003823319988116164,0.7562905213721698,2,False,False,False,nan,nan,nan,,nan
22,Degerfors IF,Justin Salmon,Sebastian Ohlsson,47,53,37.0,67.0,65,68,pass accurate,,-0.001991681352865614,0.8763584338667088,2,False,False,False,nan,nan,nan,,nan
23,Degerfors IF,Sebastian Ohlsson,Victor Edvardsen,38,66,67.0,51.0,66,69,pass accurate,,0.012292664063335835,0.5277000525382307,2,False,False,False,nan,nan,nan,,nan
24,Degerfors IF,Victor Edvardsen,Sebastian Ohlsson,67,51,52.0,55.0,68,71,pass accurate,,-0.007898918825227894,0.8493309978447499,2,False,False,False,nan,nan,nan,,nan
25,Degerfors IF,Sebastian Ohlsson,,54,56,61.0,68.0,69,72,pass inaccurate,,,0.7762335501219363,2,False,False,False,nan,nan,nan,,nan
26,IF Elfsborg,Frederik Holst,Rasmus Alm,39,32,49.0,25.0,70,73,pass accurate,,0.0014392921092553218,0.7787556760188415,2,False,False,False,nan,nan,nan,,nan
27,IF Elfsborg,Rasmus Alm,,74,37,,,74,79,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
28,IF Elfsborg,Rasmus Alm,,49,25,74.0,37.0,70,79,carry,,0.01074611113628814,,2,False,False,False,nan,nan,nan,,nan
29,Degerfors IF,Adam Carlén,Jonathan Syberg Tamimi,22,66,21.0,84.0,78,81,pass accurate,,-0.0010631523729679182,0.87175177625819,2,False,False,False,nan,nan,nan,,nan
30,Degerfors IF,Jonathan Syberg Tamimi,,23,88,23.0,88.0,80,83,pass inaccurate,,,0.30289898344718114,2,False,False,False,nan,nan,nan,,nan
31,Degerfors IF,Abdelrahman Saidi,,54,92,45.0,75.0,83,86,pass inaccurate,,,0.860609853834688,2,False,False,False,nan,nan,nan,,nan
32,IF Elfsborg,Andrè Ibsen Rømer,,55,25,55.0,25.0,88,91,pass inaccurate,,,0.22280932146835267,2,False,False,False,nan,nan,nan,,nan
33,Degerfors IF,Erik Lindell,,65,15,88.0,14.0,95,98,pass inaccurate,,,0.5653151251568702,2,False,False,False,nan,nan,nan,,nan
34,IF Elfsborg,Simon Strand,,12,86,,,96,101,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
35,Degerfors IF,Johan Bertilsson,Erik Lindell,87,5,77.0,7.0,102,105,pass accurate,,-0.006001420018364626,0.7423452801044438,2,False,False,False,nan,nan,nan,,nan
36,Degerfors IF,Erik Lindell,Sean Sabetkar,77,8,63.0,9.0,105,108,pass accurate,,-0.010588674130308683,0.7225808559680185,2,False,False,False,nan,nan,nan,,nan
