external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,away,Tobias Heintz,Tobias Carlsson,51,49,33.0,64.0,0,2,pass accurate,,-0.005781188470905894,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,away,Tobias Carlsson,,32,60,70.0,26.0,2,4,pass inaccurate,,,0.5378860113823409,1,False,False,False,nan,nan,nan,,nan
2,AIK,home,Sotirios Papagiannopoulos,,30,74,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,AIK,home,Sotirios Papagiannopoulos,,30,74,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,away,Jasse Tuominen,,70,26,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,BK Häcken,away,Jasse Tuominen,,70,26,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,AIK,home,Sotirios Papagiannopoulos,,30,75,,,5,10,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,away,Alexander Faltsetas,,65,22,88.0,12.0,8,10,pass inaccurate,,,0.5543996639909459,1,False,False,False,nan,nan,nan,,nan
8,AIK,home,Erick Ouma Otieno,,12,88,29.0,79.0,11,13,pass inaccurate,,,0.7873553707601284,1,False,False,False,nan,nan,nan,,nan
9,BK Häcken,away,Gustav Berggren,,71,21,87.0,35.0,12,14,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,away,Gustav Berggren,,71,21,87.0,35.0,12,14,pass inaccurate,,,0.5556936347982574,1,False,False,False,nan,nan,nan,,nan
11,AIK,home,Alexander Milošević,,13,65,29.0,74.0,14,16,pass inaccurate,,,0.7870240597424037,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,away,Gustav Berggren,,71,26,,,16,19,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,away,Gustav Berggren,,71,26,,,16,19,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,AIK,home,Erik Ring,,29,74,,,16,19,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
15,AIK,home,Erik Ring,,29,74,,,16,19,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,away,Gustav Berggren,,73,27,83.0,27.0,17,19,pass inaccurate,,,0.6720866905069399,1,False,False,False,nan,nan,nan,,nan
17,AIK,home,Nicolas Stefanelli,,37,85,,,21,31,dribble successful,,,,1,False,False,False,nan,nan,nan,,nan
18,AIK,home,Erick Ouma Otieno,Nicolas Stefanelli,30,95,34.0,83.0,23,25,pass accurate,,0.0029782499871288098,0.845896532063723,1,False,False,False,nan,nan,nan,,nan
19,BK Häcken,away,Gustav Berggren,,48,21,,,26,29,foul,,,,1,False,False,False,nan,nan,nan,,nan
20,AIK,home,Zachary Elbouzedi,Mikael Lustig,78,4,66.0,12.0,44,46,pass accurate,,-0.010588674130308683,0.7538509256282356,1,False,False,False,nan,nan,nan,,nan
21,AIK,home,Mikael Lustig,Sotirios Papagiannopoulos,65,24,54.0,56.0,49,51,pass accurate,,-0.0024353074080562705,0.8249251826706283,1,False,False,False,nan,nan,nan,,nan
22,AIK,home,Mikael Lustig,,66,12,65.0,24.0,44,51,carry,,0.0020636961028419123,,1,False,False,False,nan,nan,nan,,nan
23,AIK,home,Sotirios Papagiannopoulos,Erick Ouma Otieno,55,66,65.0,93.0,52,54,pass accurate,,-8.680355996762076e-05,0.5748365732368489,1,False,False,False,nan,nan,nan,,nan
24,AIK,home,Sotirios Papagiannopoulos,,54,56,55.0,66.0,49,54,carry,,-0.0006887117709797469,,1,False,False,False,nan,nan,nan,,nan
25,AIK,home,Erick Ouma Otieno,Alexander Milošević,59,85,44.0,50.0,59,61,pass accurate,,-0.003998948396048061,0.8384598025698421,1,False,False,False,nan,nan,nan,,nan
26,AIK,home,Erick Ouma Otieno,,65,93,59.0,85.0,52,61,carry,,0.002372399841753102,,1,False,False,False,nan,nan,nan,,nan
27,AIK,home,Alexander Milošević,Henok Goitom,50,47,67.0,40.0,64,66,pass accurate,,0.008142017674779557,0.6747535633016019,2,False,False,False,nan,nan,nan,,nan
28,AIK,home,Henok Goitom,Yasin Ayari,68,43,66.0,33.0,66,68,pass accurate,,-0.005190496454694472,0.8126173274102668,2,False,False,False,nan,nan,nan,,nan
29,AIK,home,Yasin Ayari,Zachary Elbouzedi,67,33,69.0,26.0,67,69,pass accurate,,,0.7153850483834229,2,False,False,False,nan,nan,nan,,nan
30,AIK,home,Zachary Elbouzedi,Mikael Lustig,67,21,62.0,15.0,68,70,pass accurate,,-0.005712043080806792,0.8030269703380124,2,False,False,False,nan,nan,nan,,nan
31,AIK,home,Mikael Lustig,Alexander Milošević,62,7,37.0,25.0,72,74,pass accurate,,-0.004459352977319225,0.8556370605175806,2,False,False,False,nan,nan,nan,,nan
