external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Bilal Hussein,51,49,41.0,54.0,0,2,Pass accurate,,-0.003905945421392925,0.8606791863384019,1,False,False,False,,,,,
1,AIK,Bilal Hussein,Eric Kahl,40,61,42.0,93.0,2,4,Pass accurate,,-0.0014425344358099824,0.716185545969233,1,False,False,False,,,,,
2,AIK,Eric Kahl,Mikael Lustig,42,91,30.0,39.0,5,7,Pass accurate,,0.00036409117314373934,0.8873393428137163,1,False,False,False,,,,,
3,AIK,Mikael Lustig,Erick Ouma Otieno,32,41,42.0,13.0,8,10,Pass accurate,,0.0015482873274440378,0.8438035455809718,1,False,False,False,,,,,
4,AIK,Erick Ouma Otieno,Mikael Lustig,43,11,33.0,24.0,11,13,Pass accurate,,-0.001423500293650775,0.8582846243776666,1,False,False,False,,,,,
5,AIK,Mikael Lustig,Sotirios Papagiannopoulos,38,34,38.0,73.0,16,18,Pass accurate,,-0.0003060035660030734,0.8302716325240904,1,False,False,False,,,,,
6,AIK,Sotirios Papagiannopoulos,Erick Ouma Otieno,45,70,56.0,7.0,22,24,Pass accurate,,0.00047707809870461276,0.7429279795337349,1,False,False,False,,,,,
7,AIK,Erick Ouma Otieno,,62,7,71.0,20.0,27,29,Pass inaccurate,,,0.6786083870650413,1,False,False,False,,,,,
8,AIK,Erick Ouma Otieno,,56,7,62.0,7.0,22,29,Carry,,0.002890132064769336,,1,False,False,False,,,,,
9,Varbergs BoIS FC,Anton Liljenbäck,,29,80,,,27,32,Interception unsuccesful,,,,1,False,False,False,,,,,
10,Varbergs BoIS FC,Anton Liljenbäck,,29,80,,,27,32,Challenge successful,,,,1,False,False,False,,,,,
11,AIK,Erick Ouma Otieno,Yasin Ayari,58,24,60.0,9.0,34,36,Pass accurate,,0.0012463253335954876,0.6856647192562383,1,False,False,False,,,,,
12,AIK,Yasin Ayari,Bilal Hussein,47,14,38.0,31.0,37,39,Pass accurate,,-0.0006469937054146904,0.8495447043196185,1,False,False,False,,,,,
13,AIK,Bilal Hussein,Sotirios Papagiannopoulos,39,30,37.0,58.0,39,41,Pass accurate,,0.00017714964063689567,0.8712217846328982,1,False,False,False,,,,,
14,AIK,Sotirios Papagiannopoulos,Eric Kahl,55,81,69.0,94.0,44,46,Pass accurate,,0.004741717686177215,0.7606759773472475,1,False,False,False,,,,,
15,AIK,Sotirios Papagiannopoulos,,37,58,55.0,81.0,39,46,Carry,,0.0023186855398231003,,1,False,False,False,,,,,
16,AIK,Eric Kahl,Bilal Hussein,68,91,60.0,73.0,47,49,Pass accurate,,-0.0006112478627988208,0.8248493916993195,1,False,False,False,,,,,
17,AIK,Bilal Hussein,Mikael Lustig,60,74,44.0,50.0,49,51,Pass accurate,,-0.00494062721697585,0.8574428008953752,1,False,False,False,,,,,
18,Varbergs BoIS FC,Albin Winbo,,30,54,,,52,57,Interception succesful,,,,1,False,False,False,,,,,
19,Varbergs BoIS FC,Albin Winbo,,30,54,,,52,57,Challenge unsuccessful,,,,1,False,False,False,,,,,
20,AIK,Mikael Lustig,,54,44,70.0,45.0,52,54,Pass inaccurate,,,0.6702173347905152,1,False,False,False,,,,,
21,Varbergs BoIS FC,Albin Winbo,Tashreeq Matthews,30,55,64.0,92.0,53,55,Pass accurate,,0.004378172654413218,0.5794631885915708,1,False,False,False,,,,,
22,AIK,Mikael Lustig,,37,9,,,56,61,Tackle successful,,,,1,False,False,False,,,,,
23,AIK,Mikael Lustig,,37,9,,,56,61,Challenge unsuccessful,,,,1,False,False,False,,,,,
24,AIK,Erick Ouma Otieno,Mikael Lustig,42,2,29.0,23.0,66,68,Pass accurate,,-0.001423500293650775,0.867100837621279,2,False,False,False,,,,,
25,AIK,Mikael Lustig,Sotirios Papagiannopoulos,27,24,32.0,54.0,67,69,Pass accurate,,0.0009659868182927116,0.8267464717081753,2,False,False,False,,,,,
26,AIK,Sotirios Papagiannopoulos,Bilal Hussein,31,47,40.0,77.0,70,72,Pass accurate,,-0.00015284658059168746,0.8020899765114118,2,False,False,False,,,,,
27,AIK,Bilal Hussein,Eric Kahl,39,70,63.0,90.0,73,75,Pass accurate,,0.003618229907160573,0.6502098751767971,2,False,False,False,,,,,
28,AIK,Eric Kahl,Sotirios Papagiannopoulos,62,75,45.0,57.0,77,79,Pass accurate,,-0.003998948396048061,0.8663402881644043,2,False,False,False,,,,,
29,AIK,Eric Kahl,,63,90,62.0,75.0,73,79,Carry,,0.002372399841753102,,2,False,False,False,,,,,
30,AIK,Yasin Ayari,,84,10,,,78,103,Final third entry,,,,2,False,False,False,,,,,
31,AIK,Sotirios Papagiannopoulos,Erick Ouma Otieno,54,53,60.0,15.0,81,83,Pass accurate,,0.0024353074080562705,0.7839590403831894,2,False,False,False,,,,,
32,AIK,Erick Ouma Otieno,Yasin Ayari,67,20,81.0,9.0,85,87,Pass accurate,,0.002812934946659979,0.5720238614746719,2,False,False,False,,,,,
33,AIK,Erick Ouma Otieno,,60,15,67.0,20.0,81,87,Carry,,0.005712043080806792,,2,False,False,False,,,,,
34,AIK,Yasin Ayari,,85,9,,,86,111,Final third entry,,,,2,False,False,False,,,,,
35,Varbergs BoIS FC,Albin Winbo,,20,66,,,86,91,Interception succesful,,,,2,False,False,False,,,,,
36,Varbergs BoIS FC,Albin Winbo,,20,66,,,86,91,Challenge unsuccessful,,,,2,False,False,False,,,,,
37,AIK,Yasin Ayari,,85,10,80.0,32.0,87,89,Pass inaccurate,,,0.6211206396242116,2,False,False,False,,,,,
38,AIK,Yasin Ayari,,85,10,80.0,32.0,87,89,Cross inacurate,,,0.6211206396242116,2,False,False,False,,,,,
39,Varbergs BoIS FC,Albert Ejupi,Anton Liljenbäck,20,68,24.0,77.0,90,92,Pass accurate,,-0.0010631523729679182,0.9057906070212,2,False,False,False,,,,,
40,Varbergs BoIS FC,Anton Liljenbäck,,21,85,,,91,96,Lost ball,,,,2,False,False,False,,,,,
41,AIK,Yasin Ayari,,80,16,,,92,97,Tackle successful,,,,2,False,False,False,,,,,
42,AIK,Yasin Ayari,,80,16,,,92,97,Challenge unsuccessful,,,,2,False,False,False,,,,,
43,AIK,Eric Kahl,,73,58,,,96,99,Wide shot,0.01565211330361603,,,2,False,False,False,,,,True,
44,Varbergs BoIS FC,Stojan Lukic,,27,42,,,96,99,Goalkeeper wide shot,,,,2,False,False,False,,,,,
