external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Blair Sebastian Turgott,Eirik Haugan,51,49,33.0,37.0,0,3,Pass accurate,,-0.005383424804011588,0.8868296576857062,1,False,False,False,,,,,
1,Östersund,Eirik Haugan,,34,35,64.0,72.0,3,6,Pass inaccurate,,,0.5734860193163216,1,False,False,False,,,,,
2,Mjällby AIF,Viktor Gustafson,,36,28,,,3,8,Lost ball,,,,1,False,False,False,,,,,
3,Östersund,Ludvig Fritzson,Patrick Kpozo,58,60,50.0,73.0,5,8,Pass accurate,,-0.0006887117709797469,0.8269141422206417,1,False,False,False,,,,,
4,Östersund,Patrick Kpozo,,49,74,59.0,74.0,7,10,Pass inaccurate,,,0.7786746468696044,1,False,False,False,,,,,
5,Mjällby AIF,Joel Nilsson,Jacob Bergström,57,9,65.0,30.0,11,14,Pass accurate,,0.005465395369565015,0.710678145063224,1,False,False,False,,,,,
6,Östersund,Eirik Haugan,,38,67,73.0,76.0,16,19,Pass inaccurate,,,0.498245331748897,1,False,False,False,,,,,
7,Mjällby AIF,Max Watson,Carljohan Eriksson,27,24,9.0,28.0,20,23,Pass accurate,,-0.0013295820450914438,0.9362128192446652,1,False,False,False,,,,,
8,Mjällby AIF,Carljohan Eriksson,,10,31,,,21,26,Clearance inaccurate,,,,1,False,False,False,,,,,
9,Östersund,Patrick Kpozo,Henrik Bellman,48,98,54.0,90.0,38,41,Pass accurate,,0.0018941870467369792,0.815550539138677,1,False,False,True,Throw-in,,,,
10,Östersund,Henrik Bellman,Patrick Kpozo,54,88,46.0,92.0,39,42,Pass accurate,,-0.0018941870467369792,0.8294847331556026,1,False,False,False,Throw-in,,,,
11,Östersund,Patrick Kpozo,Malcolm Stolt,45,93,65.0,91.0,41,44,Pass accurate,,0.004577611136330586,0.6977737940780937,1,False,False,False,Throw-in,,,,
12,Mjällby AIF,Max Watson,Jesper Gustavsson,33,9,36.0,14.0,44,47,Pass accurate,,0.002628083232345188,0.704744381590052,1,False,False,False,,,,,
13,Mjällby AIF,Jesper Gustavsson,,36,10,43.0,3.0,44,47,Pass inaccurate,,,0.8302021675858028,1,False,False,False,,,,,
14,Mjällby AIF,Max Watson,,43,3,64.0,10.0,58,61,Pass inaccurate,,,0.6399109213116205,1,False,False,True,Throw-in,,,,
15,Östersund,Patrick Kpozo,,36,90,39.0,86.0,59,62,Pass inaccurate,,,0.6886433783635156,1,False,False,False,,,,,
16,Mjällby AIF,Viktor Gustafson,,61,14,66.0,26.0,60,63,Pass inaccurate,,,0.755409648798713,2,False,False,False,Throw-in,,,,
17,Mjällby AIF,Viktor Gustafson,,66,26,,,61,64,Air challenge unsuccessful,,,,2,False,False,False,Throw-in,,,,
18,Mjällby AIF,Viktor Gustafson,,66,26,,,61,64,Challenge unsuccessful,,,,2,False,False,False,Throw-in,,,,
19,Östersund,Charlie Colkett,,34,74,,,61,64,Air challenge successful,,,,2,False,False,False,,,,,
20,Östersund,Charlie Colkett,,34,74,,,61,64,Challenge successful,,,,2,False,False,False,,,,,
21,Östersund,Patrick Kpozo,Aly Keita,32,86,8.0,70.0,63,66,Pass accurate,,-0.0032763304185443303,0.9385759234112119,2,False,False,False,,,,,
22,Östersund,Aly Keita,,8,70,,,66,71,Clearance inaccurate,,,,2,False,False,False,,,,,
23,Mjällby AIF,Max Watson,Jacob Bergström,74,3,90.0,16.0,84,87,Pass accurate,,0.013795264962309477,0.5778664531407307,2,False,False,True,Throw-in,,,,
24,Mjällby AIF,Elias Andersson,,98,2,98.0,4.0,111,121,Right corner inaccurate,,,,2,False,False,False,Corner,Cleared,,,
25,Mjällby AIF,Jacob Bergström,Joel Nilsson,98,4,93.0,41.0,114,117,Pass into the box,,,,2,False,False,False,Corner,,,,
26,Mjällby AIF,Jacob Bergström,Joel Nilsson,98,4,93.0,41.0,114,117,Pass accurate,,0.20093745580832945,0.42217019540262574,2,False,False,False,Corner,,,,
