external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Simon Olsson,Leo Väisänen,51,49,31.0,54.0,0,3,pass accurate,,-0.005149041375285539,0.8913926315812905,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,Leo Väisänen,Sveinn Gudjohnsen,32,58,70.0,33.0,3,6,pass accurate,,0.01325134955879918,0.5096544459428137,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,Sveinn Gudjohnsen,Andrè Ibsen Rømer,70,26,63.0,26.0,6,9,pass accurate,,-0.005150786963428557,0.8122444423626108,1,False,False,False,nan,nan,nan,,nan
3,IF Elfsborg,Sveinn Gudjohnsen,,70,27,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,Sveinn Gudjohnsen,,70,27,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IK Sirius FK,Jacob Ortmark,,31,72,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IK Sirius FK,Jacob Ortmark,,31,72,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,Andrè Ibsen Rømer,Johan Larsson,62,31,67.0,10.0,8,11,pass accurate,,0.0022171363426425374,0.8060019161435968,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,Johan Larsson,Jeppe Møldrup Okkels,72,8,80.0,67.0,10,13,pass accurate,,0.009513320801250225,0.5330711835596502,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,Johan Larsson,,67,10,72.0,8.0,8,13,carry,,,,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,Jeppe Møldrup Okkels,,80,71,91.0,61.0,13,16,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,Jeppe Møldrup Okkels,,80,71,91.0,61.0,13,16,pass inaccurate,,,0.5718974410871308,1,False,False,False,nan,nan,nan,,nan
12,IK Sirius FK,August Ahlin,,9,39,,,13,18,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
13,IK Sirius FK,August Ahlin,,9,39,,,13,18,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,IK Sirius FK,August Ahlin,Jamie Roche,8,36,15.0,26.0,15,25,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
15,IK Sirius FK,August Ahlin,Jamie Roche,8,36,15.0,26.0,15,25,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
16,IK Sirius FK,Jamie Roche,Moustafa Zeidan,19,21,25.0,28.0,23,26,pass accurate,,0.002167052507146147,0.8639987824062603,1,False,False,False,nan,nan,nan,,nan
17,IK Sirius FK,Moustafa Zeidan,Marcus Klingenberg Mathisen,23,22,8.0,55.0,24,27,pass accurate,,0.0008171708719758291,0.9237368760409476,1,False,False,False,nan,nan,nan,,nan
18,IK Sirius FK,Marcus Klingenberg Mathisen,Jamie Roche,7,63,9.0,11.0,26,29,pass accurate,,-3.618282415905269e-06,0.9122811596416938,1,False,False,False,nan,nan,nan,,nan
19,IK Sirius FK,Jamie Roche,Joseph Colley,5,13,6.0,26.0,29,32,pass accurate,,0.0014789548422605159,0.9059113838015763,1,False,False,False,nan,nan,nan,,nan
20,IK Sirius FK,Joseph Colley,,7,22,29.0,12.0,30,33,pass inaccurate,,,0.7788379568613429,1,False,False,False,nan,nan,nan,,nan
21,IF Elfsborg,Simon Strand,,71,88,,,30,35,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,Simon Strand,,71,88,,,30,35,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
23,IF Elfsborg,Simon Strand,Jeppe Møldrup Okkels,75,92,83.0,86.0,31,34,pass accurate,,0.002596221831212355,0.6667593717784617,1,False,False,False,nan,nan,nan,,nan
24,IF Elfsborg,Jeppe Møldrup Okkels,Simon Strand,87,86,86.0,90.0,32,35,pass accurate,,-0.001191926604358462,0.21732181657309993,1,False,False,False,nan,nan,nan,,nan
