external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Simon Olsson,Christopher Mc Vey,49,52,28.0,49.0,0,3,Pass accurate,,-0.0025869714088918878,0.9161791357261458,1,False,False,False,,,,,
1,IF Elfsborg,Christopher Mc Vey,,28,53,70.0,24.0,3,6,Pass inaccurate,,,0.5150556740617365,1,False,False,False,,,,,
2,Östersund,Nikolaos Dosis,,30,76,,,4,9,Clearance inaccurate,,,,1,False,False,False,,,,,
3,IF Elfsborg,Frederik Holst,Johan Larsson,63,13,68.0,8.0,7,10,Pass accurate,,0.0027287035445963045,0.708255265402286,1,False,False,False,,,,,
4,IF Elfsborg,Johan Larsson,,67,6,83.0,8.0,9,12,Pass inaccurate,,,0.6205122606060903,1,False,False,False,,,,,
5,Östersund,Eirik Haugan,,17,92,,,9,14,Interception succesful,,,,1,False,False,False,,,,,
6,Östersund,Eirik Haugan,,17,92,,,9,14,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,Östersund,Patrick Kpozo,Ludvig Fritzson,17,93,29.0,91.0,15,18,Pass accurate,,0.0011950902385294143,0.7916522100531015,1,False,False,False,,,,,
8,Östersund,Ludvig Fritzson,Nikolaos Dosis,26,93,23.0,82.0,15,18,Pass accurate,,-1.1340439885558842e-05,0.9230144560364573,1,False,False,False,,,,,
9,Östersund,Nikolaos Dosis,Noah Sonko Sundberg,18,84,12.0,58.0,17,20,Pass accurate,,0.0010552641327144716,0.9222322628753178,1,False,False,False,,,,,
10,Östersund,Noah Sonko Sundberg,Samuel Laryea Mensiro,20,36,21.0,11.0,21,24,Pass accurate,,-0.0021311896497578538,0.9202105600234552,1,False,False,False,,,,,
11,Östersund,Noah Sonko Sundberg,,12,58,20.0,36.0,17,24,Carry,,0.00041851082407542463,,1,False,False,False,,,,,
12,Östersund,Samuel Laryea Mensiro,,17,10,82.0,36.0,24,27,Pass inaccurate,,,0.3405795065076985,1,False,False,False,,,,,
13,IF Elfsborg,Tim Rönning,Oliver Zandén,18,64,22.0,77.0,29,32,Pass accurate,,-0.0010631523729679182,0.9095366094605176,1,False,False,False,,,,,
14,Östersund,Samuel Laryea Mensiro,,27,9,,,32,37,Clearance inaccurate,,,,1,False,False,False,,,,,
15,IF Elfsborg,Oliver Zandén,,23,91,43.0,91.0,32,35,Pass inaccurate,,,0.7396727275997546,1,False,False,False,,,,,
16,IF Elfsborg,Tim Rönning,Oliver Zandén,4,54,36.0,89.0,44,54,Pass accurate,,,,1,False,False,False,,,,,
17,IF Elfsborg,Tim Rönning,Oliver Zandén,4,54,36.0,89.0,44,54,Goalkeeper kick accurate,,,,1,False,False,False,,,,,
18,IF Elfsborg,Oliver Zandén,Simon Olsson,46,93,37.0,79.0,54,57,Pass accurate,,0.00021124459255205189,0.8770100816466764,1,False,False,False,,,,,
19,IF Elfsborg,Simon Olsson,Andrè Ibsen Rømer,39,78,35.0,62.0,57,60,Pass accurate,,0.0012312898432579305,0.87230301542333,1,False,False,False,,,,,
20,IF Elfsborg,Andrè Ibsen Rømer,Christopher Mc Vey,35,62,25.0,55.0,59,62,Pass accurate,,-0.0012430959538926138,0.9182308498948432,1,False,False,False,,,,,
21,IF Elfsborg,Christopher Mc Vey,Leo Väisänen,24,59,31.0,26.0,60,63,Pass accurate,,0.001332407184032238,0.8588358722614089,2,False,False,False,,,,,
22,IF Elfsborg,Leo Väisänen,Johan Larsson,38,20,64.0,6.0,65,68,Pass accurate,,0.005212058950826326,0.4364898149799739,2,False,False,False,,,,,
23,IF Elfsborg,Johan Larsson,Rasmus Alm,68,6,85.0,13.0,67,70,Pass accurate,,0.013795264962309477,0.626190427943893,2,False,False,False,,,,,
24,IF Elfsborg,Rasmus Alm,,90,14,90.0,14.0,69,72,Pass inaccurate,,,0.2627112615125941,2,False,False,False,,,,,
25,IF Elfsborg,Rasmus Alm,,90,14,90.0,14.0,69,72,Cross inacurate,,,0.2627112615125941,2,False,False,False,,,,,
26,IF Elfsborg,Rasmus Alm,,85,13,90.0,14.0,67,72,Carry,,,,2,False,False,False,,,,,
27,Östersund,Samuel Laryea Mensiro,,10,30,,,71,76,Clearance inaccurate,,,,2,False,False,False,,,,,
28,IF Elfsborg,Christopher Mc Vey,Tim Rönning,39,67,25.0,44.0,76,79,Pass accurate,,-0.000595290056026274,0.9210287930584248,2,False,False,False,,,,,
29,IF Elfsborg,Tim Rönning,Leo Väisänen,25,39,30.0,17.0,81,84,Pass accurate,,-0.0011306395095190824,0.8821543134625457,2,False,False,False,,,,,
30,IF Elfsborg,Leo Väisänen,,30,18,87.0,48.0,85,88,Pass into the box,,,,2,False,False,False,,,,,
