external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,Jesper Gustavsson,Elias Andersson,49,50,32.0,51.0,0,3,Pass accurate,,-0.0027516241001182586,0.8821105643271655,1,False,False,False,,,,,
1,Mjällby AIF,Elias Andersson,Kadir Hodzic,36,62,55.0,83.0,3,6,Pass accurate,,0.0023186855398231003,0.7287568885770079,1,False,False,False,,,,,
2,Mjällby AIF,Kadir Hodzic,Ivan Kričak,54,79,32.0,80.0,5,8,Pass accurate,,-0.005133774657048829,0.8839699525949453,1,False,False,False,,,,,
3,Mjällby AIF,Ivan Kričak,Max Watson,31,70,31.0,29.0,8,11,Pass accurate,,0.00039776366689430603,0.8726954546637135,1,False,False,False,,,,,
4,Mjällby AIF,Max Watson,Carlos Moros Gracia,34,29,31.0,64.0,13,16,Pass accurate,,-0.001698093408876073,0.8750853114999068,1,False,False,False,,,,,
5,Mjällby AIF,Carlos Moros Gracia,Max Watson,33,52,37.0,27.0,16,19,Pass accurate,,0.0010659463132557181,0.8805618221203809,1,False,False,False,,,,,
6,Mjällby AIF,Max Watson,Joel Nilsson,38,32,45.0,7.0,18,21,Pass accurate,,-0.0006084328378976548,0.8761821703060523,1,False,False,False,,,,,
7,Mjällby AIF,Joel Nilsson,Jesper Gustavsson,43,8,43.0,24.0,20,23,Pass accurate,,0.0012554265433123452,0.8333402153402731,1,False,False,False,,,,,
8,Mjällby AIF,Jesper Gustavsson,Carlos Moros Gracia,43,26,33.0,49.0,22,25,Pass accurate,,-0.002340585731284669,0.8689202656536201,1,False,False,False,,,,,
9,Mjällby AIF,Carlos Moros Gracia,Elias Andersson,53,54,55.0,79.0,27,30,Pass accurate,,-0.0015919064916448712,0.8137366265426207,1,False,False,False,,,,,
10,Mjällby AIF,Carlos Moros Gracia,,33,49,53.0,54.0,22,30,Carry,,0.0049890352941342146,,1,False,False,False,,,,,
11,Mjällby AIF,Elias Andersson,Kadir Hodzic,67,80,73.0,94.0,31,34,Pass accurate,,-0.003384757163740343,0.8136529987603266,1,False,False,False,,,,,
12,Mjällby AIF,Elias Andersson,,55,79,67.0,80.0,27,34,Carry,,0.008126474849917558,,1,False,False,False,,,,,
13,Mjällby AIF,Kadir Hodzic,Ivan Kričak,72,92,66.0,89.0,35,38,Pass accurate,,-0.003925326525479712,0.7931275285363413,1,False,False,False,,,,,
14,Mjällby AIF,Ivan Kričak,Jesper Gustavsson,67,89,66.0,73.0,38,41,Pass accurate,,-0.0006112478627988208,0.8089581328509553,1,False,False,False,,,,,
15,Mjällby AIF,Jesper Gustavsson,Ivan Kričak,66,73,67.0,87.0,40,43,Pass accurate,,0.003996005026539164,0.7764962328429735,1,False,False,False,,,,,
16,Mjällby AIF,Ivan Kričak,Jesper Gustavsson,62,86,62.0,76.0,42,45,Pass accurate,,,0.794550540038566,1,False,False,False,,,,,
17,Mjällby AIF,Ivan Kričak,,67,87,62.0,86.0,40,45,Carry,,-0.0049376838474669525,,1,False,False,False,,,,,
18,Mjällby AIF,Jesper Gustavsson,Max Watson,61,73,44.0,50.0,45,48,Pass accurate,,-0.00494062721697585,0.8614155885971638,1,False,False,False,,,,,
