external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Henrik Bellman,Eirik Haugan,51,49,31.0,51.0,0,3,pass accurate,,-0.005149041375285539,0.8913926315812905,1,False,False,False,nan,nan,nan,,nan
1,Östersund,Eirik Haugan,,31,52,75.0,87.0,2,5,pass inaccurate,,,0.4458369910993432,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,Joona Toivio,,25,13,,,6,11,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,Joona Toivio,,26,15,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,Joona Toivio,,26,15,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Östersund,Ludvig Fritzson,,74,84,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,Ludvig Fritzson,,74,84,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,Daleho Irandust,,33,5,,,7,17,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,Daleho Irandust,,34,5,,,7,12,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
9,Östersund,Patrick Kpozo,Ludvig Fritzson,47,97,67.0,90.0,10,13,pass accurate,,0.008502937661810298,0.6556292574090186,1,False,False,False,nan,nan,nan,,nan
10,Östersund,Ludvig Fritzson,,81,95,,,15,20,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
11,Östersund,Ludvig Fritzson,,67,90,81.0,95.0,10,20,carry,,0.005687958262245885,,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,Godswill Ekpolo,,19,6,,,15,20,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,Godswill Ekpolo,,19,6,,,15,20,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,BK Häcken,Godswill Ekpolo,Alexander Jeremejeff,26,4,35.0,23.0,19,22,pass accurate,,0.002628083232345188,0.7692079428112725,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,Alexander Jeremejeff,Gustav Berggren,33,23,31.0,32.0,22,25,pass accurate,,0.0007316033895666627,0.8481830082739537,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,Gustav Berggren,Martin Olsson,31,29,34.0,87.0,23,26,pass accurate,,0.00024618953936073225,0.8237055390468042,1,False,False,False,nan,nan,nan,,nan
17,BK Häcken,Martin Olsson,Tobias Carlsson,32,91,25.0,76.0,29,32,pass accurate,,0.0013944507131610114,0.9126992561236816,1,False,False,False,nan,nan,nan,,nan
18,BK Häcken,Tobias Carlsson,Joona Toivio,26,76,24.0,35.0,32,35,pass accurate,,6.7983803743326e-05,0.920348378091347,1,False,False,False,nan,nan,nan,,nan
19,BK Häcken,Joona Toivio,Godswill Ekpolo,22,32,29.0,8.0,35,38,pass accurate,,-0.0008108335330067815,0.8606273042531059,1,False,False,False,nan,nan,nan,,nan
20,BK Häcken,Godswill Ekpolo,Joona Toivio,34,4,30.0,16.0,40,43,pass accurate,,-9.746437644029757e-05,0.8559881693205171,1,False,False,False,nan,nan,nan,,nan
21,BK Häcken,Joona Toivio,Peter Abrahamsson,30,13,9.0,36.0,43,46,pass accurate,,-0.0013295820450914438,0.9277240009664239,1,False,False,False,nan,nan,nan,,nan
22,BK Häcken,Peter Abrahamsson,Tobias Carlsson,9,43,23.0,70.0,46,49,pass accurate,,-0.00042809364519768786,0.8992968729908959,1,False,False,False,nan,nan,nan,,nan
23,BK Häcken,Tobias Carlsson,Martin Olsson,35,80,85.0,92.0,53,56,pass accurate,,0.020194087134355984,0.5053978595557272,1,False,False,False,nan,nan,nan,,nan
24,Östersund,Felix Hörberg,,14,25,,,56,61,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
25,Östersund,Felix Hörberg,,14,25,,,56,61,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
26,BK Häcken,Leo Bengtsson,,77,71,,,58,63,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
27,Östersund,Nikolaos Dosis,,23,28,,,59,64,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
28,Östersund,Nikolaos Dosis,,23,28,,,59,64,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
