external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Darijan Bojanic,Jón Gudni Fjóluson,49,51,31.0,74.0,0,3,Pass accurate,,-0.0033837711957386135,0.8941962647139459,1,False,False,False,,,,,
1,Hammarby,Jón Gudni Fjóluson,Richard Magyar,29,74,28.0,54.0,2,5,Pass accurate,,0.000632147095620355,0.8875508870076803,1,False,False,False,,,,,
2,Hammarby,Richard Magyar,David Ousted,27,55,6.0,44.0,5,8,Pass accurate,,-0.0012793833181639538,0.9414389322072737,1,False,False,False,,,,,
3,Hammarby,David Ousted,,8,40,56.0,26.0,8,11,Pass inaccurate,,,0.5996166745185927,1,False,False,False,,,,,
4,IFK Norrköping FK,Marco Lund Nielsen,,44,74,,,10,15,Clearance accurate,,,,1,False,False,False,,,,,
5,IFK Norrköping FK,Alexander Fransson,Linus Wahlqvist,54,61,35.0,44.0,13,16,Pass accurate,,-0.003823319988116164,0.879702105107301,1,False,False,False,,,,,
6,IFK Norrköping FK,Linus Wahlqvist,,37,39,75.0,71.0,16,19,Pass inaccurate,,,0.4456402154805547,1,False,False,False,,,,,
7,Hammarby,Mads Fenger Nielsen,,25,29,,,17,22,Clearance accurate,,,,1,False,False,False,,,,,
8,Hammarby,Mohammed Aziz Ouattara,,29,51,,,17,22,Lost ball,,,,1,False,False,False,,,,,
9,IFK Norrköping FK,Alexander Fransson,Kristoffer Khazeni,65,53,68.0,61.0,20,23,Pass accurate,,0.004346911153048742,0.7154619295193853,1,False,False,False,,,,,
10,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,77,49,,,24,29,Lost ball,,,,1,False,False,False,,,,,
11,IFK Norrköping FK,Kristoffer Khazeni,Samuel Adeniyi Adegbenro,71,46,77.0,50.0,24,27,Pass accurate,,0.017753271991602804,0.6359134970708344,1,False,False,False,,,,,
12,Hammarby,Mohammed Aziz Ouattara,,24,65,,,25,30,Interception succesful,,,,1,False,False,False,Counter,,,,
13,Hammarby,Mohammed Aziz Ouattara,,24,65,,,25,30,Challenge unsuccessful,,,,1,False,False,False,Counter,,,,
14,Hammarby,Darijan Bojanic,,74,78,,,27,52,Final third entry,,,,1,False,False,False,Counter,,,,
15,Hammarby,Mohammed Aziz Ouattara,Mohanad Jeahze,24,64,22.0,69.0,27,30,Pass accurate,,,0.6258119852174342,1,False,False,False,Counter,,,,
16,Hammarby,Mohanad Jeahze,Gustav Ludwigson,22,70,40.0,83.0,29,32,Pass accurate,,0.0019264380540464504,0.7499799854590552,1,False,False,False,Counter,,,,
17,Hammarby,Gustav Ludwigson,Darijan Bojanic,49,22,45.0,86.0,30,33,Pass accurate,,-0.0002886596161493227,0.8251343355382368,1,False,False,False,Counter,,,,
18,Hammarby,Gustav Ludwigson,,40,83,49.0,22.0,29,33,Carry,,0.0017011339080357252,,1,False,False,False,Counter,,,,
19,Hammarby,Darijan Bojanic,Gustav Ludwigson,77,74,76.0,66.0,37,40,Pass accurate,,,0.6357885560238674,1,False,False,False,Counter,,,,
