external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,Oliver Berg,Lars Saetra,49,52,30.0,49.0,0,3,Pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,,,,,
1,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,28,49,31.0,67.0,2,5,Pass accurate,,-0.0007967997868467257,0.8529749619124978,1,False,False,False,,,,,
2,Kalmar FF,Rasmus Sjöstedt,Carl Gustafsson,30,72,42.0,73.0,4,7,Pass accurate,,0.00279023622272135,0.8057091075624093,1,False,False,False,,,,,
3,Kalmar FF,Carl Gustafsson,Sebastian Ring,41,74,35.0,90.0,6,9,Pass accurate,,-0.0024108531828482046,0.8857919205647711,1,False,False,False,,,,,
4,Kalmar FF,Sebastian Ring,Rasmus Sjöstedt,37,86,17.0,73.0,7,10,Pass accurate,,-0.0019264380540464504,0.942624008622264,1,False,False,False,,,,,
5,Kalmar FF,Rasmus Sjöstedt,Lucas Hägg Johansson,16,72,6.0,52.0,10,13,Pass accurate,,0.0014707118978836003,0.9188507831875833,1,False,False,False,,,,,
6,Kalmar FF,Lucas Hägg Johansson,,6,55,44.0,73.0,12,15,Pass inaccurate,,,0.6719390005376931,1,False,False,False,,,,,
7,Halmstad,Andreas Johansson,,56,27,,,14,19,Interception unsuccesful,,,,1,False,False,False,,,,,
8,Halmstad,Andreas Johansson,,56,27,,,14,19,Challenge successful,,,,1,False,False,False,,,,,
9,Kalmar FF,Sebastian Ring,,26,84,,,15,20,Lost ball,,,,1,False,False,False,,,,,
10,Kalmar FF,Carl Gustafsson,Sebastian Ring,27,69,26.0,84.0,16,19,Pass accurate,,-0.0009398460677127601,0.8559282985348224,1,False,False,False,,,,,
11,Halmstad,Mikael Boman,,92,28,,,22,27,Lost ball,,,,1,False,False,False,,,,,
12,Halmstad,Samuel Kroon,Mikael Boman,86,0,92.0,29.0,22,25,Pass into the box,,,,1,False,False,False,,,,,
13,Halmstad,Samuel Kroon,Mikael Boman,86,0,92.0,29.0,22,25,Pass accurate,,0.022522360643155076,0.6139183623937222,1,False,False,False,,,,,
14,Halmstad,Mikael Boman,Samuel Kroon,99,14,96.0,8.0,26,29,Pass accurate,,0.02221332429628154,0.35396474472761036,1,False,False,False,,,,,
15,Halmstad,Mikael Boman,,92,29,99.0,14.0,22,29,Carry,,-0.018738271078836057,,1,False,False,False,,,,,
16,Halmstad,Samuel Kroon,Edvin Kurtulus,95,10,85.0,6.0,29,32,Pass accurate,,-0.02599741386060056,0.5343546467378046,1,False,False,False,,,,,
17,Halmstad,Edvin Kurtulus,,90,5,,,30,35,Lost ball,,,,1,False,False,False,,,,,
18,Halmstad,Edvin Kurtulus,,85,6,90.0,5.0,29,35,Carry,,,,1,False,False,False,,,,,
19,Kalmar FF,Sebastian Ring,Romario Pereira Sipiao,10,100,19.0,78.0,40,43,Pass accurate,,0.0023857778083933596,0.9203866964484858,1,False,False,False,,,,,
20,Kalmar FF,Romario Pereira Sipiao,Sebastian Ring,18,80,14.0,95.0,43,46,Pass accurate,,-0.0023857778083933596,0.9329234665748891,1,False,False,False,,,,,
21,Kalmar FF,Sebastian Ring,Carl Gustafsson,13,90,23.0,88.0,46,49,Pass accurate,,0.001202028009749504,0.8900679549702208,1,False,False,False,,,,,
22,Kalmar FF,Carl Gustafsson,Romario Pereira Sipiao,25,87,22.0,74.0,49,52,Pass accurate,,-0.000342638780078652,0.9230144560364573,1,False,False,False,,,,,
23,Kalmar FF,Romario Pereira Sipiao,Sebastian Ring,20,70,21.0,89.0,50,53,Pass accurate,,-0.0022469021716117737,0.9190964519493189,1,False,False,False,,,,,
24,Halmstad,Samuel Kroon,,77,10,,,53,58,Interception unsuccesful,,,,1,False,False,False,,,,,
25,Halmstad,Samuel Kroon,,77,10,,,53,58,Challenge successful,,,,1,False,False,False,,,,,
26,Kalmar FF,Sebastian Ring,,19,93,23.0,100.0,54,57,Pass inaccurate,,,0.22211403924733103,1,False,False,False,,,,,
27,Kalmar FF,Sebastian Ring,Rasmus Sjöstedt,23,100,20.0,82.0,60,63,Pass accurate,,0.0011837497986438555,0.9413631957452478,2,False,False,False,,,,,
28,Kalmar FF,Rasmus Sjöstedt,Lucas Hägg Johansson,18,73,7.0,41.0,64,67,Pass accurate,,0.0006352486252478133,0.9307634716558143,2,False,False,False,,,,,
29,Kalmar FF,Lucas Hägg Johansson,Lars Saetra,5,39,15.0,9.0,72,75,Pass accurate,,-0.003572558546129397,0.8864558100829529,2,False,False,False,,,,,
30,Kalmar FF,Lars Saetra,Carl Gustafsson,16,11,18.0,39.0,74,77,Pass accurate,,0.003626667761428004,0.9027793323993514,2,False,False,False,,,,,
31,Kalmar FF,Carl Gustafsson,Sebastian Ring,18,39,24.0,51.0,76,79,Pass accurate,,-0.0003415165098929404,0.9019751284628243,2,False,False,False,,,,,
32,Kalmar FF,Sebastian Ring,Romario Pereira Sipiao,22,53,26.0,31.0,77,80,Pass accurate,,0.001332407184032238,0.8470464885885685,2,False,False,False,,,,,
33,Kalmar FF,Romario Pereira Sipiao,Carl Gustafsson,27,32,19.0,43.0,78,81,Pass accurate,,-0.0009908906741392977,0.9382103971515722,2,False,False,False,,,,,
34,Kalmar FF,Carl Gustafsson,Piotr Johansson,21,43,37.0,15.0,79,82,Pass accurate,,0.001538514442613964,0.8155114197868707,2,False,False,False,,,,,
35,Kalmar FF,Piotr Johansson,Lars Saetra,66,9,39.0,20.0,88,91,Pass accurate,,-0.005212058950826326,0.8420293193839979,2,False,False,False,,,,,
36,Kalmar FF,Piotr Johansson,,37,15,66.0,9.0,79,91,Carry,,0.005212058950826326,,2,False,False,False,,,,,
37,Kalmar FF,Lars Saetra,Rasmus Sjöstedt,39,23,33.0,69.0,91,94,Pass accurate,,-0.0009453874353689724,0.8467385094565493,2,False,False,False,,,,,
38,Kalmar FF,Rasmus Sjöstedt,Sebastian Ring,33,69,40.0,75.0,93,96,Pass accurate,,0.0006439532062550383,0.8244986164624487,2,False,False,False,,,,,
39,Kalmar FF,Sebastian Ring,Romario Pereira Sipiao,38,72,47.0,60.0,95,98,Pass accurate,,0.001991681352865614,0.7562905213721698,2,False,False,False,,,,,
40,Kalmar FF,Romario Pereira Sipiao,Oliver Berg,46,58,57.0,74.0,96,99,Pass accurate,,0.0017133521142625799,0.757895687631901,2,False,False,False,,,,,
41,Kalmar FF,Oliver Berg,Nils Fröling,68,84,81.0,92.0,99,102,Pass accurate,,0.0023032010985055418,0.6849676894291754,2,False,False,False,,,,,
42,Kalmar FF,Oliver Berg,,57,74,68.0,84.0,96,102,Carry,,0.007223280129252434,,2,False,False,False,,,,,
43,Kalmar FF,Nils Fröling,Carl Gustafsson,77,73,74.0,58.0,107,110,Pass accurate,,-0.006778412928674905,0.7371582956454986,2,False,False,False,,,,,
44,Kalmar FF,Nils Fröling,,81,92,77.0,73.0,99,110,Carry,,0.005839562297124571,,2,False,False,False,,,,,
45,Kalmar FF,Carl Gustafsson,Sebastian Ring,74,66,77.0,89.0,110,113,Pass accurate,,0.0016495700599863591,0.7309719229946079,2,False,False,False,,,,,
46,Kalmar FF,Carl Gustafsson,,74,58,74.0,66.0,107,113,Carry,,-0.0007107194284360248,,2,False,False,False,,,,,
47,Kalmar FF,Nils Fröling,,76,75,,,110,120,Dribble successful,,,,2,False,False,False,,,,,
48,Kalmar FF,Sebastian Ring,Nils Fröling,77,92,74.0,78.0,111,114,Pass accurate,,-0.0023032010985055418,0.745392935840356,2,False,False,False,,,,,
49,Kalmar FF,Nils Fröling,Piotr Johansson,75,62,71.0,18.0,116,119,Pass accurate,,-0.017743292567444252,0.7426800552500432,2,False,False,False,,,,,
50,Kalmar FF,Nils Fröling,,74,78,75.0,62.0,111,119,Carry,,0.019356074698034628,,2,False,False,False,,,,,
51,Kalmar FF,Piotr Johansson,Jonathan Ring,72,18,81.0,11.0,118,121,Pass accurate,,0.002812934946659979,0.6941745438331446,2,False,False,False,,,,,
52,Kalmar FF,Jonathan Ring,Piotr Johansson,80,10,72.0,13.0,120,123,Pass accurate,,-0.002812934946659979,0.7593525502277702,3,False,False,False,,,,,
53,Kalmar FF,Piotr Johansson,Jonathan Ring,72,13,79.0,3.0,123,126,Pass accurate,,0.002812934946659979,0.7114890160896818,3,False,False,False,,,,,
54,Kalmar FF,Jonathan Ring,Rasmus Sjöstedt,77,7,52.0,50.0,126,129,Pass accurate,,-0.010960285435523041,0.7307850707725341,3,False,False,False,,,,,
55,Kalmar FF,Rasmus Sjöstedt,Sebastian Ring,52,52,62.0,66.0,130,133,Pass accurate,,0.0025385633317335232,0.7661817237861089,3,False,False,False,,,,,
56,Kalmar FF,Sebastian Ring,Romario Pereira Sipiao,54,55,60.0,31.0,133,136,Pass accurate,,0.0029468746100100376,0.7214840700799589,3,False,False,False,,,,,
57,Kalmar FF,Sebastian Ring,,62,66,54.0,55.0,130,136,Carry,,-0.0025385633317335232,,3,False,False,False,,,,,
58,Kalmar FF,Romario Pereira Sipiao,Jonathan Ring,60,37,70.0,32.0,135,138,Pass accurate,,0.005150786963428557,0.7482824758907602,3,False,False,False,,,,,
59,Kalmar FF,Jonathan Ring,Romario Pereira Sipiao,71,31,63.0,33.0,136,139,Pass accurate,,-0.005150786963428557,0.8171181530874704,3,False,False,False,,,,,
60,Kalmar FF,Romario Pereira Sipiao,Piotr Johansson,64,36,81.0,9.0,137,140,Pass accurate,,0.008013410825513004,0.5986329704698162,3,False,False,False,,,,,
61,Kalmar FF,Piotr Johansson,,83,6,91.0,13.0,140,143,Pass inaccurate,,,0.5834054479058605,3,False,False,False,,,,,
62,Halmstad,Emil Tot Wikström,,9,87,,,141,146,Interception unsuccesful,,,,3,False,False,False,,,,,
63,Halmstad,Emil Tot Wikström,,9,87,,,141,146,Challenge successful,,,,3,False,False,False,,,,,
64,Kalmar FF,Oliver Berg,Sebastian Ring,99,2,95.0,33.0,169,179,Right corner accurate,,,,3,False,False,False,Corner,Cleared,,,
65,Kalmar FF,Sebastian Ring,Oliver Berg,95,18,89.0,7.0,175,178,Pass accurate,,-0.0037840895643190195,0.7086995544075142,3,False,False,False,Corner,,,,
66,Kalmar FF,Oliver Berg,Jonathan Ring,88,7,74.0,19.0,176,179,Pass accurate,,-0.008814354965024605,0.7279674880789003,3,False,False,False,Corner,,,,
67,Kalmar FF,Jonathan Ring,,75,21,75.0,21.0,179,182,Pass inaccurate,,,0.2384876769798229,3,False,False,False,Corner,,,,
68,Halmstad,Samuel Kroon,,12,36,,,179,184,Interception unsuccesful,,,,3,False,False,False,,,,,
69,Halmstad,Samuel Kroon,,12,36,,,179,184,Challenge successful,,,,3,False,False,False,,,,,
70,Halmstad,Samuel Kroon,,13,38,,,181,184,Air challenge unsuccessful,,,,4,False,False,False,,,,,
71,Halmstad,Samuel Kroon,,13,38,,,181,184,Challenge unsuccessful,,,,4,False,False,False,,,,,
72,Kalmar FF,Lars Saetra,,87,61,,,181,184,Air challenge successful,,,,4,False,False,False,Corner,,,,
73,Kalmar FF,Lars Saetra,,87,61,,,181,184,Challenge successful,,,,4,False,False,False,Corner,,,,
74,Kalmar FF,Romario Pereira Sipiao,,76,55,,,183,186,Shot on target,0.02246926976242067,,,4,False,False,False,Corner,,,True,-
75,Halmstad,Malkolm Nilsson Säfqvist,,24,45,,,183,186,Shot on target saved,,,,4,False,False,False,,,,,-
76,Kalmar FF,Romario Pereira Sipiao,,76,55,,,183,186,Shot,0.02246926976242067,,,4,False,False,False,Corner,,Right Foot,True,
77,Halmstad,Malkolm Nilsson Säfqvist,,2,51,,,183,186,Save,0.02246926976242067,,,4,False,False,False,,,Low Saves,True,-
78,Halmstad,Malkolm Nilsson Säfqvist,,14,35,77.0,30.0,190,200,Pass inaccurate,,,,4,False,False,False,,,,,
79,Halmstad,Malkolm Nilsson Säfqvist,,14,35,77.0,30.0,190,200,Goalkeeper kick inaccurate,,,,4,False,False,False,,,,,
80,Kalmar FF,Rasmus Sjöstedt,,23,70,,,196,201,Interception unsuccesful,,,,4,False,False,False,,,,,
81,Kalmar FF,Rasmus Sjöstedt,,23,70,,,196,201,Challenge successful,,,,4,False,False,False,,,,,
82,Halmstad,Samuel Kroon,Edvin Kurtulus,72,21,55.0,11.0,202,205,Pass accurate,,-0.01066587124841804,0.834830950418383,4,False,False,False,,,,,
83,Halmstad,Edvin Kurtulus,Andreas Johansson,52,9,37.0,30.0,205,208,Pass accurate,,-0.0015692209125498895,0.8652598018617352,4,False,False,False,,,,,
84,Halmstad,Andreas Johansson,Joseph Baffoe,39,31,36.0,49.0,207,210,Pass accurate,,0.0002644216839887033,0.8712217846328982,4,False,False,False,,,,,
85,Halmstad,Joseph Baffoe,Mikael Boman,37,51,94.0,4.0,209,212,Pass accurate,,0.0468697113459562,0.6901732502020259,4,False,False,False,,,,,
86,Halmstad,Mikael Boman,,96,5,,,210,235,Final third entry,,,,4,False,False,False,,,,,
87,Halmstad,Mikael Boman,Samuel Kroon,99,7,92.0,11.0,217,220,Pass accurate,,,0.6707855899423522,4,False,False,False,,,,,
88,Halmstad,Samuel Kroon,,93,9,97.0,28.0,219,222,Pass into the box,,,,4,False,False,False,,,,,
89,Halmstad,Samuel Kroon,,93,9,97.0,28.0,219,222,Pass inaccurate,,,0.42130120618659966,4,False,False,False,,,,,
90,Halmstad,Samuel Kroon,,93,9,97.0,28.0,219,222,Cross inacurate,,,0.42130120618659966,4,False,False,False,,,,,
91,Kalmar FF,Rasmus Sjöstedt,Sebastian Ring,3,72,10.0,90.0,240,243,Pass accurate,,-0.0005152385428955995,0.9132956647098888,5,False,False,False,,,,,
92,Kalmar FF,Rasmus Sjöstedt,Carl Gustafsson,13,89,14.0,64.0,245,248,Pass accurate,,0.0023085851629930775,0.9096251068345835,5,False,False,False,,,,,
93,Kalmar FF,Carl Gustafsson,Romario Pereira Sipiao,13,65,25.0,67.0,246,249,Pass accurate,,0.0024228298661596124,0.8504925406755703,5,False,False,False,,,,,
94,Kalmar FF,Romario Pereira Sipiao,Sebastian Ring,21,66,12.0,89.0,248,251,Pass accurate,,-0.0034489301813612778,0.9357160536365918,5,False,False,False,,,,,
95,Kalmar FF,Sebastian Ring,Oliver Berg,13,89,28.0,71.0,249,252,Pass accurate,,0.00473141502915269,0.8044110258756869,5,False,False,False,,,,,
96,Kalmar FF,Isak Jansson,,55,76,,,253,258,Lost ball,,,,5,False,False,False,,,,,
97,Kalmar FF,Oliver Berg,Isak Jansson,37,76,54.0,75.0,254,257,Pass accurate,,0.003549975383081031,0.75990763269885,5,False,False,False,,,,,
98,Halmstad,Andreas Johansson,Edvin Kurtulus,43,21,27.0,21.0,257,260,Pass accurate,,-0.00267892683696312,0.9148953851286727,5,False,False,False,,,,,
99,Halmstad,Edvin Kurtulus,Malkolm Nilsson Säfqvist,27,20,11.0,39.0,259,262,Pass accurate,,-0.0005205514799213676,0.9384367158702207,5,False,False,False,,,,,
100,Halmstad,Malkolm Nilsson Säfqvist,,10,39,60.0,36.0,263,266,Pass inaccurate,,,0.6044997176130753,5,False,False,False,,,,,
101,Kalmar FF,Rasmus Sjöstedt,,40,64,,,264,269,Interception succesful,,,,5,False,False,False,,,,,
102,Kalmar FF,Rasmus Sjöstedt,,40,64,,,264,269,Challenge unsuccessful,,,,5,False,False,False,,,,,
103,Kalmar FF,Romario Pereira Sipiao,,40,76,,,265,270,Lost ball,,,,5,False,False,False,,,,,
104,Halmstad,Emil Tot Wikström,,80,39,,,280,305,Final third entry,,,,5,False,False,False,,,,,
105,Halmstad,Edvin Kurtulus,Samuel Kroon,64,0,74.0,12.0,281,284,Pass accurate,,0.004792399647438217,0.6825984890093456,5,False,False,False,,,,,
106,Halmstad,Samuel Kroon,Joel Allansson,73,10,71.0,18.0,283,286,Pass accurate,,0.0029833395362104873,0.690253094067229,5,False,False,False,,,,,
107,Halmstad,Joel Allansson,Emil Tot Wikström,75,27,77.0,41.0,287,290,Pass accurate,,0.009651703860858327,0.6738675407554275,5,False,False,False,,,,,
108,Halmstad,Joel Allansson,,71,18,75.0,27.0,283,290,Carry,,0.007517909892408754,,5,False,False,False,,,,,
109,Halmstad,Mikael Boman,,94,31,,,289,294,Lost ball,,,,5,False,False,False,,,,,
110,Halmstad,Emil Tot Wikström,Mikael Boman,80,37,94.0,30.0,289,292,Pass into the box,,,,5,False,False,False,,,,,
111,Halmstad,Emil Tot Wikström,Mikael Boman,80,37,94.0,30.0,289,292,Pass accurate,,0.023818805715770927,0.599664340245605,5,False,False,False,,,,,
112,Halmstad,Emil Tot Wikström,Mikael Boman,80,37,94.0,30.0,289,292,Key pass,,,0.599664340245605,5,False,False,False,,,,,
113,Kalmar FF,Sebastian Ring,Nils Fröling,6,71,7.0,94.0,294,297,Pass accurate,,-0.001961232725552063,0.9410660234802297,5,False,False,False,,,,,
114,Halmstad,Edvin Kurtulus,,90,6,,,296,301,Tackle successful,,,,5,False,False,False,,,,,
115,Halmstad,Edvin Kurtulus,,90,6,,,296,301,Challenge unsuccessful,,,,5,False,False,False,,,,,
116,Halmstad,Samuel Kroon,Edvin Kurtulus,92,7,85.0,6.0,299,302,Pass accurate,,-0.02599741386060056,0.5313866338779794,5,False,False,False,,,,,
117,Halmstad,Edvin Kurtulus,Amir Al-Ammari,83,5,85.0,12.0,300,303,Pass accurate,,0.006001420018364626,0.5872825536307623,6,False,False,False,,,,,
118,Halmstad,Amir Al-Ammari,Samuel Kroon,85,13,88.0,4.0,301,304,Pass accurate,,-0.001997570461074384,0.7817537090159068,6,False,False,False,,,,,
119,Halmstad,Joel Allansson,,89,12,,,303,308,Lost ball,,,,6,False,False,False,,,,,
120,Halmstad,Samuel Kroon,Joel Allansson,88,3,88.0,12.0,304,307,Pass accurate,,,0.5659463980389903,6,False,False,False,,,,,
121,Halmstad,Edvin Kurtulus,,79,10,,,308,313,Interception succesful,,,,6,False,False,False,,,,,
122,Halmstad,Edvin Kurtulus,,79,10,,,308,313,Challenge unsuccessful,,,,6,False,False,False,,,,,
123,Kalmar FF,Sebastian Ring,,13,89,22.0,76.0,308,311,Pass inaccurate,,,0.895105415206697,6,False,False,False,,,,,
124,Halmstad,Edvin Kurtulus,,78,24,89.0,38.0,310,313,Pass into the box,,,,6,False,False,False,,,,,
125,Halmstad,Edvin Kurtulus,,78,24,89.0,38.0,310,313,Pass inaccurate,,,0.5635086738928932,6,False,False,False,,,,,
126,Halmstad,Edvin Kurtulus,,78,24,89.0,38.0,310,313,Through Ball unsuccessful,,,0.5635086738928932,6,False,False,False,,,,,
127,Halmstad,Mikael Boman,,89,38,,,311,316,Offside,,,,6,False,False,False,,,,,
128,Kalmar FF,Lucas Hägg Johansson,Nils Fröling,10,58,43.0,96.0,346,356,Pass accurate,,,,6,False,False,False,,,,,
129,Kalmar FF,Lucas Hägg Johansson,Nils Fröling,10,58,43.0,96.0,346,356,Goalkeeper kick accurate,,,,6,False,False,False,,,,,
130,Kalmar FF,Nils Fröling,Sebastian Ring,44,97,39.0,85.0,353,356,Pass accurate,,0.00021124459255205189,0.8523667556287284,6,False,False,False,,,,,
131,Kalmar FF,Sebastian Ring,Carl Gustafsson,34,81,38.0,71.0,355,358,Pass accurate,,0.0007481366366179614,0.8279660306717761,6,False,False,False,,,,,
132,Kalmar FF,Carl Gustafsson,Nils Fröling,40,78,48.0,94.0,357,360,Pass accurate,,-0.00021124459255205189,0.8265908189196385,6,False,False,False,,,,,
133,Kalmar FF,Nils Fröling,,53,97,74.0,67.0,359,362,Pass inaccurate,,,0.5534890744062058,6,False,False,False,,,,,
134,Kalmar FF,Isak Jansson,,74,67,,,360,365,Offside,,,,7,False,False,False,,,,,
135,Halmstad,Malkolm Nilsson Säfqvist,,29,27,77.0,36.0,381,391,Pass inaccurate,,,,7,False,False,False,,,,,
136,Halmstad,Malkolm Nilsson Säfqvist,,29,27,77.0,36.0,381,391,Goalkeeper kick inaccurate,,,,7,False,False,False,,,,,
137,Kalmar FF,Lars Saetra,,23,64,,,389,392,Air challenge unsuccessful,,,,7,False,False,False,,,,,
138,Kalmar FF,Lars Saetra,,23,64,,,389,392,Challenge unsuccessful,,,,7,False,False,False,,,,,
139,Halmstad,Mikael Boman,,77,31,,,389,392,Air challenge successful,,,,7,False,False,False,,,,,
140,Halmstad,Mikael Boman,,77,31,,,389,392,Challenge successful,,,,7,False,False,False,,,,,
141,Halmstad,Joel Allansson,,74,32,,,391,394,Air challenge unsuccessful,,,,7,False,False,False,,,,,
142,Halmstad,Joel Allansson,,74,32,,,391,394,Challenge unsuccessful,,,,7,False,False,False,,,,,
143,Kalmar FF,Carl Gustafsson,,25,69,,,391,394,Air challenge successful,,,,7,False,False,False,,,,,
144,Kalmar FF,Carl Gustafsson,,25,69,,,391,394,Challenge successful,,,,7,False,False,False,,,,,
145,Kalmar FF,Nils Fröling,Isak Jansson,28,74,37.0,64.0,391,394,Pass accurate,,0.0013920898428729997,0.8430462501865745,7,False,False,False,,,,,
146,Halmstad,Andreas Johansson,,52,47,,,396,399,Foul,,,,7,False,False,False,,,,,
147,Kalmar FF,Rasmus Sjöstedt,Lars Saetra,50,41,48.0,17.0,416,419,Pass accurate,,-0.0034361013566151302,0.8439645196400543,7,False,False,False,,,,,
148,Kalmar FF,Lars Saetra,Carl Gustafsson,57,21,61.0,43.0,421,424,Pass accurate,,0.0045449097101099185,0.7685657386071997,8,False,False,False,,,,,
149,Kalmar FF,Carl Gustafsson,Sebastian Ring,65,50,60.0,67.0,424,427,Pass accurate,,-0.0010134443404456288,0.8142124748175321,8,False,False,False,,,,,
150,Kalmar FF,Carl Gustafsson,,61,43,65.0,50.0,421,427,Carry,,-0.0001181880095496371,,8,False,False,False,,,,,
151,Kalmar FF,Sebastian Ring,Nils Fröling,61,69,64.0,96.0,425,428,Pass accurate,,-0.003314078662680891,0.5552059997744734,8,False,False,False,,,,,
152,Kalmar FF,Nils Fröling,Rasmus Sjöstedt,73,87,50.0,72.0,430,433,Pass accurate,,-0.007223280129252434,0.8343479030053117,8,False,False,False,,,,,
153,Kalmar FF,Nils Fröling,,64,96,73.0,87.0,425,433,Carry,,0.0073100836892200545,,8,False,False,False,,,,,
154,Kalmar FF,Rasmus Sjöstedt,Romario Pereira Sipiao,49,61,55.0,51.0,433,436,Pass accurate,,0.0024020638852423268,0.8032387108770892,8,False,False,False,,,,,
155,Kalmar FF,Romario Pereira Sipiao,Rasmus Sjöstedt,55,50,45.0,57.0,434,437,Pass accurate,,-0.0024020638852423268,0.8553786229621089,8,False,False,False,,,,,
156,Kalmar FF,Rasmus Sjöstedt,Lars Saetra,45,56,37.0,38.0,435,438,Pass accurate,,-0.0014212561028738371,0.8808172944384041,8,False,False,False,,,,,
157,Kalmar FF,Lars Saetra,,38,38,53.0,54.0,436,439,Pass inaccurate,,,0.7562905213721698,8,False,False,False,,,,,
158,Halmstad,Joel Allansson,,47,46,,,437,442,Interception succesful,,,,8,False,False,False,,,,,
159,Halmstad,Joel Allansson,,47,46,,,437,442,Challenge unsuccessful,,,,8,False,False,False,,,,,
160,Halmstad,Joel Allansson,Emil Tot Wikström,46,47,57.0,71.0,438,441,Pass accurate,,0.001685726258594391,0.7539775592013316,8,False,False,False,,,,,
161,Halmstad,Emil Tot Wikström,Amir Al-Ammari,56,70,53.0,57.0,440,443,Pass accurate,,0.0006887117709797469,0.8209726835269225,8,False,False,False,,,,,
162,Halmstad,Amir Al-Ammari,Andreas Bengtsson,57,64,63.0,93.0,442,445,Pass accurate,,-8.680355996762076e-05,0.6152525847807718,8,False,False,False,,,,,
163,Halmstad,Amir Al-Ammari,,53,57,57.0,64.0,440,445,Carry,,-0.0006887117709797469,,8,False,False,False,,,,,
164,Halmstad,Andreas Bengtsson,Joseph Baffoe,61,96,38.0,83.0,445,448,Pass accurate,,-0.004366366543778534,0.87309464584672,8,False,False,False,,,,,
165,Halmstad,Joseph Baffoe,Andreas Johansson,37,76,32.0,37.0,452,455,Pass accurate,,-0.00024618953936073225,0.8678767595232151,8,False,False,False,,,,,
166,Halmstad,Andreas Johansson,,29,36,80.0,0.0,455,458,Pass inaccurate,,,0.20354204022671454,8,False,False,False,,,,,
