external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,away,Samuel Holmén,Joseph Stanley Okumu,49,50,29.0,50.0,0,2,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,away,Joseph Stanley Okumu,,28,50,72.0,13.0,3,5,pass inaccurate,,,0.5483075750069272,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,home,Adama Fofana,,28,87,,,4,9,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
3,Varbergs BoIS FC,home,Adama Fofana,,28,87,,,4,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,away,Frederik Holst,,63,29,,,10,15,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
5,IF Elfsborg,away,Frederik Holst,,63,29,,,10,15,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Varbergs BoIS FC,home,Jon Birkfeldt,,26,73,31.0,75.0,10,12,pass inaccurate,,,0.7761445210902901,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,away,Marokhy Ndione,,69,25,,,11,14,foul,,,,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,home,August Strömberg,Ryan Moon,33,86,73.0,36.0,41,43,pass accurate,,0.014823342722132295,0.5257975169425815,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,home,Ryan Moon,,79,39,,,43,48,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,home,Ryan Moon,,73,36,79.0,39.0,41,48,carry,,0.01721930266869155,,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,away,André Rømer,,23,61,,,43,46,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,away,André Rømer,,23,61,,,43,46,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,home,Ryan Moon,,75,37,,,43,46,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,home,Ryan Moon,,75,37,,,43,46,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,IF Elfsborg,away,Tim Rönning,Joseph Stanley Okumu,9,67,9.0,72.0,73,83,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
16,IF Elfsborg,away,Tim Rönning,Joseph Stanley Okumu,9,67,9.0,72.0,73,83,goalkeeper kick accurate,,,,2,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,away,Joseph Stanley Okumu,,8,72,57.0,100.0,80,82,pass inaccurate,,,0.1362638443454563,2,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,away,Simon Strand,Jeppe Møldrup Okkels,57,100,73.0,72.0,90,92,pass accurate,,0.010647138817332844,0.6815243635492596,2,False,False,False,nan,nan,nan,,nan
19,IF Elfsborg,away,Marokhy Ndione,,77,56,,,93,118,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
20,Varbergs BoIS FC,home,Jean Carlos De Brito,,19,42,,,93,98,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
21,Varbergs BoIS FC,home,Jean Carlos De Brito,,19,42,,,93,98,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,away,Jeppe Møldrup Okkels,,89,64,,,93,103,penalty box entry successful,,,,2,False,False,False,nan,nan,nan,,nan
