external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,Alexander Faltsetas,Joona Toivio,49,52,27.0,52.0,0,3,pass accurate,,-0.0027516241001182586,0.9280471007624863,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,Leo Bengtsson,,76,89,,,2,27,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,Joona Toivio,Leo Bengtsson,30,48,74.0,88.0,3,6,pass accurate,,0.008138846488666559,0.5181181462679111,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,Leo Bengtsson,,95,88,94.0,49.0,11,14,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,Leo Bengtsson,,95,88,94.0,49.0,11,14,pass inaccurate,,,0.4901470335037078,1,False,False,False,nan,nan,nan,,nan
5,BK Häcken,Leo Bengtsson,,95,88,94.0,49.0,11,14,cross inacurate,,,0.4901470335037078,1,False,False,False,nan,nan,nan,,nan
6,BK Häcken,Leo Bengtsson,,74,88,95.0,88.0,3,14,carry,,0.025387686628600126,,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,David Ousted,Jón Gudni Fjóluson,6,51,7.0,69.0,18,28,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,David Ousted,Jón Gudni Fjóluson,6,51,7.0,69.0,18,28,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
9,Hammarby,Jón Gudni Fjóluson,David Ousted,6,71,5.0,53.0,22,25,pass accurate,,0.0032640585179810784,0.9156814003310401,1,False,False,False,nan,nan,nan,,nan
10,Hammarby,David Ousted,,6,49,47.0,55.0,25,28,pass inaccurate,,,0.6079145370939728,1,False,False,False,nan,nan,nan,,nan
11,BK Häcken,Joona Toivio,,53,45,53.0,47.0,27,30,pass inaccurate,,,0.24417951393779724,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,Joona Toivio,,53,47,,,28,31,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,Joona Toivio,,53,47,,,28,31,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Hammarby,Gustav Ludwigson,,46,53,,,28,31,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
15,Hammarby,Gustav Ludwigson,,46,53,,,28,31,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
16,Hammarby,Mohammed Aziz Ouattara,Darijan Bojanic,32,45,42.0,62.0,29,32,pass accurate,,0.0025869714088918878,0.8216261849632146,1,False,False,False,nan,nan,nan,,nan
17,BK Häcken,Joona Toivio,,52,44,,,31,36,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
18,BK Häcken,Joona Toivio,,52,44,,,31,36,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,BK Häcken,Joona Toivio,Alexander Faltsetas,52,44,45.0,48.0,34,37,pass accurate,,-0.0023697914194990913,0.8538973399858191,1,False,False,False,nan,nan,nan,,nan
20,BK Häcken,Alexander Faltsetas,Kristoffer Lund Hansen,45,48,44.0,90.0,36,39,pass accurate,,-0.002978688437703816,0.8305497088452901,1,False,False,False,nan,nan,nan,,nan
21,BK Häcken,Kristoffer Lund Hansen,Gustav Berggren,46,88,43.0,75.0,39,42,pass accurate,,0.0016237188844384545,0.8548040980105686,1,False,False,False,nan,nan,nan,,nan
22,BK Häcken,Gustav Berggren,Tobias Carlsson,42,77,32.0,81.0,40,43,pass accurate,,-0.002996273565854201,0.8767965993722474,1,False,False,False,nan,nan,nan,,nan
23,BK Häcken,Tobias Carlsson,Gustav Berggren,30,78,39.0,78.0,41,44,pass accurate,,0.0015837992739677984,0.8057091075624093,1,False,False,False,nan,nan,nan,,nan
24,BK Häcken,Gustav Berggren,Johan Hammar,34,70,27.0,54.0,43,46,pass accurate,,-0.0007599427472526447,0.9109544843745668,1,False,False,False,nan,nan,nan,,nan
25,BK Häcken,Johan Hammar,Tobias Carlsson,26,56,26.0,82.0,46,49,pass accurate,,-0.001571993163333115,0.8979663731836824,1,False,False,False,nan,nan,nan,,nan
26,BK Häcken,Tobias Carlsson,Leo Bengtsson,29,85,42.0,93.0,48,51,pass accurate,,0.0013725546814157465,0.6364313556305405,1,False,False,False,nan,nan,nan,,nan
27,BK Häcken,Leo Bengtsson,Gustav Berggren,62,90,53.0,82.0,53,56,pass accurate,,-0.0008163911606975036,0.8442207014630648,1,False,False,False,nan,nan,nan,,nan
28,BK Häcken,Leo Bengtsson,,42,93,62.0,90.0,48,56,carry,,0.004577611136330586,,1,False,False,False,nan,nan,nan,,nan
29,BK Häcken,Gustav Berggren,Leo Bengtsson,54,85,62.0,94.0,55,58,pass accurate,,0.0008163911606975036,0.811080727107696,1,False,False,False,nan,nan,nan,,nan
30,BK Häcken,Leo Bengtsson,,67,90,77.0,60.0,58,61,pass inaccurate,,,0.6324894864154572,1,False,False,False,nan,nan,nan,,nan
31,BK Häcken,Leo Bengtsson,,62,94,67.0,90.0,55,61,carry,,0.003925326525479712,,1,False,False,False,nan,nan,nan,,nan
32,Hammarby,Jón Gudni Fjóluson,Mads Fenger Nielsen,23,40,22.0,29.0,60,63,pass accurate,,-0.0002787352567244425,0.9302389126574045,2,False,False,False,nan,nan,nan,,nan
33,Hammarby,Mads Fenger Nielsen,,21,31,33.0,78.0,61,64,pass inaccurate,,,0.7639102674808874,2,False,False,False,nan,nan,nan,,nan
34,BK Häcken,Bénie Adama Traore,Godswill Ekpolo,67,22,66.0,9.0,66,69,pass accurate,,-0.007775739183648704,0.718370519554575,2,False,False,False,nan,nan,nan,,nan
35,BK Häcken,Godswill Ekpolo,Joona Toivio,64,9,53.0,13.0,68,71,pass accurate,,-0.0012463253335954876,0.8215189728360112,2,False,False,False,nan,nan,nan,,nan
36,BK Häcken,Joona Toivio,Gustav Berggren,52,15,57.0,39.0,71,74,pass accurate,,0.0008700674183060829,0.7635152079467739,2,False,False,False,nan,nan,nan,,nan
37,BK Häcken,Gustav Berggren,Johan Hammar,54,29,31.0,25.0,73,76,pass accurate,,-0.005331312808532478,0.8942333582138343,2,False,False,False,nan,nan,nan,,nan
38,BK Häcken,Gustav Berggren,,57,39,54.0,29.0,71,76,carry,,-5.2111995479109385e-05,,2,False,False,False,nan,nan,nan,,nan
39,BK Häcken,Johan Hammar,Peter Abrahamsson,28,27,10.0,43.0,77,80,pass accurate,,-0.0012521548694880303,0.9398094772731055,2,False,False,False,nan,nan,nan,,nan
40,BK Häcken,Peter Abrahamsson,Tobias Carlsson,10,44,26.0,89.0,81,84,pass accurate,,-0.0014799055782800472,0.8529733690737179,2,False,False,False,nan,nan,nan,,nan
41,BK Häcken,Tobias Carlsson,Gustav Berggren,24,88,30.0,87.0,84,87,pass accurate,,0.0025895409516904257,0.8373857431082419,2,False,False,False,nan,nan,nan,,nan
42,BK Häcken,Gustav Berggren,Kristoffer Lund Hansen,30,89,30.0,95.0,85,88,pass accurate,,,0.7371910047610366,2,False,False,False,nan,nan,nan,,nan
43,BK Häcken,Kristoffer Lund Hansen,Alexander Jeremejeff,33,76,46.0,57.0,89,92,pass accurate,,0.004323617263451374,0.7448338494835561,2,False,False,False,nan,nan,nan,,nan
44,BK Häcken,Alexander Jeremejeff,Bénie Adama Traore,45,56,68.0,50.0,91,94,pass accurate,,0.010300982710470221,0.6125242646971705,2,False,False,False,nan,nan,nan,,nan
45,Hammarby,Mohanad Jeahze,,25,41,,,93,98,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
46,Hammarby,Mohanad Jeahze,,25,41,,,93,98,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
47,Hammarby,David Ousted,,5,30,,,95,100,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
48,Hammarby,David Ousted,,5,30,,,95,100,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
49,Hammarby,David Ousted,Jón Gudni Fjóluson,9,45,24.0,75.0,99,109,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
50,Hammarby,David Ousted,Jón Gudni Fjóluson,9,45,24.0,75.0,99,109,goalkeeper throw accurate,,,,2,False,False,False,nan,nan,nan,,nan
51,Hammarby,Jón Gudni Fjóluson,Darijan Bojanic,28,81,30.0,73.0,107,110,pass accurate,,0.0009398460677127601,0.8011867642150956,2,False,False,False,nan,nan,nan,,nan
52,Hammarby,Darijan Bojanic,,34,73,,,107,112,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
53,BK Häcken,Alexander Faltsetas,Godswill Ekpolo,64,25,58.0,9.0,110,113,pass accurate,,-0.005465395369565015,0.7259067371003921,2,False,False,False,nan,nan,nan,,nan
54,BK Häcken,Godswill Ekpolo,Bénie Adama Traore,80,4,83.0,11.0,117,120,pass accurate,,,0.5709773856018047,2,False,False,False,nan,nan,nan,,nan
55,BK Häcken,Godswill Ekpolo,,58,9,80.0,4.0,110,120,carry,,0.01347880619507802,,2,False,False,False,nan,nan,nan,,nan
56,BK Häcken,Bénie Adama Traore,Godswill Ekpolo,85,12,81.0,5.0,118,121,pass accurate,,-0.006001420018364626,0.7168338400226228,2,False,False,False,nan,nan,nan,,nan
57,BK Häcken,Godswill Ekpolo,Joona Toivio,78,8,68.0,6.0,119,122,pass accurate,,-0.005796274482870466,0.6207678857167255,2,False,False,False,nan,nan,nan,,nan
58,BK Häcken,Joona Toivio,Bénie Adama Traore,70,7,83.0,11.0,123,126,pass accurate,,0.005796274482870466,0.6459966930599386,3,False,False,False,nan,nan,nan,,nan
59,BK Häcken,Bénie Adama Traore,Gustav Berggren,75,10,70.0,24.0,125,128,pass accurate,,-0.002812934946659979,0.7571050663368012,3,False,False,False,nan,nan,nan,,nan
60,BK Häcken,Bénie Adama Traore,,83,11,75.0,10.0,123,128,carry,,,,3,False,False,False,nan,nan,nan,,nan
61,BK Häcken,Gustav Berggren,Alexander Faltsetas,70,25,68.0,16.0,127,130,pass accurate,,4.968891542446799e-05,0.7387606164698974,3,False,False,False,nan,nan,nan,,nan
62,BK Häcken,Alexander Faltsetas,Tobias Carlsson,69,15,63.0,62.0,128,131,pass accurate,,-0.00459534281668391,0.745696852612809,3,False,False,False,nan,nan,nan,,nan
63,BK Häcken,Tobias Carlsson,Johan Hammar,65,65,53.0,46.0,131,134,pass accurate,,-0.0025432099418085698,0.8455825385125852,3,False,False,False,nan,nan,nan,,nan
64,BK Häcken,Johan Hammar,Bénie Adama Traore,53,45,72.0,26.0,136,139,pass accurate,,0.00810230818351364,0.6900202723673743,3,False,False,False,nan,nan,nan,,nan
65,BK Häcken,Bénie Adama Traore,Alexander Faltsetas,73,6,68.0,11.0,143,146,pass accurate,,,0.7164978478007948,3,False,False,False,nan,nan,nan,,nan
66,BK Häcken,Bénie Adama Traore,,72,26,73.0,6.0,136,146,carry,,-0.0029336506207860193,,3,False,False,False,nan,nan,nan,,nan
67,BK Häcken,Alexander Faltsetas,Johan Hammar,61,24,42.0,20.0,146,149,pass accurate,,-0.005876055374746447,0.8663283771354388,3,False,False,False,nan,nan,nan,,nan
68,BK Häcken,Alexander Faltsetas,,68,11,61.0,24.0,143,149,carry,,-0.0027287035445963045,,3,False,False,False,nan,nan,nan,,nan
69,BK Häcken,Johan Hammar,Tobias Carlsson,38,21,35.0,66.0,149,152,pass accurate,,0.00044670240750402726,0.8438036649988607,3,False,False,False,nan,nan,nan,,nan
70,BK Häcken,Tobias Carlsson,Gustav Berggren,34,68,47.0,51.0,151,154,pass accurate,,0.001991681352865614,0.7387043451948073,3,False,False,False,nan,nan,nan,,nan
71,BK Häcken,Gustav Berggren,Alexander Jeremejeff,59,65,67.0,55.0,155,158,pass accurate,,0.005360355493494371,0.7327101074921052,3,False,False,False,nan,nan,nan,,nan
72,BK Häcken,Gustav Berggren,,47,51,59.0,65.0,151,158,carry,,0.00494062721697585,,3,False,False,False,nan,nan,nan,,nan
73,BK Häcken,Alexander Jeremejeff,Leo Bengtsson,66,56,63.0,85.0,157,160,pass accurate,,-0.0019551231613734177,0.8245705283246831,3,False,False,False,nan,nan,nan,,nan
74,BK Häcken,Leo Bengtsson,Kristoffer Lund Hansen,69,87,74.0,92.0,160,163,pass accurate,,-0.003384757163740343,0.717190540501463,3,False,False,False,nan,nan,nan,,nan
75,BK Häcken,Leo Bengtsson,,63,85,69.0,87.0,157,163,carry,,0.0049376838474669525,,3,False,False,False,nan,nan,nan,,nan
76,BK Häcken,Kristoffer Lund Hansen,Gustav Berggren,73,90,68.0,86.0,162,165,pass accurate,,0.003384757163740343,0.7227268487217277,3,False,False,False,nan,nan,nan,,nan
77,BK Häcken,Gustav Berggren,Alexander Jeremejeff,67,83,74.0,71.0,165,168,pass accurate,,0.0006536310385191826,0.7152421079786098,3,False,False,False,nan,nan,nan,,nan
78,BK Häcken,Alexander Jeremejeff,Leo Bengtsson,71,72,75.0,93.0,166,169,pass accurate,,0.0016495700599863591,0.5430437133802949,3,False,False,False,nan,nan,nan,,nan
79,BK Häcken,Leo Bengtsson,Bénie Adama Traore,76,67,74.0,43.0,175,178,pass accurate,,-0.00653996068919829,0.7371582956454986,3,False,False,False,nan,nan,nan,,nan
80,BK Häcken,Leo Bengtsson,,75,93,76.0,67.0,166,178,carry,,0.005839562297124571,,3,False,False,False,nan,nan,nan,,nan
81,BK Häcken,Bénie Adama Traore,,76,43,98.0,70.0,177,180,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
82,BK Häcken,Bénie Adama Traore,,76,43,98.0,70.0,177,180,pass inaccurate,,,0.30576513988913545,3,False,False,False,nan,nan,nan,,nan
83,Hammarby,David Ousted,,2,30,,,179,184,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
84,Hammarby,David Ousted,,2,30,,,179,184,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
85,Hammarby,David Ousted,,14,54,66.0,99.0,199,209,pass inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
86,Hammarby,David Ousted,,14,54,66.0,99.0,199,209,goalkeeper kick inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
87,BK Häcken,Joona Toivio,Alexander Faltsetas,34,1,34.0,12.0,213,216,pass accurate,,,0.8114668324612192,4,False,False,False,nan,nan,nan,,nan
88,BK Häcken,Alexander Faltsetas,Joona Toivio,34,11,34.0,4.0,214,217,pass accurate,,,0.8433584877992811,4,False,False,False,nan,nan,nan,,nan
89,BK Häcken,Joona Toivio,Bénie Adama Traore,35,5,38.0,11.0,215,218,pass accurate,,,0.7144452467967104,4,False,False,False,nan,nan,nan,,nan
90,BK Häcken,Bénie Adama Traore,Gustav Berggren,36,15,36.0,22.0,217,220,pass accurate,,,0.7333639230903335,4,False,False,False,nan,nan,nan,,nan
91,BK Häcken,Gustav Berggren,,37,24,57.0,24.0,217,220,pass inaccurate,,,0.6920514405137814,4,False,False,False,nan,nan,nan,,nan
92,Hammarby,Astrit Selmani,,78,90,,,218,243,final third entry,,,,4,False,False,False,nan,nan,nan,,nan
93,Hammarby,Mohanad Jeahze,Darijan Bojanic,43,94,56.0,95.0,219,222,pass accurate,,0.0018941870467369792,0.7323642106191868,4,False,False,False,nan,nan,nan,,nan
94,BK Häcken,Godswill Ekpolo,,57,7,,,220,223,air challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
95,BK Häcken,Godswill Ekpolo,,57,7,,,220,223,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
96,Hammarby,Mohanad Jeahze,,43,92,,,220,223,air challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
97,Hammarby,Mohanad Jeahze,,43,92,,,220,223,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
98,Hammarby,Darijan Bojanic,Astrit Selmani,59,96,90.0,87.0,223,226,pass accurate,,0.017019647194935913,0.5019855304091766,4,False,False,False,nan,nan,nan,,nan
99,Hammarby,Darijan Bojanic,Astrit Selmani,59,96,90.0,87.0,223,226,key pass,,,0.5019855304091766,4,False,False,False,nan,nan,nan,,nan
100,Hammarby,Astrit Selmani,,90,83,,,227,230,wide shot,0.03571091528015709,,,4,False,False,False,nan,nan,nan,True,nan
101,BK Häcken,Peter Abrahamsson,,10,17,,,227,230,goalkeeper wide shot,,,,4,False,False,False,nan,nan,nan,,nan
102,Hammarby,Astrit Selmani,,90,83,,,227,230,shot,0.03571091528015709,,,4,False,False,False,nan,nan,right foot,True,nan
103,BK Häcken,Johan Hammar,Tobias Carlsson,5,50,6.0,86.0,237,240,pass accurate,,-0.004174707864451841,0.9267795221236227,4,False,False,False,nan,nan,nan,,nan
104,BK Häcken,Tobias Carlsson,,6,90,38.0,78.0,240,243,pass inaccurate,,,0.6873295766324076,5,False,False,False,nan,nan,nan,,nan
105,Hammarby,Mads Fenger Nielsen,,62,22,,,241,246,interception succesful,,,,5,False,False,False,nan,nan,nan,,nan
106,Hammarby,Mads Fenger Nielsen,,62,22,,,241,246,challenge unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
107,Hammarby,Mads Fenger Nielsen,Darijan Bojanic,66,24,69.0,44.0,243,246,pass accurate,,0.0057020636566482395,0.7183141121116424,5,False,False,False,nan,nan,nan,,nan
108,Hammarby,Darijan Bojanic,Björn Paulsen,69,39,54.0,23.0,244,247,pass accurate,,-0.00901208509308564,0.8722824314473306,5,False,False,False,nan,nan,nan,,nan
109,Hammarby,Björn Paulsen,Jón Gudni Fjóluson,56,23,44.0,52.0,246,249,pass accurate,,-0.0015273498568611973,0.835777236505099,5,False,False,False,nan,nan,nan,,nan
110,Hammarby,Gustav Ludwigson,,76,27,,,246,271,final third entry,,,,5,False,False,False,nan,nan,nan,,nan
111,Hammarby,Gustav Ludwigson,,88,30,,,248,258,penalty box entry successful,,,,5,False,False,False,nan,nan,nan,,nan
112,Hammarby,Jón Gudni Fjóluson,Gustav Ludwigson,45,46,70.0,29.0,249,252,pass accurate,,0.010472099603012732,0.5894103311905059,5,False,False,False,nan,nan,nan,,nan
113,Hammarby,Gustav Ludwigson,Vladimir Rodic,70,27,69.0,6.0,252,255,pass accurate,,-0.0029336506207860193,0.6232330240688971,5,False,False,False,nan,nan,nan,,nan
114,Hammarby,Vladimir Rodic,Gustav Ludwigson,70,15,79.0,30.0,255,258,pass accurate,,0.007517909892408754,0.6078170840863738,5,False,False,False,nan,nan,nan,,nan
115,Hammarby,Vladimir Rodic,Gustav Ludwigson,70,15,79.0,30.0,255,258,key pass,,,0.6078170840863738,5,False,False,False,nan,nan,nan,,nan
116,Hammarby,Gustav Ludwigson,,89,31,,,257,260,shot on target,0.0441718250969666,,,5,False,False,False,nan,nan,nan,,-
117,BK Häcken,Peter Abrahamsson,,11,69,,,257,260,shot on target saved,,,,5,False,False,False,nan,nan,nan,,-
118,Hammarby,Gustav Ludwigson,,89,31,,,257,260,shot,0.0441718250969666,,,5,False,False,False,nan,nan,right foot,,nan
119,BK Häcken,Peter Abrahamsson,,2,52,,,257,260,save,0.0441718250969666,,,5,False,False,False,nan,nan,low saves,,-
120,Hammarby,Gustav Ludwigson,,79,30,89.0,31.0,255,260,carry,,0.028933597107996714,,5,False,False,False,nan,nan,nan,,nan
121,BK Häcken,Peter Abrahamsson,,14,35,74.0,69.0,259,269,pass inaccurate,,,,5,False,False,False,nan,nan,nan,,nan
122,BK Häcken,Peter Abrahamsson,,14,35,74.0,69.0,259,269,goalkeeper kick inaccurate,,,,5,False,False,False,nan,nan,nan,,nan
123,Hammarby,Mads Fenger Nielsen,Vladimir Rodic,26,31,36.0,15.0,269,272,pass accurate,,0.0005476237684746664,0.8381797663074757,5,False,False,False,nan,nan,nan,,nan
124,Hammarby,Vladimir Rodic,Mads Fenger Nielsen,37,15,28.0,28.0,273,276,pass accurate,,-0.0005476237684746664,0.8985491137544086,5,False,False,False,nan,nan,nan,,nan
125,Hammarby,Mads Fenger Nielsen,Björn Paulsen,27,28,28.0,50.0,274,277,pass accurate,,0.00023438342872604892,0.881234863049682,5,False,False,False,nan,nan,nan,,nan
126,Hammarby,Björn Paulsen,David Ousted,28,50,8.0,56.0,277,280,pass accurate,,-0.001584265063896367,0.9409091277864859,5,False,False,False,nan,nan,nan,,nan
127,Hammarby,David Ousted,,9,60,44.0,88.0,280,283,pass inaccurate,,,0.6906136309193132,5,False,False,False,nan,nan,nan,,nan
128,BK Häcken,Godswill Ekpolo,,56,12,,,282,287,interception succesful,,,,5,False,False,False,nan,nan,nan,,nan
129,BK Häcken,Godswill Ekpolo,,56,12,,,282,287,challenge unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
130,BK Häcken,Godswill Ekpolo,,60,11,60.0,11.0,284,287,pass inaccurate,,,0.2360832649940475,5,False,False,False,nan,nan,nan,,nan
131,Hammarby,David Ousted,Mads Fenger Nielsen,13,56,21.0,36.0,285,295,pass accurate,,,,5,False,False,False,nan,nan,nan,,nan
132,Hammarby,David Ousted,Mads Fenger Nielsen,13,56,21.0,36.0,285,295,goalkeeper throw accurate,,,,5,False,False,False,nan,nan,nan,,nan
133,Hammarby,Mads Fenger Nielsen,Mohammed Aziz Ouattara,19,42,29.0,43.0,291,294,pass accurate,,0.0013899267940917174,0.8188660679544626,5,False,False,False,nan,nan,nan,,nan
134,Hammarby,Mohammed Aziz Ouattara,Darijan Bojanic,29,45,34.0,67.0,293,296,pass accurate,,0.000595290056026274,0.8430462501865745,5,False,False,False,nan,nan,nan,,nan
135,Hammarby,Darijan Bojanic,Mads Fenger Nielsen,31,41,23.0,33.0,297,300,pass accurate,,-0.0016686620508161599,0.9333126376601976,5,False,False,False,nan,nan,nan,,nan
136,Hammarby,Darijan Bojanic,,34,67,31.0,41.0,293,300,carry,,-0.000595290056026274,,5,False,False,False,nan,nan,nan,,nan
137,Hammarby,Mads Fenger Nielsen,Vladimir Rodic,23,33,32.0,6.0,299,302,pass accurate,,-0.0008108335330067815,0.71426521195954,5,False,False,False,nan,nan,nan,,nan
138,Hammarby,Vladimir Rodic,Darijan Bojanic,32,3,31.0,16.0,300,303,pass accurate,,0.001348856074303859,0.8334785466722319,6,False,False,False,nan,nan,nan,,nan
139,Hammarby,Darijan Bojanic,Vladimir Rodic,31,17,53.0,10.0,302,305,pass accurate,,0.0036011540440983193,0.7168039219318857,6,False,False,False,nan,nan,nan,,nan
140,Hammarby,Vladimir Rodic,Mohammed Aziz Ouattara,54,15,53.0,22.0,304,307,pass accurate,,,0.6770756763835848,6,False,False,False,nan,nan,nan,,nan
141,Hammarby,Mohammed Aziz Ouattara,,61,22,73.0,18.0,306,309,pass inaccurate,,,0.7048058785213529,6,False,False,False,nan,nan,nan,,nan
142,Hammarby,Mohammed Aziz Ouattara,,61,22,73.0,18.0,306,309,through ball unsuccessful,,,0.7048058785213529,6,False,False,False,nan,nan,nan,,nan
143,Hammarby,Mohammed Aziz Ouattara,,53,22,61.0,22.0,304,309,carry,,0.0033100214364374,,6,False,False,False,nan,nan,nan,,nan
144,BK Häcken,Johan Hammar,,27,82,,,306,311,interception succesful,,,,6,False,False,False,nan,nan,nan,,nan
145,BK Häcken,Johan Hammar,,27,82,,,306,311,challenge unsuccessful,,,,6,False,False,False,nan,nan,nan,,nan
146,BK Häcken,Johan Hammar,Tobias Carlsson,26,75,33.0,94.0,308,311,pass accurate,,-0.0013944507131610114,0.8728876337948592,6,False,False,False,nan,nan,nan,,nan
