external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,Nahir Besara,Andreas Skovgaard Larsen,49,52,30.0,44.0,0,3,Pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,,,,,
1,Örebro,Andreas Skovgaard Larsen,Hussein Ali,31,43,58.0,3.0,3,6,Pass accurate,,0.002470514534579237,0.6197036607733024,1,False,False,False,,,,,
2,Örebro,Hussein Ali,,59,4,62.0,1.0,5,8,Pass inaccurate,,,0.8396177134901696,1,False,False,False,,,,,
3,IK Sirius FK,Marcus Klingenberg Mathisen,,38,99,42.0,82.0,19,22,Pass inaccurate,,,0.8378489826227935,1,False,False,True,Throw-in,,,,
4,Örebro,Nordin Gerzic,,58,18,68.0,8.0,20,23,Pass inaccurate,,,0.7175013778941667,1,False,False,False,,,,,
5,IK Sirius FK,Marcus Klingenberg Mathisen,,32,92,43.0,82.0,22,25,Pass inaccurate,,,0.8247846096136292,1,False,False,False,Throw-in,,,,
6,Örebro,Nordin Gerzic,Deniz Hümmet,57,18,66.0,6.0,24,27,Pass accurate,,0.0012463253335954876,0.604090634908799,1,False,False,False,,,,,
7,Örebro,Deniz Hümmet,Hussein Ali,64,3,60.0,5.0,27,30,Pass accurate,,,0.5632387063993136,1,False,False,False,,,,,
8,Örebro,Hussein Ali,Deniz Hümmet,65,3,71.0,7.0,31,34,Pass accurate,,0.004792399647438217,0.6977517987021584,1,False,False,False,,,,,
9,Örebro,Hussein Ali,,60,5,65.0,3.0,27,34,Carry,,,,1,False,False,False,,,,,
10,IK Sirius FK,Marcus Klingenberg Mathisen,,30,94,,,32,35,Foul,,,,1,False,False,False,Throw-in,,,,
11,IK Sirius FK,David Mitov Nilsson,,7,51,,,59,64,Clearance accurate,,,,1,False,False,False,,,,,
12,IK Sirius FK,Yukiya Sugita,,18,51,,,60,65,Clearance inaccurate,,,,2,False,False,False,,,,,
13,Örebro,Kevin Walker,Hussein Ali,66,21,44.0,43.0,64,67,Pass accurate,,-0.004809745437630408,0.8496774191838045,2,False,False,False,Free-kick,,,,
14,Örebro,Hussein Ali,Mergim Krasniqi,43,44,25.0,51.0,68,71,Pass accurate,,-0.0027792499557864475,0.9182308498948432,2,False,False,False,Free-kick,,,,
15,Örebro,Mergim Krasniqi,Hussein Ali,25,51,29.0,27.0,72,75,Pass accurate,,-0.00023438342872604892,0.8821543134625457,2,False,False,False,,,,,
16,Örebro,Hussein Ali,Mergim Krasniqi,27,28,17.0,49.0,74,77,Pass accurate,,-0.0009908906741392977,0.9376318742518378,2,False,False,False,,,,,
17,Örebro,Mergim Krasniqi,Hussein Ali,17,52,27.0,8.0,79,82,Pass accurate,,-0.0007480522798382835,0.8682807255341369,2,False,False,False,,,,,
18,Örebro,Hussein Ali,Mergim Krasniqi,29,5,10.0,33.0,82,85,Pass accurate,,1.9274029212415153e-05,0.9168424020097906,2,False,False,False,,,,,
19,Örebro,Mergim Krasniqi,,11,35,45.0,24.0,88,91,Pass inaccurate,,,0.6901422148137046,2,False,False,False,,,,,
20,Örebro,Kevin Walker,,45,24,,,95,98,Foul,,,,2,False,False,False,,,,,
21,IK Sirius FK,Tim Björkström,Laorent Shabani,34,18,46.0,5.0,110,113,Pass accurate,,0.00014427313560944587,0.8023482163203353,2,False,False,False,,,,,
22,IK Sirius FK,Laorent Shabani,Nahom Girmai Netabay,51,7,65.0,9.0,113,116,Pass accurate,,0.002890132064769336,0.6249288370599823,2,False,False,False,,,,,
23,IK Sirius FK,Nahom Girmai Netabay,Laorent Shabani,66,9,65.0,16.0,113,116,Pass accurate,,0.0020636961028419123,0.6038808920601475,2,False,False,False,,,,,
24,Örebro,Andreas Skovgaard Larsen,,28,85,,,115,120,Tackle unsuccessful,,,,2,False,False,False,,,,,
25,Örebro,Andreas Skovgaard Larsen,,28,85,,,115,120,Challenge successful,,,,2,False,False,False,,,,,
26,Örebro,Nordin Gerzic,Kevin Walker,27,72,45.0,58.0,119,122,Pass accurate,,0.0033837711957386135,0.7778204773267874,2,False,False,False,,,,,
27,Örebro,Kevin Walker,David Seger,45,60,58.0,84.0,120,123,Pass accurate,,0.0008101573935974556,0.6252263013860329,3,False,False,False,,,,,
28,IK Sirius FK,Patrick Nwadike,,13,39,,,126,131,Tackle unsuccessful,,,,3,False,False,False,,,,,
29,IK Sirius FK,Patrick Nwadike,,13,39,,,126,131,Challenge successful,,,,3,False,False,False,,,,,
30,Örebro,David Seger,Deniz Hümmet,81,73,88.0,59.0,126,129,Pass into the box,,,,3,False,False,False,,,,,
31,Örebro,David Seger,Deniz Hümmet,81,73,88.0,59.0,126,129,Pass accurate,,0.09147654417374076,0.5836479105152834,3,False,False,False,,,,,
32,Örebro,Kevin Adrian Wright,Deniz Hümmet,74,98,84.0,83.0,152,155,Pass accurate,,0.013094320669456202,0.6783314954442143,3,False,False,True,Throw-in,,,,
33,Örebro,Deniz Hümmet,,83,82,80.0,85.0,153,156,Pass inaccurate,,,0.514719081378843,3,False,False,False,Throw-in,,,,
34,IK Sirius FK,Adam Hellborg,,20,15,24.0,13.0,154,157,Pass inaccurate,,,0.698720575894447,3,False,False,False,,,,,
35,Örebro,Nahir Besara,David Seger,76,87,81.0,77.0,155,158,Pass accurate,,,0.6783314954442143,3,False,False,False,Throw-in,,,,
36,Örebro,David Seger,,82,77,79.0,72.0,156,159,Pass inaccurate,,,0.5978094211519417,3,False,False,False,Throw-in,,,,
37,IK Sirius FK,Patrick Nwadike,,21,28,26.0,33.0,157,160,Pass inaccurate,,,0.8551153533722626,3,False,False,False,,,,,
38,Örebro,Kevin Walker,,74,67,87.0,99.0,159,162,Pass inaccurate,,,0.14876622396105577,3,False,False,False,Throw-in,,,,
39,IK Sirius FK,Tim Björkström,Yukiya Sugita,13,1,39.0,13.0,180,183,Pass accurate,,0.005165182204041968,0.615741157106675,4,False,False,True,Throw-in,,,,
