external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,away,Kalle Holmberg,Hjalmar Ekdal,49,51,29.0,60.0,0,2,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,away,Hjalmar Ekdal,Edward Chilufya,30,58,66.0,20.0,3,5,pass accurate,,0.007588995393416856,0.5914865711184688,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,away,Edward Chilufya,,66,21,,,4,9,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,home,Johan Bertilsson,,35,77,,,6,11,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,away,Edward Chilufya,,65,21,,,7,12,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,away,Edward Chilufya,,65,21,,,7,12,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,away,Aslak Fonn Witry,Rasmus Schüller,64,24,57.0,25.0,9,11,pass accurate,,-0.0024920660136104264,0.7971768242010647,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,away,Rasmus Schüller,Haris Radetinac,58,27,52.0,61.0,11,13,pass accurate,,5.675860555415593e-05,0.8122830024005702,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,away,Nicklas Bärkroth,,74,96,,,11,36,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,away,Haris Radetinac,Nicklas Bärkroth,67,86,76.0,97.0,17,19,pass accurate,,0.0023032010985055418,0.8038748567378283,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,away,Nicklas Bärkroth,,73,96,96.0,51.0,20,22,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,away,Nicklas Bärkroth,,73,96,96.0,51.0,20,22,pass inaccurate,,,0.19494787086845689,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,away,Nicklas Bärkroth,,73,96,96.0,51.0,20,22,cross inacurate,,,0.19494787086845689,1,False,False,False,nan,nan,nan,,nan
13,Degerfors IF,home,Ismael Diawara,,4,49,,,21,26,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Degerfors IF,home,Ismael Diawara,,4,49,,,21,26,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Degerfors IF,home,Ismael Diawara,,14,60,55.0,49.0,32,42,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,home,Ismael Diawara,,14,60,55.0,49.0,32,42,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
17,Degerfors IF,home,Sargon Abraham,,55,49,,,38,41,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,home,Sargon Abraham,,55,49,,,38,41,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
19,Djurgården,away,Haris Radetinac,,45,51,,,38,41,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,away,Haris Radetinac,,45,51,,,38,41,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
21,Djurgården,away,Haris Radetinac,Hjalmar Ekdal,45,49,29.0,59.0,39,41,pass accurate,,-0.0027792499557864475,0.8954789609775199,1,False,False,False,nan,nan,nan,,nan
22,Djurgården,away,Hjalmar Ekdal,Aleksandr Vasiutin,31,58,10.0,43.0,41,43,pass accurate,,-0.0014865382982140792,0.9414389322072737,1,False,False,False,nan,nan,nan,,nan
23,Djurgården,away,Aleksandr Vasiutin,Kalle Holmberg,17,35,66.0,21.0,54,56,pass accurate,,0.009093004753006645,0.5886135263022102,1,False,False,False,nan,nan,nan,,nan
24,Djurgården,away,Kalle Holmberg,,68,20,,,57,60,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
25,Djurgården,away,Kalle Holmberg,,68,20,,,57,60,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
26,Degerfors IF,home,Adam Carlén,,32,80,,,57,60,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
27,Degerfors IF,home,Adam Carlén,,32,80,,,57,60,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
28,Djurgården,away,Kalle Holmberg,Edward Chilufya,68,19,93.0,9.0,57,59,pass accurate,,0.034811768825625165,0.47715075363446946,1,False,False,False,nan,nan,nan,,nan
29,Djurgården,away,Edward Chilufya,Curtis Edwards,91,13,76.0,14.0,64,66,pass accurate,,-0.005770458483646039,0.7281232697206437,2,False,False,False,nan,nan,nan,,nan
30,Djurgården,away,Curtis Edwards,Aslak Fonn Witry,78,10,67.0,11.0,67,69,pass accurate,,-0.005796274482870466,0.7571050663368012,2,False,False,False,nan,nan,nan,,nan
31,Djurgården,away,Aslak Fonn Witry,Rasmus Schüller,66,12,66.0,28.0,68,70,pass accurate,,0.0025752633047956795,0.7562902017316454,2,False,False,False,nan,nan,nan,,nan
32,Djurgården,away,Rasmus Schüller,Aslak Fonn Witry,66,29,65.0,13.0,69,71,pass accurate,,-0.0005115672019537672,0.7812430753318071,2,False,False,False,nan,nan,nan,,nan
33,Djurgården,away,Aslak Fonn Witry,Hjalmar Ekdal,65,22,50.0,56.0,71,73,pass accurate,,-0.0024353074080562705,0.8142097426343663,2,False,False,False,nan,nan,nan,,nan
34,Djurgården,away,Aslak Fonn Witry,,65,13,65.0,22.0,69,73,carry,,,,2,False,False,False,nan,nan,nan,,nan
35,Djurgården,away,Hjalmar Ekdal,Haris Radetinac,52,74,60.0,82.0,75,77,pass accurate,,0.002285596281785481,0.7832678133031049,2,False,False,False,nan,nan,nan,,nan
36,Djurgården,away,Haris Radetinac,Jacob Une Larsson,58,83,43.0,47.0,77,79,pass accurate,,-0.0007825315379292666,0.8387028699870698,2,False,False,False,nan,nan,nan,,nan
37,Djurgården,away,Jacob Une Larsson,Aslak Fonn Witry,42,47,64.0,7.0,80,82,pass accurate,,0.002746049334788496,0.7249684807059915,2,False,False,False,nan,nan,nan,,nan
38,Djurgården,away,Aslak Fonn Witry,Jacob Une Larsson,63,7,37.0,24.0,84,86,pass accurate,,-0.005212058950826326,0.8556370605175806,2,False,False,False,nan,nan,nan,,nan
39,Djurgården,away,Kalle Holmberg,,82,71,,,86,111,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
40,Djurgården,away,Jacob Une Larsson,Nicklas Bärkroth,46,31,66.0,93.0,88,90,pass accurate,,0.0018729342319021777,0.45956403496430664,2,False,False,False,nan,nan,nan,,nan
41,Djurgården,away,Kalle Holmberg,,87,68,,,88,98,penalty box entry successful,,,,2,False,False,False,nan,nan,nan,,nan
42,Djurgården,away,Nicklas Bärkroth,Kalle Holmberg,68,94,71.0,72.0,92,94,pass accurate,,0.0040383882022595255,0.758359911698151,2,False,False,False,nan,nan,nan,,nan
43,Djurgården,away,Nicklas Bärkroth,Kalle Holmberg,68,94,71.0,72.0,92,94,key pass,,,0.758359911698151,2,False,False,False,nan,nan,nan,,nan
44,Djurgården,away,Kalle Holmberg,,87,70,,,93,96,wide shot,0.029226014484957753,,,2,False,False,False,nan,nan,nan,,nan
45,Degerfors IF,home,Ismael Diawara,,13,30,,,93,96,goalkeeper wide shot,,,,2,False,False,False,nan,nan,nan,,nan
46,Djurgården,away,Kalle Holmberg,,87,70,,,93,96,shot,0.029226014484957753,,,2,False,False,False,nan,nan,right foot,,nan
47,Djurgården,away,Kalle Holmberg,,71,72,87.0,70.0,92,96,carry,,0.03395261328146415,,2,False,False,False,nan,nan,nan,,nan
48,Degerfors IF,home,Ismael Diawara,,5,56,38.0,77.0,120,130,pass inaccurate,,,,3,False,False,False,nan,nan,nan,,nan
49,Degerfors IF,home,Ismael Diawara,,5,56,38.0,77.0,120,130,goal kick,,,,3,False,False,False,nan,nan,nan,,nan
50,Djurgården,away,Edward Chilufya,,62,23,,,125,130,interception unsuccesful,,,,3,False,False,False,nan,nan,nan,,nan
51,Djurgården,away,Edward Chilufya,,62,23,,,125,130,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
52,Degerfors IF,home,Adam Carlén,,59,95,73.0,91.0,129,131,pass inaccurate,,,0.7088995371565405,3,False,False,False,nan,nan,nan,,nan
53,Degerfors IF,home,Johan Bertilsson,,73,91,,,130,135,interception unsuccesful,,,,3,False,False,False,nan,nan,nan,,nan
54,Degerfors IF,home,Johan Bertilsson,,73,91,,,130,135,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
55,Djurgården,away,Jacob Une Larsson,,23,7,,,131,136,clearance accurate,,,,3,False,False,False,nan,nan,nan,,nan
56,Djurgården,away,Aslak Fonn Witry,,26,2,33.0,17.0,144,146,pass inaccurate,,,0.7692079428112725,3,False,False,False,nan,nan,nan,,nan
57,Degerfors IF,home,Anton Kralj,,67,83,,,144,149,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
58,Degerfors IF,home,Anton Kralj,,67,83,,,144,149,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
59,Degerfors IF,home,Anton Kralj,,67,83,,,144,147,air challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
60,Degerfors IF,home,Anton Kralj,,67,83,,,144,147,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
61,Djurgården,away,Kalle Holmberg,,33,17,,,144,147,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
62,Djurgården,away,Kalle Holmberg,,33,17,,,144,147,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
63,Degerfors IF,home,Adam Carlén,Daniel Janevski,61,76,37.0,65.0,148,150,pass accurate,,-0.005990629748913675,0.8850569710862503,3,False,False,False,nan,nan,nan,,nan
64,Degerfors IF,home,Daniel Janevski,Ismael Diawara,31,24,12.0,44.0,158,160,pass accurate,,-0.0005205514799213676,0.9371129222172476,3,False,False,False,nan,nan,nan,,nan
65,Degerfors IF,home,Daniel Janevski,,37,65,31.0,24.0,148,160,carry,,-0.0017259295655453564,,3,False,False,False,nan,nan,nan,,nan
66,Degerfors IF,home,Ismael Diawara,Anton Kralj,14,44,32.0,93.0,162,164,pass accurate,,-0.0014799055782800472,0.5417750823616232,3,False,False,False,nan,nan,nan,,nan
67,Degerfors IF,home,Anton Kralj,Sebastian Olsson,32,92,7.0,89.0,167,169,pass accurate,,-0.003843112430935382,0.9354756035706432,3,False,False,False,nan,nan,nan,,nan
68,Degerfors IF,home,Sebastian Olsson,Anton Kralj,4,88,13.0,91.0,172,174,pass accurate,,0.0014459941826564637,0.9050465708959621,3,False,False,False,nan,nan,nan,,nan
69,Degerfors IF,home,Anton Kralj,Sebastian Olsson,11,93,5.0,88.0,173,175,pass accurate,,-0.0014459941826564637,0.9138673608111235,3,False,False,False,nan,nan,nan,,nan
70,Degerfors IF,home,Sebastian Olsson,,8,81,42.0,79.0,175,177,pass inaccurate,,,0.6881274268895269,3,False,False,False,nan,nan,nan,,nan
71,Djurgården,away,Jacob Une Larsson,,58,21,,,177,182,clearance accurate,,,,3,False,False,False,nan,nan,nan,,nan
72,Djurgården,away,Jacob Une Larsson,Magnus Eriksson,60,20,65.0,27.0,177,179,pass accurate,,0.0005115672019537672,0.7478730956159486,3,False,False,False,nan,nan,nan,,nan
73,Djurgården,away,Magnus Eriksson,,66,27,72.0,36.0,179,181,pass inaccurate,,,0.7178161959836685,3,False,False,False,nan,nan,nan,,nan
74,Degerfors IF,home,Sean Sabetkar,,28,64,32.0,38.0,180,182,pass inaccurate,,,0.853182918846944,4,False,False,False,nan,nan,nan,,nan
75,Djurgården,away,Nicklas Bärkroth,,68,62,,,181,186,interception unsuccesful,,,,4,False,False,False,nan,nan,nan,,nan
76,Djurgården,away,Nicklas Bärkroth,,68,62,,,181,186,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
77,Degerfors IF,home,Adam Carlén,Daniel Janevski,30,41,23.0,33.0,184,186,pass accurate,,-0.0016686620508161599,0.9333126376601976,4,False,False,False,nan,nan,nan,,nan
78,Degerfors IF,home,Ferhad Ayaz,,33,10,,,186,196,dribble unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
79,Degerfors IF,home,Daniel Janevski,Ferhad Ayaz,28,30,33.0,12.0,187,189,pass accurate,,-0.0020804594638705216,0.8562653393816708,4,False,False,False,nan,nan,nan,,nan
80,Degerfors IF,home,Ferhad Ayaz,,33,6,,,189,194,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
81,Djurgården,away,Hjalmar Ekdal,Jacob Une Larsson,33,76,31.0,52.0,223,225,pass accurate,,0.001571993163333115,0.8679426731748379,4,False,False,False,nan,nan,nan,,nan
82,Djurgården,away,Jacob Une Larsson,Aslak Fonn Witry,30,47,31.0,24.0,225,227,pass accurate,,-0.0011306395095190824,0.8754527085451245,4,False,False,False,nan,nan,nan,,nan
83,Djurgården,away,Aslak Fonn Witry,Edward Chilufya,35,10,60.0,12.0,229,231,pass accurate,,0.0063938217324273575,0.6174431998307487,4,False,False,False,nan,nan,nan,,nan
84,Djurgården,away,Edward Chilufya,Curtis Edwards,47,9,38.0,20.0,231,233,pass accurate,,-0.00014427313560944587,0.843231905277662,4,False,False,False,nan,nan,nan,,nan
85,Djurgården,away,Curtis Edwards,Aslak Fonn Witry,36,21,30.0,8.0,232,234,pass accurate,,-0.002628083232345188,0.8958298895333476,4,False,False,False,nan,nan,nan,,nan
86,Djurgården,away,Aslak Fonn Witry,Jacob Une Larsson,33,8,28.0,26.0,233,235,pass accurate,,0.0020804594638705216,0.8848765278948459,4,False,False,False,nan,nan,nan,,nan
87,Djurgården,away,Jacob Une Larsson,Aleksandr Vasiutin,28,24,8.0,48.0,236,238,pass accurate,,-0.00031339649987124213,0.9327037691089304,4,False,False,False,nan,nan,nan,,nan
88,Djurgården,away,Aleksandr Vasiutin,,9,55,35.0,80.0,242,244,pass inaccurate,,,0.72368755600004,5,False,False,False,nan,nan,nan,,nan
