external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,home,Mamudu Moro,Elias Andersson,49,52,33.0,51.0,0,3,pass accurate,,-0.0027516241001182586,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Mjällby AIF,home,Elias Andersson,,34,51,76.0,26.0,2,5,pass inaccurate,,,0.49508883439293705,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,away,Sebastian Ring,Romario Pereira Sipiao,24,74,27.0,63.0,5,8,pass accurate,,0.0012824848477914121,0.891208095505386,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,away,Sebastian Ring,,24,73,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,away,Sebastian Ring,,24,73,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Mjällby AIF,home,Amin Sarr,,76,29,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,home,Amin Sarr,,76,29,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,away,Romario Pereira Sipiao,,27,62,37.0,62.0,7,10,pass inaccurate,,,0.8373838007817325,1,False,False,False,nan,nan,nan,,nan
8,Kalmar FF,away,Romario Pereira Sipiao,Jonathan Ring,26,36,36.0,22.0,11,14,pass accurate,,0.0005476237684746664,0.8498128794202718,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,away,Jonathan Ring,Piotr Johansson,39,14,31.0,9.0,13,16,pass accurate,,-0.002628083232345188,0.8151744852994633,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,away,Piotr Johansson,Johan Stenmark,31,8,22.0,28.0,15,18,pass accurate,,0.0008108335330067815,0.9198010762763972,1,False,False,False,nan,nan,nan,,nan
11,Kalmar FF,away,Johan Stenmark,Piotr Johansson,23,24,28.0,7.0,18,21,pass accurate,,8.659304327562553e-05,0.894547100934442,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,away,Piotr Johansson,Jonathan Ring,30,6,31.0,3.0,20,23,pass accurate,,,0.06375102755498586,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,away,Jonathan Ring,Johan Stenmark,28,5,10.0,12.0,23,26,pass accurate,,-0.00253709897169678,0.9157844070400869,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,away,Johan Stenmark,Tobias Andersson,12,25,4.0,45.0,26,29,pass accurate,,0.0010161855452202016,0.913333594793557,1,False,False,False,nan,nan,nan,,nan
15,Kalmar FF,away,Tobias Andersson,Douglas Bergqvist,5,48,12.0,87.0,28,31,pass accurate,,-0.002741940017186169,0.9158909557315801,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,away,Douglas Bergqvist,Sebastian Ring,24,89,29.0,84.0,31,34,pass accurate,,0.0025895409516904257,0.8418358313957568,1,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,away,Sebastian Ring,Douglas Bergqvist,28,92,34.0,97.0,33,36,pass accurate,,0.0013155334408985666,0.9020841153242118,1,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,away,Douglas Bergqvist,,34,97,42.0,96.0,34,37,pass inaccurate,,,0.5967216818900251,1,False,False,False,nan,nan,nan,,nan
19,Mjällby AIF,home,Max Watson,Jesper Gustavsson,58,4,64.0,13.0,35,38,pass accurate,,0.004953828167611248,0.678445203599902,1,False,False,False,nan,nan,nan,,nan
20,Mjällby AIF,home,Jesper Gustavsson,Viktor Gustafson,64,14,70.0,17.0,37,40,pass accurate,,0.005712043080806792,0.689317000061965,1,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,home,Viktor Gustafson,Joel Nilsson,70,14,77.0,4.0,38,41,pass accurate,,0.002812934946659979,0.827494555073379,1,False,False,False,nan,nan,nan,,nan
22,Kalmar FF,away,Nils Fröling,,6,83,,,42,47,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
23,Kalmar FF,away,Nils Fröling,,6,83,,,42,47,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
24,Kalmar FF,away,Tobias Andersson,,6,54,46.0,78.0,73,83,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
25,Kalmar FF,away,Tobias Andersson,,6,54,46.0,78.0,73,83,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
26,Mjällby AIF,home,Viktor Gustafson,Amin Sarr,54,22,62.0,21.0,80,83,pass accurate,,0.0033100214364374,0.7582767284373223,2,False,False,False,nan,nan,nan,,nan
27,Kalmar FF,away,Carl Gustafsson,,45,79,,,81,84,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
28,Kalmar FF,away,Carl Gustafsson,,45,79,,,81,84,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,home,Viktor Gustafson,,54,21,,,81,84,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
30,Mjällby AIF,home,Viktor Gustafson,,54,21,,,81,84,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
31,Kalmar FF,away,Sebastian Ring,,38,80,,,81,86,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
32,Kalmar FF,away,Sebastian Ring,,38,80,,,81,86,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
33,Mjällby AIF,home,Viktor Gustafson,,59,23,,,86,89,foul,,,,2,False,False,False,nan,nan,nan,,nan
34,Kalmar FF,away,Johan Stenmark,Carl Gustafsson,31,40,39.0,22.0,97,100,pass accurate,,0.0001485876485222467,0.8312581255382139,2,False,False,False,nan,nan,nan,,nan
35,Kalmar FF,away,Carl Gustafsson,Jonathan Ring,40,22,56.0,17.0,100,103,pass accurate,,0.003965733617230838,0.6968131119959151,2,False,False,False,nan,nan,nan,,nan
36,Kalmar FF,away,Jonathan Ring,Johan Stenmark,53,23,50.0,5.0,102,105,pass accurate,,-0.0016438067311738483,0.8644486127792445,2,False,False,False,nan,nan,nan,,nan
37,Kalmar FF,away,Jonathan Ring,,56,17,53.0,23.0,100,105,carry,,,,2,False,False,False,nan,nan,nan,,nan
38,Kalmar FF,away,Johan Stenmark,,51,4,73.0,19.0,104,107,pass inaccurate,,,0.5543519375908612,2,False,False,False,nan,nan,nan,,nan
39,Mjällby AIF,home,Carlos Moros Gracia,,27,81,,,104,109,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
40,Kalmar FF,away,Piotr Johansson,Isak Jansson,74,1,77.0,12.0,116,119,pass accurate,,0.005796274482870466,0.6719505194094164,2,False,False,False,nan,nan,nan,,nan
41,Kalmar FF,away,Carl Gustafsson,,74,12,,,116,121,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
42,Kalmar FF,away,Isak Jansson,Carl Gustafsson,77,12,73.0,12.0,117,120,pass accurate,,-0.005796274482870466,0.6260069208808068,2,False,False,False,nan,nan,nan,,nan
43,Mjällby AIF,home,Elias Andersson,Mamudu Moro,28,83,30.0,90.0,119,122,pass accurate,,-0.0013944507131610114,0.8076307178231819,2,False,False,False,counter,nan,nan,,nan
44,Mjällby AIF,home,Mamudu Moro,Kadir Hodzic,30,92,28.0,93.0,119,122,pass accurate,,,0.13582541129311027,2,False,False,False,counter,nan,nan,,nan
45,Mjällby AIF,home,Joel Nilsson,,76,30,,,120,145,final third entry,,,,3,False,False,False,counter,nan,nan,,nan
46,Mjällby AIF,home,Joel Nilsson,,85,26,,,120,130,penalty box entry successful,,,,3,False,False,False,counter,nan,nan,,nan
47,Mjällby AIF,home,Kadir Hodzic,Elias Andersson,29,95,27.0,86.0,120,123,pass accurate,,0.0013944507131610114,0.8980217895975271,3,False,False,False,counter,nan,nan,,nan
48,Mjällby AIF,home,Elias Andersson,Mamudu Moro,25,88,34.0,88.0,121,124,pass accurate,,0.0013155334408985666,0.8191142294908933,3,False,False,False,counter,nan,nan,,nan
49,Mjällby AIF,home,Mamudu Moro,Viktor Gustafson,34,82,35.0,75.0,123,126,pass accurate,,,0.7330357460796805,3,False,False,False,counter,nan,nan,,nan
50,Mjällby AIF,home,Viktor Gustafson,Joel Nilsson,34,73,71.0,30.0,124,127,pass accurate,,0.012491406811546535,0.5279983464152173,3,False,False,False,counter,nan,nan,,nan
51,Mjällby AIF,home,Viktor Gustafson,Joel Nilsson,34,73,71.0,30.0,124,127,assist,0.43916245853501107,,0.5279983464152173,3,False,False,False,counter,nan,nan,,nan
52,Mjällby AIF,home,Joel Nilsson,,87,25,,,126,131,goal,0.43916245853501107,,,3,False,False,False,counter,nan,nan,,bottom-left
53,Kalmar FF,away,Tobias Andersson,,13,75,,,126,131,goal conceded,0.43916245853501107,,,3,False,False,False,nan,nan,nan,,bottom-left
54,Mjällby AIF,home,Joel Nilsson,,71,30,87.0,25.0,124,131,carry,,0.03650119591582994,,3,False,False,False,counter,nan,nan,,nan
55,Kalmar FF,away,Sebastian Ring,Carl Gustafsson,35,74,37.0,38.0,183,186,pass accurate,,0.0005704252499917767,0.8759684675203363,4,False,False,False,nan,nan,nan,,nan
56,Kalmar FF,away,Carl Gustafsson,Johan Stenmark,39,39,29.0,28.0,184,187,pass accurate,,-0.0015647514259704703,0.9121279654433834,4,False,False,False,nan,nan,nan,,nan
57,Kalmar FF,away,Johan Stenmark,Douglas Bergqvist,30,30,25.0,51.0,187,190,pass accurate,,0.00023438342872604892,0.9076521465016897,4,False,False,False,nan,nan,nan,,nan
58,Kalmar FF,away,Douglas Bergqvist,Sebastian Ring,27,56,29.0,85.0,189,192,pass accurate,,-0.001571993163333115,0.8833447499759712,4,False,False,False,nan,nan,nan,,nan
59,Kalmar FF,away,Sebastian Ring,Romario Pereira Sipiao,34,83,35.0,73.0,193,196,pass accurate,,0.0007481366366179614,0.8464089072161348,4,False,False,False,nan,nan,nan,,nan
60,Kalmar FF,away,Romario Pereira Sipiao,Sebastian Ring,38,80,38.0,86.0,195,198,pass accurate,,,0.7113376418474505,4,False,False,False,nan,nan,nan,,nan
61,Kalmar FF,away,Sebastian Ring,Douglas Bergqvist,38,86,26.0,71.0,196,199,pass accurate,,-0.0006439532062550383,0.9198455924337285,4,False,False,False,nan,nan,nan,,nan
62,Kalmar FF,away,Douglas Bergqvist,Johan Stenmark,27,67,27.0,31.0,198,201,pass accurate,,0.00039776366689430603,0.8816556042122334,4,False,False,False,nan,nan,nan,,nan
63,Kalmar FF,away,Johan Stenmark,Piotr Johansson,27,30,40.0,8.0,201,204,pass accurate,,-0.0006341390131263652,0.8143987555886478,4,False,False,False,nan,nan,nan,,nan
64,Kalmar FF,away,Piotr Johansson,Carl Gustafsson,40,14,40.0,20.0,204,207,pass accurate,,,0.6804343997671165,4,False,False,False,nan,nan,nan,,nan
