external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,Robin Tranberg,Joakim Lindner,51,48,28.0,67.0,0,3,Pass accurate,,-0.005781188470905894,0.9104425338972548,1,False,False,False,,,,,
1,Varbergs BoIS FC,Joakim Lindner,,27,72,65.0,73.0,3,6,Pass inaccurate,,,0.5388538430265429,1,False,False,False,,,,,
2,Örebro,Nordin Gerzic,,35,27,,,4,9,Clearance inaccurate,,,,1,False,False,False,,,,,
3,Örebro,Johan Mårtensson,,44,58,,,7,12,Interception succesful,,,,1,False,False,False,,,,,
4,Örebro,Johan Mårtensson,,44,58,,,7,12,Challenge unsuccessful,,,,1,False,False,False,,,,,
5,Varbergs BoIS FC,Joakim Lindner,,42,36,52.0,36.0,7,10,Pass inaccurate,,,0.2139901181141572,1,False,False,False,,,,,
6,Örebro,Nahir Besara,,59,64,,,8,11,Air challenge successful,,,,1,False,False,False,,,,,
7,Örebro,Nahir Besara,,59,64,,,8,11,Challenge successful,,,,1,False,False,False,,,,,
8,Varbergs BoIS FC,Joakim Lindner,,40,40,,,8,11,Air challenge unsuccessful,,,,1,False,False,False,,,,,
9,Varbergs BoIS FC,Joakim Lindner,,40,40,,,8,11,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,Örebro,Benjamin Hjertstrand,,29,61,57.0,75.0,11,14,Pass inaccurate,,,0.5886097387341283,1,False,False,False,,,,,
11,Varbergs BoIS FC,Joakim Lindner,,43,25,,,13,18,Interception unsuccesful,,,,1,False,False,False,,,,,
12,Varbergs BoIS FC,Joakim Lindner,,43,25,,,13,18,Challenge successful,,,,1,False,False,False,,,,,
13,Örebro,Deniz Hümmet,Dennis Collander,43,77,55.0,64.0,16,19,Pass accurate,,0.0030406958118597525,0.7599220432404156,1,False,False,False,,,,,
14,Örebro,Dennis Collander,Deniz Hümmet,57,70,58.0,87.0,17,20,Pass accurate,,-0.0009031947206651243,0.7975148471116048,1,False,False,False,,,,,
15,Örebro,Deniz Hümmet,Nahir Besara,63,87,71.0,85.0,19,22,Pass accurate,,0.0049376838474669525,0.7238863561687552,1,False,False,False,,,,,
16,Örebro,Deniz Hümmet,,58,87,63.0,87.0,17,22,Carry,,0.0031887910024506055,,1,False,False,False,,,,,
17,Varbergs BoIS FC,Gideon Mensah,,29,8,,,24,29,Tackle unsuccessful,,,,1,False,False,False,,,,,
18,Varbergs BoIS FC,Gideon Mensah,,29,8,,,24,29,Challenge successful,,,,1,False,False,False,,,,,
19,Örebro,Dennis Collander,,78,72,,,28,33,Lost ball,,,,1,False,False,False,,,,,
20,Örebro,Nahir Besara,Dennis Collander,76,99,77.0,73.0,28,31,Pass accurate,,0.005839562297124571,0.7141274515536518,1,False,False,False,,,,,
21,Varbergs BoIS FC,Des Kunst,,36,25,,,33,38,Lost ball,,,,1,False,False,False,,,,,
22,Varbergs BoIS FC,Luke Le Roux,Des Kunst,27,41,35.0,22.0,33,36,Pass accurate,,0.0001485876485222467,0.8618591491934291,1,False,False,False,,,,,
23,Örebro,Johan Mårtensson,,64,70,,,34,39,Interception succesful,,,,1,False,False,False,,,,,
24,Örebro,Johan Mårtensson,,64,70,,,34,39,Challenge unsuccessful,,,,1,False,False,False,,,,,
25,Örebro,Johan Mårtensson,Benjamin Hjertstrand,63,88,73.0,90.0,37,40,Pass accurate,,0.003925326525479712,0.713008208416017,1,False,False,False,,,,,
26,Örebro,Benjamin Hjertstrand,Johan Mårtensson,73,93,64.0,86.0,38,41,Pass accurate,,-0.0015529266837266097,0.7993203942291791,1,False,False,False,,,,,
27,Örebro,Johan Mårtensson,Nasiru Moro,63,91,28.0,55.0,40,43,Pass accurate,,-0.004378172654413218,0.9156037900112729,1,False,False,False,,,,,
28,Örebro,Nasiru Moro,Bobby Allain,30,39,7.0,43.0,43,46,Pass accurate,,-0.0014440360093903246,0.9414389322072737,1,False,False,False,,,,,
29,Örebro,Bobby Allain,,7,45,43.0,80.0,46,49,Pass inaccurate,,,0.6881274268895269,1,False,False,False,,,,,
30,Örebro,Deniz Hümmet,,43,80,64.0,100.0,48,51,Pass inaccurate,,,0.14373662913801152,1,False,False,False,,,,,
31,Varbergs BoIS FC,Joakim Lindner,,36,0,70.0,11.0,63,66,Pass inaccurate,,,0.45933171512757226,2,False,False,False,,,,,
32,Örebro,Johan Mårtensson,,30,89,,,63,68,Clearance accurate,,,,2,False,False,False,,,,,
33,Örebro,Deniz Hümmet,Johan Mårtensson,39,79,33.0,79.0,68,71,Pass accurate,,-0.0015837992739677984,0.863372714093008,2,False,False,False,,,,,
34,Örebro,Johan Mårtensson,,38,86,89.0,71.0,69,72,Pass into the box,,,,2,False,False,False,,,,,
35,Örebro,Johan Mårtensson,,38,86,89.0,71.0,69,72,Pass inaccurate,,,0.3973673993578054,2,False,False,False,,,,,
36,Varbergs BoIS FC,Oliver Stanisic,,11,29,,,73,78,Clearance inaccurate,,,,2,False,False,False,,,,,
37,Örebro,Benjamin Hjertstrand,,65,83,,,78,83,Interception succesful,,,,2,False,False,False,,,,,
38,Örebro,Benjamin Hjertstrand,,65,83,,,78,83,Challenge unsuccessful,,,,2,False,False,False,,,,,
39,Örebro,Nahir Besara,Nordin Gerzic,72,65,61.0,73.0,81,84,Pass accurate,,-0.004649636065058346,0.8233083583005797,2,False,False,False,,,,,
40,Örebro,Nordin Gerzic,,60,69,82.0,99.0,86,89,Pass inaccurate,,,0.18806498393711077,2,False,False,False,,,,,
41,Örebro,Benjamin Hjertstrand,Johan Mårtensson,82,99,68.0,91.0,99,102,Pass accurate,,-0.005687958262245885,0.7896794174453929,2,False,False,False,,,,,
42,Örebro,Johan Mårtensson,Benjamin Hjertstrand,72,92,84.0,91.0,100,103,Pass accurate,,0.01190239406509774,0.6748497236111715,2,False,False,False,,,,,
43,Örebro,Benjamin Hjertstrand,Deniz Hümmet,82,96,92.0,83.0,102,105,Pass accurate,,0.010499713938768678,0.6003424014669801,2,False,False,False,,,,,
44,Örebro,Deniz Hümmet,Nahir Besara,93,92,83.0,84.0,107,110,Pass accurate,,-0.017103506535141887,0.5730260407210839,2,False,False,False,,,,,
45,Örebro,Deniz Hümmet,,92,83,93.0,92.0,102,110,Carry,,0.009200014427585564,,2,False,False,False,,,,,
46,Örebro,Nahir Besara,Johan Mårtensson,86,84,77.0,87.0,109,112,Pass accurate,,-0.004810140575997962,0.7258617280223467,2,False,False,False,,,,,
47,Varbergs BoIS FC,Robin Tranberg,,64,57,,,111,116,Tackle successful,,,,2,False,False,False,,,,,
48,Varbergs BoIS FC,Robin Tranberg,,64,57,,,111,116,Challenge unsuccessful,,,,2,False,False,False,,,,,
49,Örebro,Benjamin Hjertstrand,,81,93,,,112,117,Tackle unsuccessful,,,,2,False,False,False,,,,,
50,Örebro,Benjamin Hjertstrand,,81,93,,,112,117,Challenge successful,,,,2,False,False,False,,,,,
