external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,home,Kalle Holmberg,Hampus Finndell,51,48,39.0,52.0,0,3,pass accurate,,-0.003905945421392925,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,home,Hampus Finndell,Hjalmar Ekdal,40,48,30.0,69.0,1,4,pass accurate,,-0.0019625150928647764,0.8973107490925579,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,home,Hjalmar Ekdal,Jesper Löfgren,33,74,66.0,18.0,4,7,pass accurate,,0.00822114248903721,0.6134193680605285,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,home,Jesper Löfgren,,69,11,69.0,13.0,7,10,pass inaccurate,,,0.22100392284653195,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,home,Jesper Löfgren,,66,18,69.0,11.0,4,10,carry,,0.0027287035445963045,,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,away,Sebastian Ring,,31,87,,,7,10,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Kalmar FF,away,Sebastian Ring,,31,87,,,7,10,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,away,Douglas Bergqvist,,23,72,,,7,12,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,home,Jesper Löfgren,,69,13,,,7,10,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,home,Jesper Löfgren,,69,13,,,7,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,away,Nils Fröling,,44,78,,,9,14,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,home,Jesper Löfgren,,44,20,,,11,16,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,home,Jesper Löfgren,,44,20,,,11,16,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,home,Jesper Löfgren,Jacob Widell Zetterström,40,17,12.0,40.0,13,16,pass accurate,,-0.0017997786379626967,0.928769121595964,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,home,Jacob Widell Zetterström,,20,28,76.0,22.0,18,21,pass inaccurate,,,0.4485475162680486,1,False,False,False,nan,nan,nan,,nan
15,Kalmar FF,away,Douglas Bergqvist,Romario Pereira Sipiao,24,78,32.0,66.0,24,27,pass accurate,,0.0023456372207593303,0.8159643436875658,1,False,False,False,nan,nan,nan,,nan
16,Djurgården,home,Edward Chilufya,,77,29,,,24,27,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
17,Djurgården,home,Edward Chilufya,,77,29,,,24,27,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,away,Douglas Bergqvist,,23,74,,,24,27,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,away,Douglas Bergqvist,,23,74,,,24,27,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,home,Emmanuel Justine Rabby Banda,,68,30,,,25,30,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
