external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,Nahir Besara,Andreas Skovgaard Larsen,51,49,28.0,52.0,0,3,Pass accurate,,-0.005149041375285539,0.9161791357261458,1,False,False,False,,,,,
1,Örebro,Andreas Skovgaard Larsen,,27,51,72.0,30.0,3,6,Pass inaccurate,,,0.4945840971952729,1,False,False,False,,,,,
2,Varbergs BoIS FC,Jon Birkfeldt,,28,70,,,7,10,Air challenge unsuccessful,,,,1,False,False,False,,,,,
3,Varbergs BoIS FC,Jon Birkfeldt,,28,70,,,7,10,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,Örebro,Dennis Collander,,73,28,,,7,10,Air challenge successful,,,,1,False,False,False,,,,,
5,Örebro,Dennis Collander,,73,28,,,7,10,Challenge successful,,,,1,False,False,False,,,,,
6,Varbergs BoIS FC,Albert Ejupi,Stojan Lukic,24,66,4.0,55.0,8,11,Pass accurate,,0.0003303668795154001,0.9335530379011319,1,False,False,False,,,,,
7,Varbergs BoIS FC,Stojan Lukic,,4,57,46.0,48.0,11,14,Pass inaccurate,,,0.6836588183505454,1,False,False,False,,,,,
8,Örebro,Andreas Skovgaard Larsen,,54,52,,,13,18,Interception unsuccesful,,,,1,False,False,False,,,,,
9,Örebro,Andreas Skovgaard Larsen,,54,52,,,13,18,Challenge successful,,,,1,False,False,False,,,,,
10,Örebro,Andreas Skovgaard Larsen,,54,53,54.0,52.0,14,17,Pass inaccurate,,,0.24417951393779724,1,False,False,False,,,,,
11,Varbergs BoIS FC,Simon Karlsson Adjei,,46,48,,,15,18,Air challenge successful,,,,1,False,False,False,,,,,
12,Varbergs BoIS FC,Simon Karlsson Adjei,,46,48,,,15,18,Challenge successful,,,,1,False,False,False,,,,,
13,Örebro,Andreas Skovgaard Larsen,,54,53,,,15,18,Air challenge unsuccessful,,,,1,False,False,False,,,,,
14,Örebro,Andreas Skovgaard Larsen,,54,53,,,15,18,Challenge unsuccessful,,,,1,False,False,False,,,,,
15,Örebro,Dennis Collander,,73,42,,,16,21,Offside,,,,1,False,False,False,,,,,
16,Varbergs BoIS FC,Stojan Lukic,,24,70,75.0,34.0,42,52,Pass inaccurate,,,,1,False,False,False,,,,,
17,Varbergs BoIS FC,Stojan Lukic,,24,70,75.0,34.0,42,52,Goalkeeper kick inaccurate,,,,1,False,False,False,,,,,
18,Örebro,Andreas Skovgaard Larsen,,25,66,,,50,53,Foul,,,,1,False,False,False,,,,,
19,Varbergs BoIS FC,Tashreeq Matthews,,84,18,,,90,95,Offside,,,,2,False,False,False,Free-kick,,,,
20,Örebro,Nasiru Moro,Johan Mårtensson,11,28,28.0,49.0,106,109,Pass accurate,,0.002460221554610526,0.8053718764632097,2,False,False,False,,,,,
21,Örebro,Johan Mårtensson,Nasiru Moro,25,41,11.0,31.0,109,112,Pass accurate,,-0.002460221554610526,0.9133398924429011,2,False,False,False,,,,,
22,Örebro,Nasiru Moro,Benjamin Hjertstrand,11,27,16.0,3.0,111,114,Pass accurate,,-0.0025563730009091953,0.910089991464214,2,False,False,False,,,,,
23,Örebro,Benjamin Hjertstrand,David Seger,18,3,31.0,17.0,113,116,Pass accurate,,0.0026692121910549312,0.7248248164226093,2,False,False,False,,,,,
24,Örebro,David Seger,,32,13,,,114,119,Lost ball,,,,2,False,False,False,,,,,
25,Varbergs BoIS FC,Jean Carlos De Brito,,65,93,83.0,92.0,137,140,Pass inaccurate,,,0.6528584154678666,3,False,False,False,,,,,
26,Örebro,Benjamin Hjertstrand,,17,8,,,137,142,Interception succesful,,,,3,False,False,False,,,,,
27,Örebro,Benjamin Hjertstrand,,17,8,,,137,142,Challenge unsuccessful,,,,3,False,False,False,,,,,
28,Örebro,Benjamin Hjertstrand,,24,7,,,138,143,Lost ball,,,,3,False,False,False,,,,,
29,Varbergs BoIS FC,Jean Carlos De Brito,Luke Le Roux,69,100,74.0,91.0,149,152,Pass accurate,,,0.7731201258234862,3,False,False,False,,,,,
30,Varbergs BoIS FC,Jean Carlos De Brito,,55,94,,,150,155,Lost ball,,,,3,False,False,False,,,,,
31,Varbergs BoIS FC,Luke Le Roux,Jean Carlos De Brito,71,90,57.0,91.0,150,153,Pass accurate,,-0.006608750615073319,0.822538643338191,3,False,False,False,,,,,
32,Örebro,Dennis Collander,Nahir Besara,62,8,63.0,28.0,154,157,Pass accurate,,0.0025752633047956795,0.7767712605136669,3,False,False,False,,,,,
33,Örebro,Nahir Besara,,62,24,86.0,24.0,156,159,Pass into the box,,,,3,False,False,False,,,,,
34,Örebro,Nahir Besara,,62,24,86.0,24.0,156,159,Pass inaccurate,,,0.6073522386010775,3,False,False,False,,,,,
35,Örebro,Nahir Besara,,62,24,86.0,24.0,156,159,Through Ball unsuccessful,,,0.6073522386010775,3,False,False,False,,,,,
36,Varbergs BoIS FC,Oliver Stanisic,,14,76,,,158,163,Interception succesful,,,,3,False,False,False,,,,,
37,Varbergs BoIS FC,Oliver Stanisic,,14,76,,,158,163,Challenge unsuccessful,,,,3,False,False,False,,,,,
38,Varbergs BoIS FC,Oliver Stanisic,Robin Tranberg,6,89,35.0,85.0,160,163,Pass accurate,,0.006821362418064192,0.7201694991324818,3,False,False,False,,,,,
39,Varbergs BoIS FC,Robin Tranberg,Luke Le Roux,37,87,31.0,77.0,162,165,Pass accurate,,-0.0015837992739677984,0.8805653952457727,3,False,False,False,,,,,
40,Varbergs BoIS FC,Luke Le Roux,,30,76,64.0,81.0,163,166,Pass inaccurate,,,0.5493167057674676,3,False,False,False,,,,,
41,Örebro,Nasiru Moro,,36,19,,,165,170,Interception unsuccesful,,,,3,False,False,False,,,,,
42,Örebro,Nasiru Moro,,36,19,,,165,170,Challenge successful,,,,3,False,False,False,,,,,
43,Varbergs BoIS FC,Jean Carlos De Brito,Simon Karlsson Adjei,44,100,59.0,91.0,179,182,Pass accurate,,0.004577611136330586,0.7636674579983589,3,False,False,False,,,,,
44,Varbergs BoIS FC,Simon Karlsson Adjei,,59,93,68.0,90.0,181,184,Pass inaccurate,,,0.7110757042047827,4,False,False,False,,,,,
45,Örebro,Nasiru Moro,,32,10,,,181,186,Interception succesful,,,,4,False,False,False,,,,,
46,Örebro,Nasiru Moro,,32,10,,,181,186,Challenge unsuccessful,,,,4,False,False,False,,,,,
47,Örebro,Nasiru Moro,Dennis Collander,34,10,66.0,27.0,182,185,Pass accurate,,0.008969085037223037,0.5105065142038897,4,False,False,False,,,,,
48,Örebro,Dennis Collander,,68,26,,,184,189,Lost ball,,,,4,False,False,False,,,,,
49,Varbergs BoIS FC,Luke Le Roux,Jon Birkfeldt,40,76,24.0,79.0,188,191,Pass accurate,,-0.0029895904270143686,0.9311209433960549,4,False,False,False,,,,,
50,Varbergs BoIS FC,Jon Birkfeldt,Stojan Lukic,24,80,9.0,49.0,190,193,Pass accurate,,0.001491246018165606,0.9289132266826702,4,False,False,False,,,,,
51,Varbergs BoIS FC,Stojan Lukic,Joakim Lindner,10,48,21.0,17.0,194,197,Pass accurate,,-0.0009148976376581169,0.9138550207770502,4,False,False,False,,,,,
52,Varbergs BoIS FC,Joakim Lindner,,24,9,71.0,28.0,197,200,Pass inaccurate,,,0.3819038980242265,4,False,False,False,,,,,
53,Örebro,Nasiru Moro,,29,72,,,199,204,Interception unsuccesful,,,,4,False,False,False,,,,,
54,Örebro,Nasiru Moro,,29,72,,,199,204,Challenge successful,,,,4,False,False,False,,,,,
55,Varbergs BoIS FC,Luke Le Roux,Tashreeq Matthews,72,34,73.0,25.0,204,207,Pass accurate,,,0.7750896484289339,4,False,False,False,,,,,
56,Varbergs BoIS FC,Tashreeq Matthews,Anton Liljenbäck,73,24,73.0,6.0,206,209,Pass accurate,,-0.0029833395362104873,0.6233342940723868,4,False,False,False,,,,,
57,Varbergs BoIS FC,Simon Karlsson Adjei,,87,41,,,209,234,Final third entry,,,,4,False,False,False,,,,,
58,Varbergs BoIS FC,Simon Karlsson Adjei,,88,38,,,209,219,Penalty box entry unsuccessful,,,,4,False,False,False,,,,,
59,Varbergs BoIS FC,Anton Liljenbäck,Joakim Lindner,72,15,55.0,16.0,211,214,Pass accurate,,-0.009022064517244192,0.8309083554771063,4,False,False,False,,,,,
60,Varbergs BoIS FC,Joakim Lindner,Albert Ejupi,54,14,58.0,19.0,212,215,Pass accurate,,,0.6920108875121677,4,False,False,False,,,,,
61,Varbergs BoIS FC,Albert Ejupi,Tashreeq Matthews,57,21,66.0,3.0,213,216,Pass accurate,,0.0012463253335954876,0.7644767390103598,4,False,False,False,,,,,
62,Varbergs BoIS FC,Tashreeq Matthews,Simon Karlsson Adjei,75,4,87.0,35.0,217,220,Pass into the box,,,,4,False,False,False,,,,,
63,Varbergs BoIS FC,Tashreeq Matthews,Simon Karlsson Adjei,75,4,87.0,35.0,217,220,Pass accurate,,0.033638572053745486,0.4800012696100897,4,False,False,False,,,,,
64,Varbergs BoIS FC,Tashreeq Matthews,Simon Karlsson Adjei,75,4,87.0,35.0,217,220,Cross accurate,,,0.4800012696100897,4,False,False,False,,,,,
65,Varbergs BoIS FC,Tashreeq Matthews,,66,3,75.0,4.0,213,220,Carry,,0.010588674130308683,,4,False,False,False,,,,,
66,Örebro,Johan Mårtensson,,5,72,,,223,228,Clearance inaccurate,,,,4,False,False,False,,,,,
67,Varbergs BoIS FC,Tashreeq Matthews,,74,10,,,226,231,Lost ball,,,,4,False,False,False,,,,,
68,Varbergs BoIS FC,Joakim Lindner,Tashreeq Matthews,58,9,71.0,9.0,226,229,Pass accurate,,0.007682531712207553,0.5893335556108582,4,False,False,False,,,,,
69,Örebro,Jiloan Mohamed Hamad,David Seger,24,86,26.0,67.0,229,232,Pass accurate,,0.0023456372207593303,0.8913996990780252,4,False,False,False,,,,,
70,Örebro,David Seger,Nahir Besara,28,75,39.0,89.0,231,234,Pass accurate,,-7.891727226244476e-05,0.818822175280189,4,False,False,False,,,,,
71,Örebro,Nahir Besara,Benjamin Hjertstrand,28,71,32.0,22.0,237,240,Pass accurate,,-0.0003338397226723567,0.8363328360891038,4,False,False,False,,,,,
72,Örebro,Nahir Besara,,39,89,28.0,71.0,231,240,Carry,,0.001018763339975205,,4,False,False,False,,,,,
73,Örebro,Benjamin Hjertstrand,,40,18,76.0,39.0,241,244,Pass inaccurate,,,0.40799117801172624,5,False,False,False,,,,,
74,Varbergs BoIS FC,Oliver Stanisic,,24,61,,,242,247,Interception unsuccesful,,,,5,False,False,False,,,,,
75,Varbergs BoIS FC,Oliver Stanisic,,24,61,,,242,247,Challenge successful,,,,5,False,False,False,,,,,
76,Örebro,Rickard Emeka Friday,,74,38,,,244,249,Interception succesful,,,,5,False,False,False,,,,,
77,Örebro,Rickard Emeka Friday,,74,38,,,244,249,Challenge unsuccessful,,,,5,False,False,False,,,,,
78,Örebro,Kevin Adrian Wright,,85,90,,,245,270,Final third entry,,,,5,False,False,False,,,,,
79,Örebro,Rickard Emeka Friday,Nahir Besara,76,36,74.0,62.0,245,248,Pass accurate,,-0.007766341556043922,0.7371582956454986,5,False,False,False,,,,,
80,Varbergs BoIS FC,Joakim Lindner,,22,41,,,247,252,Block unsuccessful,,,,5,False,False,False,,,,,
81,Varbergs BoIS FC,Anton Liljenbäck,,3,16,,,256,261,Block unsuccessful,,,,5,False,False,False,,,,,
82,Örebro,Kevin Adrian Wright,,97,86,100.0,98.0,257,260,Pass inaccurate,,,0.29751928632866304,5,False,False,False,,,,,
83,Örebro,Kevin Adrian Wright,,97,86,100.0,98.0,257,260,Cross inacurate,,,0.29751928632866304,5,False,False,False,,,,,
84,Örebro,Nahir Besara,,100,98,92.0,51.0,280,290,Left corner inaccurate,,,,5,False,False,False,Corner,Cleared,,,
85,Varbergs BoIS FC,Joakim Lindner,,8,49,,,283,288,Clearance accurate,,,,5,False,False,False,,,,,
86,Varbergs BoIS FC,Jean Carlos De Brito,,1,77,,,286,291,Clearance inaccurate,,,,5,False,False,False,,,,,
87,Örebro,Andreas Skovgaard Larsen,,92,14,92.0,14.0,290,293,Pass inaccurate,,,0.26686726690767215,5,False,False,False,Corner,,,,
88,Örebro,Andreas Skovgaard Larsen,,92,14,92.0,14.0,290,293,Cross inacurate,,,0.26686726690767215,5,False,False,False,Corner,,,,
89,Örebro,Andreas Skovgaard Larsen,Kevin Adrian Wright,25,53,27.0,83.0,315,318,Pass accurate,,-0.001571993163333115,0.9013832474930524,6,False,False,False,,,,,
90,Örebro,Kevin Adrian Wright,Bobby Allain,25,87,6.0,56.0,319,322,Pass accurate,,-1.2271900563251906e-05,0.9329228961510794,6,False,False,False,,,,,
91,Örebro,Bobby Allain,Benjamin Hjertstrand,7,53,23.0,9.0,322,325,Pass accurate,,-0.002050933945451276,0.850268052737934,6,False,False,False,,,,,
92,Örebro,Benjamin Hjertstrand,David Seger,27,9,33.0,23.0,326,329,Pass accurate,,0.001348856074303859,0.8105475914288938,6,False,False,False,,,,,
93,Örebro,David Seger,Andreas Skovgaard Larsen,32,33,32.0,69.0,328,331,Pass accurate,,-0.00039776366689430603,0.8592631394074001,6,False,False,False,,,,,
94,Örebro,Andreas Skovgaard Larsen,Jiloan Mohamed Hamad,48,74,69.0,84.0,334,337,Pass accurate,,0.009530167216532277,0.5394747065496187,6,False,False,False,,,,,
95,Örebro,Andreas Skovgaard Larsen,,32,69,48.0,74.0,328,337,Carry,,0.00279023622272135,,6,False,False,False,,,,,
96,Örebro,Jiloan Mohamed Hamad,Nahir Besara,64,71,70.0,65.0,336,339,Pass accurate,,0.004649636065058346,0.7139158991522027,6,False,False,False,,,,,
97,Örebro,Jiloan Mohamed Hamad,,69,84,64.0,71.0,334,339,Carry,,-0.003996005026539164,,6,False,False,False,,,,,
