external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,Victor Edvardsen,Sebastian Olsson,49,51,28.0,65.0,0,2,pass accurate,,-0.0033837711957386135,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,Sebastian Olsson,,29,49,66.0,9.0,2,4,pass inaccurate,,,0.5102472140335969,1,False,False,False,nan,nan,nan,,nan
2,Mjällby AIF,Kadir Hodzic,,34,91,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,Kadir Hodzic,,35,91,,,4,7,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,Kadir Hodzic,,35,91,,,4,7,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,Karl Axel Lindahl,,65,9,,,4,7,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,Karl Axel Lindahl,,65,9,,,4,7,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Mjällby AIF,Jacob Bergström,,35,75,,,8,13,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,Mjällby AIF,Jacob Bergström,,35,75,,,8,13,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,Ferhad Ayaz,Sebastian Olsson,30,77,29.0,60.0,16,18,pass accurate,,0.001571993163333115,0.8766332856334041,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,Sebastian Olsson,Gustav Granath,29,52,30.0,21.0,20,22,pass accurate,,-0.0009659868182927116,0.8994126063080956,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,Gustav Granath,Sean Sabetkar,34,21,18.0,28.0,25,27,pass accurate,,-0.0018172496993384066,0.9362128192446652,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,Sean Sabetkar,Gustav Granath,20,27,30.0,11.0,27,29,pass accurate,,-0.0008108335330067815,0.8357097480518458,1,False,False,False,nan,nan,nan,,nan
13,Mjällby AIF,Jacob Bergström,,67,90,,,28,31,foul,,,,1,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,Jacob Bergström,,67,88,,,29,34,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Mjällby AIF,Jacob Bergström,,67,88,,,29,34,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,Adam Carlén,Gustav Granath,33,14,28.0,12.0,63,65,pass accurate,,-0.001348856074303859,0.792492275031457,2,False,False,False,nan,nan,nan,,nan
17,Degerfors IF,Gustav Granath,Alfie Malik Whiteman,32,13,9.0,52.0,65,67,pass accurate,,-0.0009565333653725021,0.9235220720072669,2,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,Alfie Malik Whiteman,Sean Sabetkar,10,52,11.0,43.0,69,71,pass accurate,,0.0004359818854511345,0.8776311808488472,2,False,False,False,nan,nan,nan,,nan
19,Degerfors IF,Sean Sabetkar,Sebastian Olsson,19,45,19.0,81.0,74,76,pass accurate,,-0.0017525102135143387,0.9269139592722899,2,False,False,False,nan,nan,nan,,nan
20,Degerfors IF,Sebastian Olsson,Victor Edvardsen,22,86,43.0,80.0,77,79,pass accurate,,0.004402064718900771,0.7521389071951518,2,False,False,False,nan,nan,nan,,nan
21,Degerfors IF,Victor Edvardsen,Abdelrahman Saidi,39,84,33.0,77.0,80,82,pass accurate,,-0.0015837992739677984,0.8755027608014301,2,False,False,False,nan,nan,nan,,nan
22,Degerfors IF,Abdelrahman Saidi,Gustav Granath,55,65,57.0,25.0,85,87,pass accurate,,0.000631953165425591,0.7839590403831894,2,False,False,False,nan,nan,nan,,nan
23,Degerfors IF,Abdelrahman Saidi,,33,77,55.0,65.0,80,87,carry,,0.0060369693777139535,,2,False,False,False,nan,nan,nan,,nan
24,Degerfors IF,Gustav Granath,Adam Carlén,68,19,62.0,26.0,91,93,pass accurate,,-0.005200475878853025,0.8101632452622864,2,False,False,False,nan,nan,nan,,nan
25,Degerfors IF,Gustav Granath,,57,25,68.0,19.0,85,93,carry,,0.008204109094417218,,2,False,False,False,nan,nan,nan,,nan
26,Degerfors IF,Adam Carlén,Abdelrahman Saidi,69,33,69.0,69.0,95,97,pass accurate,,-0.0009094621766467248,0.746331051839945,2,False,False,False,nan,nan,nan,,nan
27,Degerfors IF,Adam Carlén,,62,26,69.0,33.0,91,97,carry,,0.005150786963428557,,2,False,False,False,nan,nan,nan,,nan
28,Degerfors IF,Abdelrahman Saidi,Ferhad Ayaz,72,69,75.0,91.0,98,100,pass accurate,,0.0016495700599863591,0.7522530349563911,2,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,Viktor Gustafson,,22,10,,,100,105,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
30,Mjällby AIF,Viktor Gustafson,,22,10,,,100,105,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
31,Degerfors IF,Ferhad Ayaz,Sebastian Olsson,70,91,64.0,80.0,103,105,pass accurate,,-0.0015529266837266097,0.8089581328509553,2,False,False,False,nan,nan,nan,,nan
32,Degerfors IF,Sebastian Olsson,,54,87,,,108,113,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
33,Degerfors IF,Sebastian Olsson,,64,80,54.0,87.0,103,113,carry,,-0.0031887910024506055,,2,False,False,False,nan,nan,nan,,nan
34,Mjällby AIF,Amin Sarr,,44,15,,,109,114,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
35,Mjällby AIF,Amin Sarr,,44,15,,,109,114,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
36,Mjällby AIF,Amin Sarr,,80,13,,,112,122,dribble unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
37,Mjällby AIF,Amin Sarr,,79,14,,,114,119,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
38,Degerfors IF,Adam Carlén,Gustav Granath,27,66,20.0,35.0,122,124,pass accurate,,-0.0008718622639694341,0.9437060330572384,3,False,False,False,nan,nan,nan,,nan
39,Degerfors IF,Gustav Granath,Johan Bertilsson,23,29,30.0,27.0,125,127,pass accurate,,0.0012696259308637402,0.8553620198649995,3,False,False,False,nan,nan,nan,,nan
40,Degerfors IF,Johan Bertilsson,Sebastian Olsson,28,45,21.0,71.0,130,132,pass accurate,,-0.002079284634638138,0.9295458084424533,3,False,False,False,nan,nan,nan,,nan
41,Degerfors IF,Sebastian Olsson,Sean Sabetkar,28,70,26.0,48.0,136,138,pass accurate,,0.0007967997868467257,0.9084596437917314,3,False,False,False,nan,nan,nan,,nan
42,Degerfors IF,Victor Edvardsen,,74,79,,,137,141,offside,,,,3,False,False,False,nan,nan,nan,,nan
43,Degerfors IF,Sean Sabetkar,Sebastian Olsson,27,48,27.0,70.0,137,139,pass accurate,,-0.0007967997868467257,0.9065749355351126,3,False,False,False,nan,nan,nan,,nan
44,Degerfors IF,Sebastian Olsson,Victor Edvardsen,30,69,73.0,78.0,141,143,pass accurate,,0.012320403439253627,0.4668740882221597,3,False,False,False,nan,nan,nan,,nan
45,Mjällby AIF,Carljohan Eriksson,,31,27,79.0,9.0,177,179,pass inaccurate,,,0.3651684380476384,3,False,False,False,nan,nan,nan,,nan
46,Degerfors IF,Sebastian Olsson,,21,91,,,180,185,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
47,Degerfors IF,Sebastian Olsson,,21,91,,,180,185,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
48,Mjällby AIF,Amin Sarr,,93,16,,,180,205,final third entry,,,,4,False,False,False,nan,nan,nan,,nan
49,Mjällby AIF,Viktor Gustafson,,86,3,,,181,186,interception unsuccesful,,,,4,False,False,False,nan,nan,nan,,nan
50,Mjällby AIF,Viktor Gustafson,,86,3,,,181,186,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
51,Degerfors IF,Sebastian Olsson,,11,97,21.0,97.0,182,184,pass inaccurate,,,0.9298060649193113,4,False,False,False,nan,nan,nan,,nan
52,Mjällby AIF,Jacob Bergström,,92,28,,,183,193,penalty box entry unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
53,Degerfors IF,Sebastian Olsson,,1,94,,,185,190,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
54,Mjällby AIF,Viktor Gustafson,,98,6,,,185,190,tackle successful,,,,4,False,False,False,nan,nan,nan,,nan
55,Mjällby AIF,Viktor Gustafson,,98,6,,,185,190,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
56,Mjällby AIF,Viktor Gustafson,Amin Sarr,98,7,92.0,15.0,187,189,pass accurate,,-0.02221332429628154,0.61726987306488,4,False,False,False,nan,nan,nan,,nan
57,Mjällby AIF,Amin Sarr,Jacob Bergström,93,19,91.0,28.0,189,191,pass into the box,,,,4,False,False,False,nan,nan,nan,,nan
58,Mjällby AIF,Amin Sarr,Jacob Bergström,93,19,91.0,28.0,189,191,pass accurate,,0.023853062471061844,0.5555242555735818,4,False,False,False,nan,nan,nan,,nan
59,Mjällby AIF,Amin Sarr,,90,41,,,190,195,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
60,Mjällby AIF,Jacob Bergström,Amin Sarr,92,29,91.0,35.0,190,192,pass accurate,,0.005114791392225787,0.42862043347271067,4,False,False,False,nan,nan,nan,,nan
61,Degerfors IF,Gustav Granath,,11,60,,,191,196,tackle successful,,,,4,False,False,False,nan,nan,nan,,nan
62,Degerfors IF,Gustav Granath,,11,60,,,191,196,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
63,Degerfors IF,Johan Bertilsson,Abdelrahman Saidi,12,60,28.0,91.0,193,195,pass accurate,,-0.0010439236928289127,0.8190205800597634,4,False,False,False,nan,nan,nan,,nan
64,Degerfors IF,Abdelrahman Saidi,,28,91,46.0,92.0,194,196,pass inaccurate,,,0.7215723024261819,4,False,False,False,nan,nan,nan,,nan
65,Mjällby AIF,Max Watson,Carlos Moros Gracia,54,8,36.0,22.0,198,200,pass accurate,,-0.00232192688605699,0.8652598018617352,4,False,False,False,nan,nan,nan,,nan
66,Mjällby AIF,Carlos Moros Gracia,Magnus Wørts,33,31,33.0,65.0,201,203,pass accurate,,-0.00039776366689430603,0.8592631394074001,4,False,False,False,nan,nan,nan,,nan
67,Mjällby AIF,Magnus Wørts,Jesper Gustavsson,31,67,33.0,48.0,206,208,pass accurate,,0.0007967997868467257,0.8430462501865745,4,False,False,False,nan,nan,nan,,nan
68,Mjällby AIF,Jesper Gustavsson,Carljohan Eriksson,33,52,15.0,54.0,206,208,pass accurate,,-0.0019225201836652137,0.9387687164520605,4,False,False,False,nan,nan,nan,,nan
69,Mjällby AIF,Carljohan Eriksson,Jacob Bergström,19,48,57.0,23.0,214,216,pass accurate,,0.0055042480598448025,0.5996166745185927,4,False,False,False,nan,nan,nan,,nan
70,Mjällby AIF,Jacob Bergström,,56,25,,,215,218,air challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
71,Mjällby AIF,Jacob Bergström,,56,25,,,215,218,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
72,Degerfors IF,Sebastian Olsson,,44,75,,,215,218,air challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
73,Degerfors IF,Sebastian Olsson,,44,75,,,215,218,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
74,Mjällby AIF,Jacob Bergström,,55,24,68.0,35.0,216,218,pass inaccurate,,,0.6605055349847266,4,False,False,False,nan,nan,nan,,nan
75,Degerfors IF,Sean Sabetkar,,32,65,,,217,222,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
76,Degerfors IF,Sean Sabetkar,,32,65,,,217,222,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
77,Degerfors IF,Sean Sabetkar,Sebastian Olsson,34,63,33.0,76.0,219,221,pass accurate,,-0.00233193591058576,0.8612316282472083,4,False,False,False,nan,nan,nan,,nan
78,Degerfors IF,Sebastian Olsson,Christos Gravius,34,77,37.0,74.0,221,223,pass accurate,,0.0007481366366179614,0.583271784657756,4,False,False,False,nan,nan,nan,,nan
79,Degerfors IF,Christos Gravius,,38,77,62.0,76.0,222,224,pass inaccurate,,,0.6695429088291086,4,False,False,False,nan,nan,nan,,nan
80,Mjällby AIF,Max Watson,,38,24,,,222,227,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
81,Mjällby AIF,Max Watson,,38,24,,,222,227,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
82,Mjällby AIF,Max Watson,Jesper Gustavsson,42,17,43.0,20.0,224,226,pass accurate,,,0.24000194780236858,4,False,False,False,nan,nan,nan,,nan
83,Mjällby AIF,Jesper Gustavsson,David Löfquist,45,22,59.0,24.0,225,227,pass accurate,,0.005876055374746447,0.7211906036147185,4,False,False,False,nan,nan,nan,,nan
84,Mjällby AIF,David Löfquist,Jesper Gustavsson,58,24,44.0,23.0,225,227,pass accurate,,-0.0025660339383090473,0.8498984412158876,4,False,False,False,nan,nan,nan,,nan
85,Mjällby AIF,Jesper Gustavsson,Elias Andersson,46,27,47.0,48.0,227,229,pass accurate,,0.00027401153327540756,0.7957123073795893,4,False,False,False,nan,nan,nan,,nan
86,Mjällby AIF,Elias Andersson,Kadir Hodzic,55,49,54.0,80.0,230,232,pass accurate,,-0.0015872598815698247,0.8222089879678107,4,False,False,False,nan,nan,nan,,nan
87,Mjällby AIF,Kadir Hodzic,Jesper Gustavsson,52,76,47.0,60.0,232,234,pass accurate,,-0.0008101573935974556,0.8209726835269225,4,False,False,False,nan,nan,nan,,nan
88,Mjällby AIF,Jesper Gustavsson,Magnus Wørts,46,62,38.0,75.0,233,235,pass accurate,,-0.0027398179894835752,0.858985095383194,4,False,False,False,nan,nan,nan,,nan
89,Mjällby AIF,Magnus Wørts,Kadir Hodzic,36,76,55.0,86.0,235,237,pass accurate,,0.003549975383081031,0.7532886636601874,4,False,False,False,nan,nan,nan,,nan
90,Mjällby AIF,Kadir Hodzic,Jesper Gustavsson,48,87,47.0,76.0,237,239,pass accurate,,,0.8215837333948308,4,False,False,False,nan,nan,nan,,nan
91,Mjällby AIF,Jesper Gustavsson,Jacob Bergström,49,78,93.0,86.0,240,242,pass accurate,,0.023066890978386406,0.4387229610022667,5,False,False,False,nan,nan,nan,,nan
92,Mjällby AIF,Jacob Bergström,Kadir Hodzic,97,88,89.0,96.0,245,247,pass accurate,,-0.013485292563502387,0.34313869699009386,5,False,False,False,nan,nan,nan,,nan
93,Mjällby AIF,Kadir Hodzic,Elias Andersson,91,96,80.0,90.0,247,249,pass accurate,,-0.006214435802851855,0.6753090134275376,5,False,False,False,nan,nan,nan,,nan
94,Mjällby AIF,Elias Andersson,,85,96,,,250,255,lost ball,,,,5,False,False,False,nan,nan,nan,,nan
95,Mjällby AIF,Elias Andersson,,80,90,85.0,96.0,247,255,carry,,0.006214435802851855,,5,False,False,False,nan,nan,nan,,nan
96,Degerfors IF,Karl Axel Lindahl,,15,5,,,250,255,tackle successful,,,,5,False,False,False,nan,nan,nan,,nan
97,Degerfors IF,Karl Axel Lindahl,,15,5,,,250,255,challenge unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
98,Degerfors IF,Johan Bertilsson,Adam Carlén,20,2,23.0,15.0,258,260,pass accurate,,0.0012337630734754468,0.8861476925505948,5,False,False,False,nan,nan,nan,,nan
99,Degerfors IF,Adam Carlén,Ferhad Ayaz,30,27,23.0,83.0,262,264,pass accurate,,-0.0027434008876536364,0.9234576263526497,5,False,False,False,nan,nan,nan,,nan
100,Degerfors IF,Ferhad Ayaz,Sebastian Olsson,23,83,20.0,72.0,265,267,pass accurate,,0.0010631523729679182,0.9284525829037868,5,False,False,False,nan,nan,nan,,nan
101,Degerfors IF,Sebastian Olsson,Ferhad Ayaz,19,72,26.0,88.0,266,268,pass accurate,,-0.0010518119330823594,0.8818636053672175,5,False,False,False,nan,nan,nan,,nan
102,Degerfors IF,Ferhad Ayaz,Sebastian Olsson,30,88,26.0,75.0,271,273,pass accurate,,0.0013944507131610114,0.9102484835265364,5,False,False,False,nan,nan,nan,,nan
103,Degerfors IF,Sebastian Olsson,Johan Bertilsson,28,71,36.0,25.0,274,276,pass accurate,,0.001698093408876073,0.8456215351706754,5,False,False,False,nan,nan,nan,,nan
104,Degerfors IF,Johan Bertilsson,Karl Axel Lindahl,33,19,43.0,6.0,279,281,pass accurate,,0.001423500293650775,0.6984061331375365,5,False,False,False,nan,nan,nan,,nan
105,Mjällby AIF,Kadir Hodzic,,62,84,,,279,282,foul,,,,5,False,False,False,nan,nan,nan,,nan
106,Degerfors IF,Christos Gravius,Sebastian Olsson,37,29,35.0,74.0,288,290,pass accurate,,-0.0003060035660030734,0.8510771661966555,5,False,False,False,nan,nan,nan,,nan
107,Degerfors IF,Sebastian Olsson,Abdelrahman Saidi,48,76,61.0,82.0,291,293,pass accurate,,0.005326292093645234,0.7786746468696044,5,False,False,False,nan,nan,nan,,nan
108,Mjällby AIF,Amin Sarr,,93,22,,,291,316,final third entry,,,,5,False,False,False,nan,nan,nan,,nan
109,Mjällby AIF,Amin Sarr,,46,19,,,292,297,interception succesful,,,,5,False,False,False,nan,nan,nan,,nan
110,Mjällby AIF,Amin Sarr,,46,19,,,292,297,challenge unsuccessful,,,,5,False,False,False,nan,nan,nan,,nan
111,Degerfors IF,Abdelrahman Saidi,,62,82,62.0,82.0,292,294,pass inaccurate,,,0.2636887583062913,5,False,False,False,nan,nan,nan,,nan
112,Mjällby AIF,Amin Sarr,,93,24,,,293,303,penalty box entry successful,,,,5,False,False,False,nan,nan,nan,,nan
113,Mjällby AIF,Amin Sarr,Jacob Bergström,94,22,91.0,42.0,300,302,pass accurate,,0.09384211074880996,0.561185947119198,6,False,False,False,nan,nan,nan,,nan
114,Mjällby AIF,Amin Sarr,Jacob Bergström,94,22,91.0,42.0,300,302,cross accurate,,,0.561185947119198,6,False,False,False,nan,nan,nan,,nan
115,Mjällby AIF,Jacob Bergström,Elias Andersson,91,43,96.0,69.0,302,304,pass accurate,,-0.07950702460534526,0.371463010646554,6,False,False,False,nan,nan,nan,,nan
116,Degerfors IF,Gustav Granath,,3,33,,,306,311,interception succesful,,,,6,False,False,False,nan,nan,nan,,nan
