external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,Tashreeq Matthews,Joakim Lindner,51,50,32.0,49.0,0,2,Pass accurate,,-0.0049890352941342146,0.8821105643271655,1,False,False,False,,,,,
1,Varbergs BoIS FC,Simon Karlsson Adjei,,68,77,,,1,5,Offside,,,,1,False,False,False,,,,,
2,Varbergs BoIS FC,Joakim Lindner,Jon Birkfeldt,31,50,33.0,69.0,3,5,Pass accurate,,-0.000632147095620355,0.8456385493327376,1,False,False,False,,,,,
3,Varbergs BoIS FC,Jon Birkfeldt,Philip Mårtensson,31,69,13.0,64.0,4,6,Pass accurate,,-0.0024228298661596124,0.9387687164520605,1,False,False,False,,,,,
4,Varbergs BoIS FC,Philip Mårtensson,,13,62,70.0,79.0,5,7,Pass inaccurate,,,0.49113772348212287,1,False,False,False,,,,,
5,Hammarby,Richard Magyar,,30,21,,,8,11,Air challenge unsuccessful,,,,1,False,False,False,,,,,
6,Hammarby,Richard Magyar,,30,21,,,8,11,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,Varbergs BoIS FC,Simon Karlsson Adjei,,70,79,,,8,11,Air challenge successful,,,,1,False,False,False,,,,,
8,Varbergs BoIS FC,Simon Karlsson Adjei,,70,79,,,8,11,Challenge successful,,,,1,False,False,False,,,,,
9,Hammarby,Richard Magyar,,31,23,,,8,13,Clearance inaccurate,,,,1,False,False,False,,,,,
10,Hammarby,David Ousted,,30,22,71.0,21.0,38,40,Pass inaccurate,,,0.44829456864326644,1,False,False,False,,,,,
11,Varbergs BoIS FC,Jon Birkfeldt,,29,79,,,41,46,Interception succesful,,,,1,False,False,False,,,,,
12,Varbergs BoIS FC,Jon Birkfeldt,,29,79,,,41,46,Challenge unsuccessful,,,,1,False,False,False,,,,,
13,Varbergs BoIS FC,Jon Birkfeldt,,28,79,,,41,44,Air challenge unsuccessful,,,,1,False,False,False,,,,,
14,Varbergs BoIS FC,Jon Birkfeldt,,28,79,,,41,44,Challenge unsuccessful,,,,1,False,False,False,,,,,
15,Hammarby,Astrit Selmani,,72,21,,,41,44,Air challenge successful,,,,1,False,False,False,,,,,
16,Hammarby,Astrit Selmani,,72,21,,,41,44,Challenge successful,,,,1,False,False,False,,,,,
17,Varbergs BoIS FC,Albert Ejupi,Robin Tranberg,30,77,29.0,61.0,43,45,Pass accurate,,0.001571993163333115,0.8766332856334041,1,False,False,False,,,,,
18,Varbergs BoIS FC,Robin Tranberg,,28,65,44.0,76.0,44,46,Pass inaccurate,,,0.7937112275205968,1,False,False,False,,,,,
19,Hammarby,Richard Magyar,,56,24,,,45,50,Clearance inaccurate,,,,1,False,False,False,,,,,
20,Hammarby,Richard Magyar,,56,24,,,45,48,Air challenge unsuccessful,,,,1,False,False,False,,,,,
21,Hammarby,Richard Magyar,,56,24,,,45,48,Challenge unsuccessful,,,,1,False,False,False,,,,,
22,Varbergs BoIS FC,Simon Karlsson Adjei,,44,76,,,45,48,Air challenge successful,,,,1,False,False,False,,,,,
23,Varbergs BoIS FC,Simon Karlsson Adjei,,44,76,,,45,48,Challenge successful,,,,1,False,False,False,,,,,
24,Varbergs BoIS FC,Albert Ejupi,Adama Fofana,48,84,68.0,94.0,51,53,Pass accurate,,0.006879218777371843,0.7291987974347083,1,False,False,False,,,,,
25,Varbergs BoIS FC,Adama Fofana,Jon Birkfeldt,61,94,30.0,91.0,53,55,Pass accurate,,-0.007344616530907344,0.9131175833931032,1,False,False,False,,,,,
26,Varbergs BoIS FC,Adama Fofana,,68,94,61.0,94.0,51,55,Carry,,-0.003925326525479712,,1,False,False,False,,,,,
