external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Robert Gojani,Joseph Stanley Okumu,49,50,29.0,51.0,0,2,Pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,,,,,
1,IF Elfsborg,Joseph Stanley Okumu,,29,49,67.0,24.0,2,4,Pass inaccurate,,,0.5268964692307126,1,False,False,False,,,,,
2,Mjällby AIF,Daan Klinkenberg,,33,76,,,3,8,Clearance inaccurate,,,,1,False,False,False,,,,,
3,IF Elfsborg,Johan Larsson,,81,7,,,5,10,Lost ball,,,,1,False,False,False,,,,,
4,Mjällby AIF,Kadir Hodzic,,12,93,,,7,12,Interception succesful,,,,1,False,False,False,,,,,
5,Mjällby AIF,Kadir Hodzic,,12,93,,,7,12,Challenge unsuccessful,,,,1,False,False,False,,,,,
6,Mjällby AIF,Kadir Hodzic,Daan Klinkenberg,11,96,3.0,87.0,11,13,Pass accurate,,-0.00039541080357516356,0.913268911417079,1,False,False,False,,,,,
7,Mjällby AIF,Daan Klinkenberg,,4,90,36.0,94.0,12,14,Pass inaccurate,,,0.7435089123673607,1,False,False,False,,,,,
8,IF Elfsborg,Frederik Holst,Tim Rönning,64,6,31.0,31.0,18,20,Pass accurate,,-0.005759682719300992,0.8582106272793654,1,False,False,False,,,,,
9,IF Elfsborg,Tim Rönning,Joseph Stanley Okumu,32,27,33.0,40.0,21,23,Pass accurate,,0.0003990361199524197,0.8564638337165353,1,False,False,False,,,,,
10,IF Elfsborg,Joseph Stanley Okumu,Simon Strand,35,50,45.0,87.0,23,25,Pass accurate,,0.00018118444862847208,0.8182506186171269,1,False,False,False,,,,,
11,IF Elfsborg,Simon Strand,Johan Larsson,46,83,69.0,6.0,27,29,Pass accurate,,0.008893418535492074,0.5759150775458273,1,False,False,False,,,,,
12,IF Elfsborg,Johan Larsson,Frederik Holst,73,3,66.0,13.0,32,34,Pass accurate,,-0.0027287035445963045,0.7538509256282356,1,False,False,False,,,,,
13,IF Elfsborg,Frederik Holst,,70,10,88.0,42.0,34,36,Pass into the box,,,,1,False,False,False,,,,,
