external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,Nicklas Bärkroth,Jacob Une Larsson,51,49,32.0,49.0,0,3,Pass accurate,,-0.004984388684059168,0.8821105643271655,1,False,False,False,,,,,
1,Djurgården,Jacob Une Larsson,Haris Radetinac,33,51,69.0,93.0,3,6,Pass accurate,,0.00830349917989293,0.3305323315976698,1,False,False,False,,,,,
2,Djurgården,Haris Radetinac,Nicklas Bärkroth,70,92,78.0,88.0,6,9,Pass accurate,,0.005687958262245885,0.6742101713908794,1,False,False,False,,,,,
3,Degerfors IF,Sean Sabetkar,,18,11,,,8,11,Foul,,,,1,False,False,False,,,,,
4,Degerfors IF,Karl Axel Lindahl,,10,38,,,45,50,Interception unsuccesful,,,,1,False,False,False,,,,,
5,Degerfors IF,Karl Axel Lindahl,,10,38,,,45,50,Challenge successful,,,,1,False,False,False,,,,,
6,Degerfors IF,Erik Lindell,,5,91,,,52,57,Tackle unsuccessful,,,,1,False,False,False,,,,,
7,Degerfors IF,Erik Lindell,,5,91,,,52,57,Challenge successful,,,,1,False,False,False,,,,,
8,Djurgården,Edward Chilufya,Leo Cornic,97,11,97.0,30.0,61,64,Pass into the box,,,,2,False,False,False,,,,,
9,Djurgården,Edward Chilufya,Leo Cornic,97,11,97.0,30.0,61,64,Pass accurate,,-0.003475053217445484,0.37201952445068676,2,False,False,False,,,,,
10,Degerfors IF,Christos Gravius,,6,59,,,62,67,Interception unsuccesful,,,,2,False,False,False,,,,,
11,Degerfors IF,Christos Gravius,,6,59,,,62,67,Challenge successful,,,,2,False,False,False,,,,,
12,Djurgården,Leo Cornic,,97,29,96.0,31.0,63,66,Pass inaccurate,,,0.11625515206591933,2,False,False,False,,,,,
13,Djurgården,Leo Cornic,,97,29,96.0,31.0,63,66,Cross inacurate,,,0.11625515206591933,2,False,False,False,,,,,
14,Degerfors IF,Adam Carlén,,4,69,,,64,69,Block successful,,,,2,False,False,False,,,,,
15,Degerfors IF,Adam Carlén,,4,69,,,64,69,Challenge unsuccessful,,,,2,False,False,False,,,,,
16,Djurgården,Leo Cornic,,96,29,93.0,11.0,65,68,Pass inaccurate,,,0.6652749455057777,2,False,False,False,,,,,
17,Djurgården,Leo Cornic,,96,29,93.0,11.0,65,68,Cross inacurate,,,0.6652749455057777,2,False,False,False,,,,,
18,Djurgården,Leo Cornic,,93,11,,,67,72,Block unsuccessful,,,,2,False,False,False,,,,,
19,Degerfors IF,Abdelrahman Saidi,,4,90,9.0,92.0,68,71,Pass inaccurate,,,0.7176308357369129,2,False,False,False,,,,,
20,Degerfors IF,Karl Axel Lindahl,,9,92,,,86,91,Tackle successful,,,,2,False,False,False,,,,,
21,Degerfors IF,Karl Axel Lindahl,,9,92,,,86,91,Challenge unsuccessful,,,,2,False,False,False,,,,,
22,Djurgården,Hampus Finndell,,86,13,,,88,93,Tackle unsuccessful,,,,2,False,False,False,,,,,
23,Djurgården,Hampus Finndell,,86,13,,,88,93,Challenge successful,,,,2,False,False,False,,,,,
24,Degerfors IF,Karl Axel Lindahl,Nikola Djurdjic,19,67,28.0,51.0,92,95,Pass accurate,,0.001914631943411767,0.8339274228765702,2,False,False,False,,,,,
25,Degerfors IF,Nikola Djurdjic,Sean Sabetkar,29,46,25.0,18.0,94,97,Pass accurate,,-0.0011306395095190824,0.923218264307882,2,False,False,False,,,,,
26,Degerfors IF,Sean Sabetkar,Erik Lindell,27,18,29.0,3.0,98,101,Pass accurate,,-0.001348856074303859,0.8736649840125027,2,False,False,False,,,,,
27,Degerfors IF,Erik Lindell,Sean Sabetkar,33,7,16.0,12.0,100,103,Pass accurate,,-0.00253709897169678,0.9245794695785066,2,False,False,False,,,,,
28,Degerfors IF,Sean Sabetkar,Oliver Ekroth,16,13,10.0,47.0,104,107,Pass accurate,,0.0020159303121323607,0.9041028914397456,2,False,False,False,,,,,
29,Degerfors IF,Oliver Ekroth,Sebastian Ohlsson,14,50,15.0,66.0,107,110,Pass accurate,,-0.0011324567781147536,0.9094623924330689,2,False,False,False,,,,,
30,Degerfors IF,Sebastian Ohlsson,Karl Axel Lindahl,19,69,33.0,95.0,110,113,Pass accurate,,-0.0010518119330823594,0.8066443113855047,2,False,False,False,,,,,
31,Degerfors IF,Karl Axel Lindahl,Sebastian Ohlsson,32,93,21.0,79.0,113,116,Pass accurate,,-1.1340439885558842e-05,0.9296752198709151,2,False,False,False,,,,,
32,Degerfors IF,Sebastian Ohlsson,Erik Lindell,20,70,64.0,6.0,116,119,Pass accurate,,0.0074399312339867105,0.5876782403897922,2,False,False,False,,,,,
33,Degerfors IF,Erik Lindell,,87,8,89.0,40.0,123,126,Pass into the box,,,,3,False,False,False,,,,,
34,Degerfors IF,Erik Lindell,,87,8,89.0,40.0,123,126,Pass inaccurate,,,0.546088244943857,3,False,False,False,,,,,
35,Degerfors IF,Erik Lindell,,87,8,89.0,40.0,123,126,Cross inacurate,,,0.546088244943857,3,False,False,False,,,,,
36,Degerfors IF,Erik Lindell,,64,6,87.0,8.0,116,126,Carry,,0.01659009414867331,,2,False,False,False,,,,,
37,Djurgården,Hjalmar Ekdal,,11,60,,,123,128,Interception succesful,,,,3,False,False,False,,,,,
38,Djurgården,Hjalmar Ekdal,,11,60,,,123,128,Challenge unsuccessful,,,,3,False,False,False,,,,,
39,Degerfors IF,Nikola Djurdjic,,88,41,,,127,130,Foul,,,,3,False,False,False,,,,,
40,Djurgården,Leo Cornic,Jacob Une Larsson,29,14,26.0,34.0,145,148,Pass accurate,,0.0007316033895666627,0.9023108965381528,3,False,False,False,,,,,
41,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,26,38,26.0,61.0,148,151,Pass accurate,,-0.0001646526912263708,0.8961449266024355,3,False,False,False,,,,,
42,Djurgården,Hjalmar Ekdal,Jacob Une Larsson,28,62,32.0,36.0,151,154,Pass accurate,,-0.00023438342872604892,0.853182918846944,3,False,False,False,,,,,
43,Djurgården,Jacob Une Larsson,Magnus Eriksson,31,35,44.0,49.0,154,157,Pass accurate,,0.0030136333845124964,0.7888565062015027,3,False,False,False,,,,,
44,Djurgården,Magnus Eriksson,Jacob Une Larsson,44,49,35.0,35.0,155,158,Pass accurate,,-0.0017133036425307294,0.8808172944384041,3,False,False,False,,,,,
45,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,35,34,36.0,71.0,158,161,Pass accurate,,-0.0003060035660030734,0.8617506639465174,3,False,False,False,,,,,
46,Djurgården,Hjalmar Ekdal,Leo Cornic,37,72,43.0,16.0,160,163,Pass accurate,,0.0009529972714177638,0.8278874722889066,3,False,False,False,,,,,
47,Djurgården,Leo Cornic,Jacob Une Larsson,42,15,32.0,34.0,165,168,Pass accurate,,-0.0019473234473964575,0.8640889729081934,3,False,False,False,,,,,
48,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,29,31,30.0,66.0,168,171,Pass accurate,,-0.00039776366689430603,0.8843888346009241,3,False,False,False,,,,,
49,Djurgården,Hjalmar Ekdal,Elliot Käck,35,66,48.0,91.0,172,175,Pass accurate,,-0.0009593812291700133,0.7759651050112213,3,False,False,False,,,,,
50,Djurgården,Rasmus Schüller,Elliot Käck,57,79,59.0,97.0,178,181,Pass accurate,,0.0008163911606975036,0.8736507958998744,3,False,False,False,,,,,
51,Djurgården,Elliot Käck,,63,95,97.0,55.0,180,183,Pass into the box,,,,4,False,False,False,,,,,
52,Djurgården,Elliot Käck,,63,95,97.0,55.0,180,183,Pass inaccurate,,,0.1940949570297647,4,False,False,False,,,,,
53,Degerfors IF,Alfie Malik Whiteman,Sebastian Ohlsson,3,45,8.0,73.0,186,189,Pass accurate,,-0.0035689402637134916,0.9178987216072533,4,False,False,False,,,,,
54,Degerfors IF,Sebastian Ohlsson,Karl Axel Lindahl,22,68,30.0,93.0,192,195,Pass accurate,,-0.0010518119330823594,0.7238129550592208,4,False,False,False,,,,,
55,Degerfors IF,Sebastian Ohlsson,,8,73,22.0,68.0,186,195,Carry,,0.0029336916384656783,,4,False,False,False,,,,,
56,Degerfors IF,Karl Axel Lindahl,,34,97,36.0,78.0,194,197,Pass inaccurate,,,0.8614678196531999,4,False,False,False,,,,,
57,Djurgården,Nicklas Bärkroth,,64,22,,,195,200,Interception succesful,,,,4,False,False,False,,,,,
58,Djurgården,Nicklas Bärkroth,,64,22,,,195,200,Challenge unsuccessful,,,,4,False,False,False,,,,,
59,Djurgården,Hampus Finndell,Rasmus Schüller,51,3,51.0,21.0,202,205,Pass accurate,,0.0016438067311738483,0.7727127886250919,4,False,False,False,,,,,
60,Djurgården,Rasmus Schüller,Edward Chilufya,51,23,55.0,15.0,203,206,Pass accurate,,,0.7867368489997165,4,False,False,False,,,,,
61,Djurgården,Edward Chilufya,Rasmus Schüller,49,7,45.0,24.0,207,210,Pass accurate,,0.0012554265433123452,0.8354667592006128,4,False,False,False,,,,,
62,Djurgården,Rasmus Schüller,Hjalmar Ekdal,41,18,29.0,52.0,208,211,Pass accurate,,-0.0003132403397486175,0.8856484739049425,4,False,False,False,,,,,
63,Djurgården,Hjalmar Ekdal,Elliot Käck,45,48,42.0,93.0,213,216,Pass accurate,,-0.002978688437703816,0.705289067537976,4,False,False,False,,,,,
64,Djurgården,Hjalmar Ekdal,,29,52,45.0,48.0,208,216,Carry,,0.0027792499557864475,,4,False,False,False,,,,,
65,Djurgården,Elliot Käck,Jacob Une Larsson,53,93,41.0,49.0,220,223,Pass accurate,,-0.0003643805675751892,0.838970236944673,4,False,False,False,,,,,
66,Djurgården,Elliot Käck,,42,93,53.0,93.0,213,223,Carry,,0.0018941870467369792,,4,False,False,False,,,,,
67,Djurgården,Jacob Une Larsson,Leo Cornic,41,44,58.0,13.0,223,226,Pass accurate,,0.0029486059597350345,0.7152104516529568,4,False,False,False,,,,,
68,Djurgården,Leo Cornic,Jacob Une Larsson,57,17,42.0,30.0,227,230,Pass accurate,,-0.001773735534468416,0.8553658981715093,4,False,False,False,,,,,
69,Djurgården,Jacob Une Larsson,Hjalmar Ekdal,41,39,41.0,65.0,229,232,Pass accurate,,-0.0005704252499917767,0.8379492403372374,4,False,False,False,,,,,
70,Djurgården,Hjalmar Ekdal,Elliot Käck,46,61,57.0,92.0,234,237,Pass accurate,,-0.001056875535298648,0.766638466233405,4,False,False,False,,,,,
71,Djurgården,Elliot Käck,Haris Radetinac,69,91,77.0,96.0,238,241,Pass accurate,,0.005687958262245885,0.41792284011711645,4,False,False,False,,,,,
72,Djurgården,Elliot Käck,,57,92,69.0,91.0,234,241,Carry,,0.006608750615073319,,4,False,False,False,,,,,
73,Djurgården,Haris Radetinac,Rasmus Schüller,82,90,72.0,76.0,242,245,Pass accurate,,-0.0023032010985055418,0.7879201903874294,5,False,False,False,,,,,
74,Djurgården,Haris Radetinac,,77,96,82.0,90.0,238,245,Carry,,,,4,False,False,False,,,,,
75,Djurgården,Rasmus Schüller,Leo Cornic,75,70,75.0,35.0,245,248,Pass accurate,,0.0009879286273690169,0.7048570313395417,5,False,False,False,,,,,
76,Djurgården,Rasmus Schüller,,72,76,75.0,70.0,242,248,Carry,,0.008142763395630113,,5,False,False,False,,,,,
77,Djurgården,Leo Cornic,Rasmus Schüller,77,33,78.0,54.0,248,251,Pass accurate,,0.010225382675035498,0.6658622326217007,5,False,False,False,,,,,
78,Djurgården,Rasmus Schüller,Hampus Finndell,78,53,78.0,47.0,249,252,Pass accurate,,-0.0005736788141771712,0.5472124295073191,5,False,False,False,,,,,
79,Djurgården,Hampus Finndell,Hjalmar Ekdal,75,50,70.0,64.0,251,254,Pass accurate,,-0.018702443659515445,0.7785496995393837,5,False,False,False,,,,,
80,Djurgården,Hjalmar Ekdal,Jacob Une Larsson,69,61,56.0,43.0,253,256,Pass accurate,,-0.00790356543530294,0.8185590378066264,5,False,False,False,,,,,
81,Djurgården,Jacob Une Larsson,Leo Cornic,54,38,63.0,11.0,256,259,Pass accurate,,0.00037625791528940467,0.793520170552261,5,False,False,False,,,,,
