external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Henrik Bellman,Noah Sonko Sundberg,51,49,30.0,64.0,0,3,pass accurate,,-0.005781188470905894,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Östersund,Noah Sonko Sundberg,Sebastian Karlsson Grach,29,68,74.0,92.0,2,5,pass accurate,,0.008935646275513284,0.49388742958154963,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,Linus Wahlqvist,Carl Björk,27,2,66.0,19.0,24,27,pass accurate,,0.009903838286013426,0.4234216059601355,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,Carl Björk,,64,23,,,26,31,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
4,Östersund,Noah Sonko Sundberg,,24,78,,,29,34,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,Östersund,Aly Keita,,5,45,55.0,12.0,56,66,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,Aly Keita,,5,45,55.0,12.0,56,66,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,Viktor Agardius,,45,88,,,64,67,foul,,,,2,False,False,False,nan,nan,nan,,nan
8,Östersund,Eirik Haugan,,57,12,96.0,51.0,79,82,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
9,Östersund,Eirik Haugan,,57,12,96.0,51.0,79,82,pass inaccurate,,,0.1618654003361197,2,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,Oscar Jansson,Linus Wahlqvist,4,49,8.0,38.0,87,97,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,Oscar Jansson,Linus Wahlqvist,4,49,8.0,38.0,87,97,goalkeeper kick accurate,,,,2,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,Linus Wahlqvist,Abdulrazaq Ishaq,9,34,24.0,15.0,94,97,pass accurate,,-0.00010586707248804068,0.899780085648412,2,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,Abdulrazaq Ishaq,Linus Wahlqvist,28,15,20.0,26.0,97,100,pass accurate,,-0.0005380225412970775,0.9322187312578878,2,False,False,False,nan,nan,nan,,nan
14,IFK Norrköping FK,Linus Wahlqvist,Marco Lund Nielsen,21,30,25.0,75.0,99,102,pass accurate,,-6.7983803743326e-05,0.8821882641091857,2,False,False,False,nan,nan,nan,,nan
15,IFK Norrköping FK,Marco Lund Nielsen,Viktor Agardius,26,65,34.0,76.0,102,105,pass accurate,,0.0006439532062550383,0.8264868035178973,2,False,False,False,nan,nan,nan,,nan
16,IFK Norrköping FK,Viktor Agardius,Marco Lund Nielsen,35,76,27.0,67.0,106,109,pass accurate,,-0.0006439532062550383,0.9182308498948432,2,False,False,False,nan,nan,nan,,nan
17,IFK Norrköping FK,Marco Lund Nielsen,Linus Wahlqvist,27,63,26.0,32.0,109,112,pass accurate,,0.00039776366689430603,0.924864282663738,2,False,False,False,nan,nan,nan,,nan
18,IFK Norrköping FK,Linus Wahlqvist,Marco Lund Nielsen,25,31,27.0,72.0,112,115,pass accurate,,-0.00039776366689430603,0.8962618743292313,2,False,False,False,nan,nan,nan,,nan
19,IFK Norrköping FK,Marco Lund Nielsen,Viktor Agardius,31,65,40.0,78.0,115,118,pass accurate,,0.0006439532062550383,0.8057091075624093,2,False,False,False,nan,nan,nan,,nan
