external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,home,Nahir Besara,Andreas Skovgaard Larsen,50,51,28.0,51.0,0,3,pass accurate,,-0.005153687985360585,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,Örebro,home,Andreas Skovgaard Larsen,,27,51,77.0,13.0,2,5,pass inaccurate,,,0.5098345927450951,1,False,False,False,nan,nan,nan,,nan
2,Örebro,home,Martin Broberg,,77,13,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
3,Örebro,home,Martin Broberg,,77,13,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,away,Adam Carlén,,23,87,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,away,Adam Carlén,,23,87,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Örebro,home,Daniel Björnkvist,Jiloan Mohamed Hamad,85,1,86.0,13.0,13,16,pass accurate,,0.001997570461074384,0.6596738507568076,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,away,Karl Axel Lindahl,,5,93,,,14,19,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
8,Örebro,home,Jiloan Mohamed Hamad,Daniel Björnkvist,88,11,93.0,5.0,15,18,pass accurate,,0.02599741386060056,0.6604460944021711,1,False,False,False,nan,nan,nan,,nan
9,Örebro,home,Daniel Björnkvist,,94,5,90.0,1.0,15,18,pass inaccurate,,,0.7426484528691082,1,False,False,False,nan,nan,nan,,nan
10,Örebro,home,Benjamin Hjertstrand,,90,1,73.0,35.0,52,55,pass inaccurate,,,0.6365001848347906,1,False,False,False,nan,nan,nan,,nan
11,Örebro,home,Jiloan Mohamed Hamad,Nahir Besara,73,35,71.0,63.0,56,59,pass accurate,,-0.0009094621766467248,0.7785214955688564,1,False,False,False,nan,nan,nan,,nan
12,Örebro,home,Nahir Besara,,71,64,87.0,43.0,58,61,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
13,Örebro,home,Nahir Besara,,71,64,87.0,43.0,58,61,pass inaccurate,,,0.5480791453389726,1,False,False,False,nan,nan,nan,,nan
14,Degerfors IF,away,Sebastian Ohlsson,,13,57,26.0,61.0,58,61,pass inaccurate,,,0.8504925406755703,1,False,False,False,nan,nan,nan,,nan
15,Degerfors IF,away,Abdelrahman Saidi,,26,61,,,60,63,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,away,Abdelrahman Saidi,,26,61,,,60,63,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
17,Örebro,home,Jiloan Mohamed Hamad,,74,39,,,60,63,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
18,Örebro,home,Jiloan Mohamed Hamad,,74,39,,,60,63,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
19,Örebro,home,Nasiru Moro,Benjamin Hjertstrand,68,31,69.0,19.0,63,66,pass accurate,,4.968891542446799e-05,0.7739554111105621,2,False,False,False,nan,nan,nan,,nan
20,Örebro,home,Benjamin Hjertstrand,Jiloan Mohamed Hamad,68,15,95.0,16.0,65,68,pass accurate,,0.012598444529343625,0.43390216604538784,2,False,False,False,nan,nan,nan,,nan
21,Degerfors IF,away,Sebastian Ohlsson,Abdelrahman Saidi,4,87,26.0,72.0,85,88,pass accurate,,0.0051268258327278535,0.8424858637469863,2,False,False,False,nan,nan,nan,,nan
22,Degerfors IF,away,Abdelrahman Saidi,Sebastian Ohlsson,24,71,19.0,72.0,91,94,pass accurate,,,0.8422487318063996,2,False,False,False,nan,nan,nan,,nan
23,Degerfors IF,away,Sebastian Ohlsson,Abdelrahman Saidi,21,74,27.0,73.0,92,95,pass accurate,,0.0012824848477914121,0.8599206139547633,2,False,False,False,nan,nan,nan,,nan
24,Degerfors IF,away,Abdelrahman Saidi,Alfie Malik Whiteman,26,73,9.0,49.0,93,96,pass accurate,,-0.0008543912025937243,0.9367047846084846,2,False,False,False,nan,nan,nan,,nan
25,Degerfors IF,away,Alfie Malik Whiteman,Sean Sabetkar,11,36,27.0,18.0,96,99,pass accurate,,0.0013295820450914438,0.8642662722414024,2,False,False,False,nan,nan,nan,,nan
26,Degerfors IF,away,Sean Sabetkar,Nikola Djurdjic,30,14,46.0,20.0,101,104,pass accurate,,0.00267892683696312,0.6758131235461626,2,False,False,False,nan,nan,nan,,nan
27,Degerfors IF,away,Nikola Djurdjic,Adam Carlén,37,22,43.0,21.0,105,108,pass accurate,,0.001399699678921791,0.8112478276734797,2,False,False,False,nan,nan,nan,,nan
28,Degerfors IF,away,Adam Carlén,Abdelrahman Saidi,56,23,58.0,57.0,107,110,pass accurate,,0.0008747140283811294,0.7490522126052225,2,False,False,False,nan,nan,nan,,nan
29,Degerfors IF,away,Adam Carlén,,43,21,56.0,23.0,105,110,carry,,0.0025660339383090473,,2,False,False,False,nan,nan,nan,,nan
30,Örebro,home,Martin Broberg,,38,45,,,109,112,foul,,,,2,False,False,False,nan,nan,nan,,nan
31,Degerfors IF,away,Abdelrahman Saidi,,88,55,,,326,336,penalty box entry successful,,,,6,False,False,False,nan,nan,nan,,nan
32,Degerfors IF,away,Christos Gravius,Oliver Ekroth,71,58,90.0,75.0,331,334,pass into the box,,,,6,False,False,False,free-kick,nan,nan,,nan
33,Degerfors IF,away,Christos Gravius,Oliver Ekroth,71,58,90.0,75.0,331,334,pass accurate,,0.008345213038760652,0.5893097142209978,6,False,False,False,free-kick,nan,nan,,nan
34,Degerfors IF,away,Oliver Ekroth,Abdelrahman Saidi,90,73,88.0,59.0,334,337,pass accurate,,0.06501306324938755,0.5836479105152834,6,False,False,False,free-kick,nan,nan,,nan
35,Degerfors IF,away,Abdelrahman Saidi,Victor Edvardsen,89,56,92.0,50.0,335,338,pass accurate,,0.1289826382032664,0.45528763587886484,6,False,False,False,free-kick,nan,nan,,nan
36,Degerfors IF,away,Victor Edvardsen,Christos Gravius,90,50,76.0,49.0,336,339,pass accurate,,-0.08083691168551342,0.7119680903979035,6,False,False,False,free-kick,nan,nan,,nan
37,Degerfors IF,away,Victor Edvardsen,Christos Gravius,90,50,76.0,49.0,336,339,key pass,,,0.7119680903979035,6,False,False,False,free-kick,nan,nan,,nan
38,Degerfors IF,away,Christos Gravius,,76,55,,,338,341,wide shot,0.025981153327419224,,,6,False,False,False,free-kick,nan,nan,True,nan
39,Örebro,home,Bobby Allain,,24,45,,,338,341,goalkeeper wide shot,,,,6,False,False,False,nan,nan,nan,,nan
40,Degerfors IF,away,Christos Gravius,,76,55,,,338,341,shot,0.025981153327419224,,,6,False,False,False,free-kick,nan,left foot,True,nan
41,Örebro,home,Bobby Allain,Benjamin Hjertstrand,6,47,47.0,79.0,359,369,pass accurate,,,,6,False,False,False,nan,nan,nan,,nan
42,Örebro,home,Bobby Allain,Benjamin Hjertstrand,6,47,47.0,79.0,359,369,goal kick,,,,6,False,False,False,nan,nan,nan,,nan
43,Örebro,home,Bobby Allain,,5,51,49.0,83.0,362,365,pass inaccurate,,,0.6126058078476935,7,False,False,False,nan,nan,nan,,nan
44,Degerfors IF,away,Adam Carlén,,51,17,,,365,368,air challenge successful,,,,7,False,False,False,nan,nan,nan,,nan
45,Degerfors IF,away,Adam Carlén,,51,17,,,365,368,challenge successful,,,,7,False,False,False,nan,nan,nan,,nan
46,Örebro,home,Benjamin Hjertstrand,,49,83,,,365,368,air challenge unsuccessful,,,,7,False,False,False,nan,nan,nan,,nan
47,Örebro,home,Benjamin Hjertstrand,,49,83,,,365,368,challenge unsuccessful,,,,7,False,False,False,nan,nan,nan,,nan
48,Örebro,home,Nahir Besara,Johan Mårtensson,60,100,57.0,85.0,372,375,pass accurate,,-0.0008163911606975036,0.832286614099322,7,False,False,False,nan,nan,nan,,nan
49,Örebro,home,Johan Mårtensson,Rickard Emeka Friday,57,86,89.0,90.0,374,377,pass accurate,,0.016644111751274955,0.4648292997285841,7,False,False,False,nan,nan,nan,,nan
50,Degerfors IF,away,Sean Sabetkar,Adam Carlén,8,27,23.0,29.0,380,383,pass accurate,,0.0018939134252586205,0.8949564486197686,7,False,False,False,nan,nan,nan,,nan
51,Degerfors IF,away,Adam Carlén,,24,26,29.0,1.0,383,386,pass inaccurate,,,0.9100545747215057,7,False,False,False,nan,nan,nan,,nan
52,Örebro,home,Nahir Besara,Johan Mårtensson,71,99,65.0,84.0,395,398,pass accurate,,-0.0015529266837266097,0.7216409805329091,7,False,False,False,nan,nan,nan,,nan
53,Örebro,home,Johan Mårtensson,Benjamin Hjertstrand,68,85,90.0,93.0,396,399,pass accurate,,0.008517636901357397,0.38677443445573767,7,False,False,False,nan,nan,nan,,nan
54,Örebro,home,Benjamin Hjertstrand,,90,94,97.0,45.0,399,402,pass into the box,,,,7,False,False,False,nan,nan,nan,,nan
55,Örebro,home,Benjamin Hjertstrand,,90,94,97.0,45.0,399,402,pass inaccurate,,,0.19347095586879093,7,False,False,False,nan,nan,nan,,nan
56,Örebro,home,Benjamin Hjertstrand,,90,94,97.0,45.0,399,402,cross inacurate,,,0.19347095586879093,7,False,False,False,nan,nan,nan,,nan
57,Degerfors IF,away,Alfie Malik Whiteman,Sebastian Ohlsson,3,55,12.0,72.0,411,414,pass accurate,,-0.0014707118978836003,0.9178987216072533,7,False,False,False,nan,nan,nan,,nan
58,Degerfors IF,away,Sebastian Ohlsson,Abdelrahman Saidi,20,83,31.0,87.0,416,419,pass accurate,,0.0014057911530465702,0.8092140873035545,7,False,False,False,nan,nan,nan,,nan
59,Degerfors IF,away,Abdelrahman Saidi,Christos Gravius,29,85,28.0,70.0,417,420,pass accurate,,0.0009398460677127601,0.889698706920139,7,False,False,False,nan,nan,nan,,nan
60,Degerfors IF,away,Christos Gravius,Sebastian Ohlsson,27,81,15.0,90.0,419,422,pass accurate,,-0.0037915689614399298,0.9445725216436626,7,False,False,False,nan,nan,nan,,nan
61,Degerfors IF,away,Sebastian Ohlsson,Alfie Malik Whiteman,11,92,5.0,59.0,422,425,pass accurate,,0.003779297060876678,0.9194184913950009,8,False,False,False,nan,nan,nan,,nan
62,Degerfors IF,away,Alfie Malik Whiteman,,6,61,47.0,75.0,424,427,pass inaccurate,,,0.6126058078476935,8,False,False,False,nan,nan,nan,,nan
63,Örebro,home,Nasiru Moro,,53,25,86.0,24.0,426,429,pass into the box,,,,8,False,False,False,nan,nan,nan,,nan
64,Örebro,home,Nasiru Moro,,53,25,86.0,24.0,426,429,pass inaccurate,,,0.5048600937954021,8,False,False,False,nan,nan,nan,,nan
65,Degerfors IF,away,Sebastian Ohlsson,Alfie Malik Whiteman,14,76,5.0,56.0,430,433,pass accurate,,0.002437058271453756,0.9156814003310401,8,False,False,False,nan,nan,nan,,nan
66,Degerfors IF,away,Sebastian Ohlsson,Oliver Ekroth,21,77,12.0,39.0,439,442,pass accurate,,0.001491246018165606,0.9273855092903052,8,False,False,False,nan,nan,nan,,nan
