external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Sotirios Papagiannopoulos,49,51,31.0,60.0,0,3,Pass accurate,,-0.0027516241001182586,0.887672738937848,1,False,False,False,,,,,
1,AIK,Sotirios Papagiannopoulos,,30,58,67.0,5.0,3,6,Pass inaccurate,,,0.6568755772417426,1,False,False,False,,,,,
2,Varbergs BoIS FC,Anton Liljenbäck,,33,95,,,5,10,Clearance inaccurate,,,,1,False,False,False,,,,,
3,AIK,Sotirios Papagiannopoulos,Nicolas Stefanelli,43,47,65.0,34.0,8,11,Pass accurate,,0.0053213126395841755,0.6931991223818323,1,False,False,False,,,,,
4,AIK,Nicolas Stefanelli,Erik Ring,67,42,66.0,65.0,10,13,Pass accurate,,-0.005598807732970987,0.8022338962927189,1,False,False,False,,,,,
5,AIK,Nicolas Stefanelli,,65,34,67.0,42.0,8,13,Carry,,0.005190496454694472,,1,False,False,False,,,,,
6,AIK,Nicolas Stefanelli,,69,40,,,10,13,Air challenge unsuccessful,,,,1,False,False,False,,,,,
7,AIK,Nicolas Stefanelli,,69,40,,,10,13,Challenge unsuccessful,,,,1,False,False,False,,,,,
8,Varbergs BoIS FC,Oliver Stanisic,,36,67,,,10,13,Air challenge successful,,,,1,False,False,False,,,,,
9,Varbergs BoIS FC,Oliver Stanisic,,36,67,,,10,13,Challenge successful,,,,1,False,False,False,,,,,
10,AIK,Mikael Lustig,,70,54,,,11,21,Dribble unsuccessful,,,,1,False,False,False,,,,,
11,AIK,Erik Ring,,73,40,,,11,16,Lost ball,,,,1,False,False,False,,,,,
12,Varbergs BoIS FC,Robin Tranberg,,25,65,,,12,17,Tackle successful,,,,1,False,False,False,,,,,
13,Varbergs BoIS FC,Robin Tranberg,,25,65,,,12,17,Challenge unsuccessful,,,,1,False,False,False,,,,,
14,Varbergs BoIS FC,Tashreeq Matthews,Robin Tranberg,41,84,29.0,71.0,15,18,Pass accurate,,-0.0006439532062550383,0.8973107490925579,1,False,False,False,,,,,
15,Varbergs BoIS FC,Robin Tranberg,,32,70,74.0,99.0,16,19,Pass inaccurate,,,0.09684791476190126,1,False,False,False,,,,,
16,AIK,Mikael Lustig,Sebastian Larsson,26,1,33.0,21.0,32,35,Pass accurate,,0.001348856074303859,0.7692079428112725,1,False,False,False,,,,,
17,AIK,Sebastian Larsson,Mikael Lustig,29,21,27.0,6.0,34,37,Pass accurate,,-0.001348856074303859,0.8330342323224295,1,False,False,False,,,,,
18,AIK,Mikael Lustig,,30,5,44.0,7.0,36,39,Pass inaccurate,,,0.7791315849001058,1,False,False,False,,,,,
19,Varbergs BoIS FC,Anton Liljenbäck,,56,93,,,36,41,Interception unsuccesful,,,,1,False,False,False,,,,,
20,Varbergs BoIS FC,Anton Liljenbäck,,56,93,,,36,41,Challenge successful,,,,1,False,False,False,,,,,
21,AIK,Sebastian Larsson,,32,18,82.0,69.0,38,41,Pass inaccurate,,,0.44309976624155306,1,False,False,False,,,,,
22,Varbergs BoIS FC,Philip Mårtensson,,18,31,57.0,43.0,224,234,Pass inaccurate,,,,4,False,False,False,,,,,
23,Varbergs BoIS FC,Philip Mårtensson,,18,31,57.0,43.0,224,234,Goalkeeper kick inaccurate,,,,4,False,False,False,,,,,
24,AIK,Bilal Hussein,,43,57,,,229,234,Interception succesful,,,,4,False,False,False,,,,,
25,AIK,Bilal Hussein,,43,57,,,229,234,Challenge unsuccessful,,,,4,False,False,False,,,,,
26,AIK,Bilal Hussein,Erick Ouma Otieno,38,62,21.0,90.0,230,233,Pass accurate,,-0.005404630068916155,0.9359470898992676,4,False,False,False,,,,,
27,AIK,Erick Ouma Otieno,,18,84,59.0,93.0,234,237,Pass inaccurate,,,0.36383351324754326,4,False,False,False,,,,,
28,Varbergs BoIS FC,Joakim Lindner,Philip Mårtensson,41,7,20.0,35.0,237,240,Pass accurate,,-0.000635486917737375,0.923554521471857,4,False,False,False,,,,,
29,Varbergs BoIS FC,Philip Mårtensson,,19,32,67.0,25.0,241,244,Pass inaccurate,,,0.4905557079076012,5,False,False,False,,,,,
30,AIK,Erick Ouma Otieno,,33,75,,,243,248,Clearance inaccurate,,,,5,False,False,False,,,,,
31,AIK,Erick Ouma Otieno,,37,69,,,245,248,Air challenge unsuccessful,,,,5,False,False,False,,,,,
32,AIK,Erick Ouma Otieno,,37,69,,,245,248,Challenge unsuccessful,,,,5,False,False,False,,,,,
