wk,date,time,home,homegoals,away,awaygoals,home_xg,away_xg
1,2021-04-10,15:00,Malmö FF,3,Hammarby,2,3.0819733222768444,0.2848900694540439
1,2021-04-10,17:30,Örebro,0,IFK Göteborg,0,0.6300454908258901,0.7478706760737807
1,2021-04-11,15:00,Halmstad,1,BK Häcken,0,1.0149297184019517,0.40516252378402107
1,2021-04-11,15:00,Mjällby AIF,0,Varbergs BoIS FC,0,1.5171949188173208,0.707990064187581
1,2021-04-11,17:30,IF Elfsborg,0,Djurgården,2,0.8415268512447263,0.22113240549860225
1,2021-04-11,17:30,IFK Norrköping FK,1,IK Sirius FK,1,0.9474082605562633,0.3640166732323988
1,2021-04-12,19:00,AIK,2,Degerfors IF,0,2.342981574521301,0.29991589573243754
1,2021-04-12,19:00,Kalmar FF,0,Östersund,0,0.8110204188330632,0.15650596776963233
2,2021-04-17,15:00,Hammarby,2,Mjällby AIF,0,1.5513204944962147,1.2145439389444708
2,2021-04-18,15:00,Degerfors IF,0,Kalmar FF,1,0.09889455428456596,2.133273017001609
2,2021-04-18,15:00,Östersund,5,Örebro,0,1.3906399724663407,1.0174341736383528
2,2021-04-18,15:00,BK Häcken,1,Malmö FF,2,0.9841613323335144,1.1640761370034969
2,2021-04-18,17:30,Djurgården,1,IFK Norrköping FK,0,2.1489994774316274,1.0219994986030851
2,2021-04-18,17:30,IK Sirius FK,1,Halmstad,0,1.288969217093204,0.6777815107489574
2,2021-04-19,19:00,IFK Göteborg,2,AIK,0,3.1571514300209915,1.5330736166656873
2,2021-04-19,19:00,Varbergs BoIS FC,1,IF Elfsborg,3,1.8061877505668735,1.4314132991904074
3,2021-04-24,15:00,BK Häcken,1,IK Sirius FK,2,2.6278893628771898,0.6694471048277487
3,2021-04-25,15:00,IFK Norrköping FK,2,Halmstad,1,1.3404369476632183,1.0557244789350155
3,2021-04-25,15:00,Varbergs BoIS FC,1,Djurgården,3,0.8863503046970699,1.2047419067978402
3,2021-04-25,15:00,Kalmar FF,1,Örebro,0,0.5986928623889406,0.2860094680767359
3,2021-04-25,17:30,AIK,2,Hammarby,0,1.6937857534317082,0.5490606607456895
3,2021-04-25,17:30,Malmö FF,1,Östersund,1,4.019792639453569,0.5878114905454781
3,2021-04-26,18:30,IF Elfsborg,1,Mjällby AIF,0,1.8086850567923256,0.5811598320756453
3,2021-04-26,18:30,IFK Göteborg,2,Degerfors IF,3,1.3072544759082356,0.6189646909229132
4,2021-05-01,15:00,IK Sirius FK,1,Kalmar FF,1,0.473738044712018,1.2438458615483943
4,2021-05-01,17:30,Hammarby,1,BK Häcken,1,0.9984543815901029,1.6005245212828423
4,2021-05-02,15:00,Östersund,1,Varbergs BoIS FC,2,1.0641980940176714,1.3063144875118327
4,2021-05-02,15:00,Halmstad,1,IFK Göteborg,1,1.7712153208573875,0.8723643756317384
4,2021-05-02,15:00,Örebro,0,IFK Norrköping FK,3,0.6106088663006557,3.5088224774639967
4,2021-05-02,17:30,AIK,1,IF Elfsborg,0,1.6497831255111801,0.9085681826277324
4,2021-05-03,18:30,Mjällby AIF,1,Degerfors IF,0,3.183989591976858,0.33860765153254246
4,2021-05-03,18:30,Djurgården,3,Malmö FF,1,1.67551847664675,0.4586319599998179
5,2021-05-08,15:00,IFK Göteborg,1,BK Häcken,1,1.4803579195950878,1.1370424325450466
5,2021-05-08,15:00,Hammarby,3,IK Sirius FK,2,3.1245997525762697,0.9069283732285605
5,2021-05-08,17:30,Örebro,1,Halmstad,0,1.2488337284968307,0.6011047970117014
5,2021-05-08,17:30,IF Elfsborg,2,Kalmar FF,2,2.467594348694711,0.7834070635713896
5,2021-05-09,15:00,Degerfors IF,2,Djurgården,0,1.131481415159455,1.3478962353945922
5,2021-05-09,15:00,Mjällby AIF,1,Östersund,0,1.9723130158766666,0.8857116948826742
5,2021-05-09,17:30,Malmö FF,3,Varbergs BoIS FC,2,2.3076266642638004,0.5908653694065892
5,2021-05-10,18:30,IFK Norrköping FK,2,AIK,0,0.9429331409348719,1.827355871620993
6,2021-05-12,18:30,Kalmar FF,0,IFK Göteborg,0,0.3915605748668271,0.2988855778565251
6,2021-05-12,18:30,Varbergs BoIS FC,1,Hammarby,3,1.9856816770493102,1.554976225267822
6,2021-05-12,18:30,Djurgården,2,Östersund,0,3.2059700646244966,0.2286811816203635
6,2021-05-12,18:30,BK Häcken,2,Örebro,3,3.13602239781232,0.9463298314540991
6,2021-05-12,18:30,IK Sirius FK,0,IF Elfsborg,2,0.7960855138000063,1.183088146666724
6,2021-05-13,17:00,Halmstad,1,Mjällby AIF,1,2.057692896178638,2.805801297515154
6,2021-05-13,18:30,IFK Norrköping FK,1,Degerfors IF,1,2.0880167519365624,0.4498391585096393
6,2021-05-13,18:30,AIK,1,Malmö FF,1,0.6682346420355514,0.6962761236862284
7,2021-05-16,17:30,Hammarby,2,Djurgården,2,1.3973614615324843,1.0406619743448084
7,2021-05-17,18:30,Östersund,1,AIK,2,0.4197403686891397,1.0522634900105474
7,2021-05-17,18:30,IFK Göteborg,2,IK Sirius FK,2,2.355034531241396,0.8925911885926298
7,2021-05-17,18:30,IF Elfsborg,2,Halmstad,3,1.6870931260804543,0.8293190361747802
7,2021-05-17,18:30,Mjällby AIF,1,BK Häcken,1,1.2998407881155454,1.2529322817636428
7,2021-05-17,18:30,Varbergs BoIS FC,2,IFK Norrköping FK,1,1.7870559451152181,0.6755393999060684
7,2021-05-17,18:30,Malmö FF,3,Kalmar FF,1,3.2894241612876045,0.42957559476068885
7,2021-05-18,18:30,Degerfors IF,3,Örebro,0,2.2630292660373517,1.7316098970318563
8,2021-05-22,15:00,AIK,2,Mjällby AIF,2,2.2152699879482713,0.919704560597633
8,2021-05-22,17:30,Östersund,3,IK Sirius FK,0,1.1322453901745917,0.5010421640528396
8,2021-05-23,15:00,Kalmar FF,2,Hammarby,1,1.948054201464179,1.6573033227258982
8,2021-05-23,15:00,Halmstad,0,Degerfors IF,0,0.0,0.0
8,2021-05-23,17:30,BK Häcken,3,Varbergs BoIS FC,1,6.0369235009702145,1.1019570527657054
8,2021-05-23,17:30,Djurgården,0,IFK Göteborg,0,0.8521260728680463,0.8867597355151461
8,2021-05-24,18:30,IF Elfsborg,1,IFK Norrköping FK,0,0.8384636935479075,0.30722413263893533
8,2021-05-24,18:30,Örebro,1,Malmö FF,2,0.7256893946290214,1.4859865818237596
9,2021-07-03,15:00,IFK Norrköping FK,3,Malmö FF,2,0.8884342855419651,2.0447704275239116
9,2021-07-03,17:30,Degerfors IF,3,Östersund,1,1.9584315797898348,1.929054282190839
9,2021-07-04,15:00,Varbergs BoIS FC,1,Kalmar FF,1,0.8701036871229819,1.3426675208269452
9,2021-07-04,15:00,BK Häcken,2,AIK,1,1.8151270980547036,1.0974760449765797
9,2021-07-04,17:30,IK Sirius FK,2,Mjällby AIF,1,1.3027913475284931,1.7737099375662
9,2021-07-04,17:30,Hammarby,1,Halmstad,1,1.3404347777087273,0.6243641101157761
9,2021-07-05,19:00,Djurgården,3,Örebro,0,3.438898414092724,0.7245214708674488
9,2021-07-05,19:00,IFK Göteborg,0,IF Elfsborg,1,1.2116642744342199,0.6727206173395359
10,2021-07-10,15:00,Malmö FF,4,IK Sirius FK,0,3.7547167983932397,0.5556576344090053
10,2021-07-10,17:30,AIK,2,Varbergs BoIS FC,1,1.8606545647546888,0.3971387404641556
10,2021-07-11,15:00,Hammarby,5,Degerfors IF,1,3.5459044131070585,0.836312567862419
10,2021-07-11,15:00,Mjällby AIF,0,IFK Norrköping FK,1,1.1095893188693575,1.028586960245965
