squad,player,nation,pos,age,mp_playing_time,starts_playing_time,min_playing_time,mins_per_90_playing_time,gls,ast,g_minus_pk,pk,pkatt,crdy,crdr,gls_per_minutes,ast_per_minutes,g+a_per_minutes,g_minus_pk_per_minutes,g+a_minus_pk_per_minutes
Malmö,Anel Ahmedhodzic,BIH,DF,21.0,25,25,2250.0,25.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.04,0.08,0.04,0.08
Malmö,Antonio Čolak,CRO,FW,27.0,26,24,2123.0,23.6,14.0,4.0,12.0,2.0,3.0,3.0,0.0,0.59,0.17,0.76,0.51,0.68
Malmö,Veljko Birmančević,SRB,"MF,FW",22.0,28,23,1958.0,21.8,9.0,2.0,9.0,0.0,0.0,2.0,0.0,0.41,0.09,0.51,0.41,0.51
Malmö,Jo Inge Berget,NOR,"MF,FW",30.0,27,22,2012.0,22.4,5.0,7.0,4.0,1.0,1.0,3.0,0.0,0.22,0.31,0.54,0.18,0.49
Malmö,Johan Dahlin,SWE,GK,34.0,19,19,1665.0,18.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Franz Brorsson,SWE,DF,25.0,24,18,1629.0,18.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Anders Christiansen,DEN,MF,30.0,22,18,1481.0,16.5,6.0,9.0,4.0,2.0,2.0,4.0,0.0,0.36,0.55,0.91,0.24,0.79
Malmö,Eric Larsson,SWE,"DF,MF",29.0,23,17,1634.0,18.2,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.33,0.33,0.0,0.33
Malmö,Lasse Nielsen,DEN,DF,33.0,20,16,1484.0,16.5,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12
Malmö,Adi Nalic,BIH,"MF,FW",23.0,29,15,1575.0,17.5,7.0,3.0,7.0,0.0,0.0,5.0,0.0,0.4,0.17,0.57,0.4,0.57
Malmö,Erdal Rakip,MKD,MF,24.0,25,15,1539.0,17.1,2.0,2.0,2.0,0.0,0.0,6.0,0.0,0.12,0.12,0.23,0.12,0.23
Malmö,Bonke Innocent,NGA,MF,25.0,17,15,1210.0,13.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Søren Rieks,DEN,MF,33.0,18,14,1107.0,12.3,6.0,1.0,6.0,0.0,0.0,3.0,0.0,0.49,0.08,0.57,0.49,0.57
Malmö,Jonas Knudsen,DEN,DF,28.0,12,12,1039.0,11.5,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.09,0.17,0.09,0.17
Malmö,Felix Beijmo,SWE,DF,23.0,14,11,978.0,10.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09
Malmö,Martin Olsson,SWE,"DF,MF",32.0,13,10,863.0,9.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1
Malmö,Marko Johansson,SWE,GK,22.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Oscar Lewicki,SWE,MF,28.0,11,8,605.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Sergio Peña,PER,MF,25.0,9,7,582.0,6.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Ola Toivonen,SWE,"MF,FW",34.0,8,7,510.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Niklas Moisander,FIN,DF,35.0,9,6,609.0,6.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Sebastian Nanasi,SWE,"MF,FW",18.0,13,6,590.0,6.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15
Malmö,Malik Abubakari,GHA,FW,20.0,15,5,543.0,6.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,0.5,0.17,0.66,0.5,0.66
Malmö,Pavle Vagić,SWE,MF,21.0,7,5,490.0,5.4,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.18,0.18,0.0,0.18
Malmö,Ismael Diawara,MLI,GK,26.0,3,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Peter Gwargis,SWE,MF,20.0,5,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Malmö,Amin Sarr,SWE,FW,19.0,3,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Noah Eile,SWE,DF,18.0,3,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Markus Björkvist,SWE,MF,17.0,4,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malmö,Emil Lindman,SWE,DF,17.0,0,0,,,,,,,,,,,,,,
Malmö,Mattias Nilsson,SWE,GK,21.0,0,0,,,,,,,,,,,,,,
Malmö,Patriot Sejdiu,KVX,FW,20.0,0,0,,,,,,,,,,,,,,
AIK Stockholm,Bilal Hussein,SWE,MF,20.0,30,30,2636.0,29.3,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.07,0.03,0.07
AIK Stockholm,Sotirios Papagiannopoulos,SWE,DF,30.0,29,29,2594.0,28.8,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.07,0.0,0.07,0.07,0.07
AIK Stockholm,Eric Ouma,KEN,DF,24.0,29,29,2593.0,28.8,1.0,5.0,1.0,0.0,0.0,4.0,0.0,0.03,0.17,0.21,0.03,0.21
AIK Stockholm,Nicolás Stefanelli,ARG,"FW,MF",26.0,29,28,2211.0,24.6,12.0,1.0,12.0,0.0,0.0,2.0,1.0,0.49,0.04,0.53,0.49,0.53
AIK Stockholm,Mikael Lustig,SWE,DF,34.0,27,27,2412.0,26.8,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07
